 station cast   lat    long    jday   mo/da/yr   gmt
  62      1   26.063 -96.909   273    09/30/21  0806 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.061   29.060   35.569    0.005    0.993   197.673
    2   29.061   29.060   35.569    0.011    1.987   197.700
    3   29.061   29.060   35.568    0.016    2.980   197.727
    4   29.061   29.060   35.568    0.021    3.974   197.754
    5   29.061   29.059   35.568    0.027    4.967   197.800
    6   29.061   29.060   35.568    0.032    5.961   197.174
    7   29.061   29.060   35.568    0.038    6.954   197.743
    8   29.062   29.060   35.567    0.043    7.948   197.638
    9   29.062   29.060   35.568    0.048    8.941   197.741
   10   29.062   29.060   35.568    0.054    9.935   197.681
   11   29.062   29.060   35.568    0.059    10.928   197.281
   12   29.063   29.060   35.566    0.064    11.922   197.566
   13   29.063   29.060   35.568    0.070    12.915   198.079
   14   29.063   29.060   35.568    0.075    13.908   197.335
   15   29.062   29.059   35.567    0.080    14.902   197.626
   16   29.061   29.058   35.567    0.086    15.895   197.791
   17   29.062   29.058   35.567    0.091    16.889   197.153
   18   29.065   29.060   35.568    0.097    17.882   197.583
   19   29.064   29.060   35.568    0.102    18.876   197.863
   20   29.062   29.057   35.568    0.107    19.869   197.590
   21   29.058   29.053   35.571    0.113    20.862   197.339
   22   29.058   29.053   35.572    0.118    21.856   196.953
   23   29.058   29.053   35.572    0.123    22.849   197.203
   24   29.059   29.053   35.571    0.129    23.842   197.703
   25   29.059   29.053   35.574    0.134    24.836   197.202
   26   29.058   29.052   35.576    0.140    25.829   196.701
   27   29.058   29.051   35.579    0.145    26.823   196.799
   28   29.057   29.051   35.611    0.150    27.816   193.974
   29   29.075   29.068   35.653    0.156    28.809   184.284
