 station cast   lat    long    jday   mo/da/yr   gmt
  87      1   19.609 -93.501   281    10/08/21  1321 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.405   29.405   34.934    0.006    0.994   192.532
    2   29.405   29.404   34.934    0.012    1.988   192.558
    3   29.405   29.404   34.934    0.018    2.982   192.585
    4   29.405   29.404   34.933    0.024    3.976   192.611
    5   29.405   29.404   34.933    0.030    4.970   192.822
    6   29.408   29.406   34.939    0.036    5.963   192.297
    7   29.423   29.422   34.953    0.041    6.957   192.750
    8   29.437   29.435   34.963    0.047    7.951   192.726
    9   29.453   29.450   34.976    0.053    8.945   192.677
   10   29.470   29.467   34.995    0.059    9.939   192.637
   11   29.483   29.480   35.018    0.065    10.933   192.976
   12   29.468   29.465   35.023    0.071    11.927   192.849
   13   29.491   29.488   35.045    0.077    12.920   193.027
   14   29.544   29.541   35.083    0.083    13.914   192.660
   15   29.589   29.586   35.119    0.089    14.908   192.425
   16   29.559   29.555   35.382    0.094    15.902   192.196
   17   29.526   29.521   35.549    0.100    16.896   193.093
   18   29.509   29.504   35.594    0.105    17.890   193.413
   19   29.462   29.457   35.674    0.111    18.884   193.308
   20   29.356   29.351   35.722    0.116    19.877   193.816
   21   29.288   29.283   35.743    0.121    20.871   194.427
   22   29.151   29.146   35.793    0.127    21.865   194.657
   23   28.991   28.986   35.879    0.132    22.859   195.315
   24   28.807   28.801   35.936    0.137    23.853   196.512
   25   28.210   28.204   36.084    0.142    24.846   197.654
   26   27.649   27.643   36.162    0.146    25.840   197.330
   27   27.545   27.539   36.177    0.151    26.834   198.206
   28   27.459   27.452   36.199    0.155    27.828   198.650
   29   27.006   27.000   36.258    0.159    28.822   198.626
   30   26.135   26.128   36.253    0.163    29.815   199.424
   31   25.425   25.418   36.257    0.167    30.809   198.765
   32   24.669   24.662   36.271    0.170    31.803   197.745
   33   24.510   24.503   36.276    0.174    32.797   196.147
   34   23.959   23.952   36.291    0.177    33.790   195.952
   35   23.642   23.635   36.297    0.180    34.784   193.046
   36   23.525   23.518   36.301    0.184    35.778   191.327
   37   23.375   23.368   36.304    0.187    36.772   190.728
   38   23.160   23.152   36.304    0.190    37.765   190.167
   39   22.884   22.876   36.303    0.193    38.759   188.317
   40   22.574   22.566   36.301    0.196    39.753   186.586
   41   22.351   22.343   36.292    0.199    40.746   184.435
   42   22.054   22.045   36.277    0.201    41.740   185.581
   43   21.830   21.822   36.268    0.204    42.734   186.667
   44   21.764   21.756   36.270    0.207    43.728   184.790
   45   21.755   21.746   36.272    0.210    44.721   183.588
   46   21.637   21.628   36.271    0.212    45.715   183.704
   47   21.447   21.438   36.277    0.215    46.709   179.990
   48   21.352   21.343   36.321    0.218    47.702   173.095
   49   21.280   21.271   36.342    0.220    48.696   163.869
   50   21.235   21.225   36.352    0.223    49.690   155.093
   51   21.206   21.196   36.357    0.225    50.683   154.150
   52   21.103   21.093   36.357    0.228    51.677   155.260
