 station cast   lat    long    jday   mo/da/yr   gmt
  96      1   22.659 -90.287   284    10/11/21  0729 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.545   29.545   36.210    0.005    0.994   193.378
    2   29.545   29.545   36.210    0.010    1.987   193.405
    3   29.545   29.545   36.210    0.015    2.981   193.431
    4   29.545   29.544   36.209    0.020    3.975   193.457
    5   29.545   29.544   36.209    0.025    4.969   193.315
    6   29.545   29.544   36.209    0.030    5.962   194.007
    7   29.548   29.546   36.210    0.035    6.956   193.743
    8   29.550   29.548   36.231    0.040    7.950   193.707
    9   29.551   29.548   36.242    0.045    8.943   193.984
   10   29.546   29.544   36.270    0.051    9.937   193.846
   11   29.545   29.543   36.272    0.056    10.931   193.913
   12   29.540   29.537   36.294    0.061    11.924   194.029
   13   29.533   29.530   36.320    0.066    12.918   194.086
   14   29.500   29.496   36.398    0.070    13.912   194.297
   15   29.449   29.445   36.419    0.075    14.905   194.468
   16   29.411   29.407   36.423    0.080    15.899   194.014
   17   29.404   29.400   36.428    0.085    16.893   193.872
   18   29.397   29.393   36.433    0.090    17.886   194.423
   19   29.392   29.387   36.437    0.095    18.880   194.435
   20   29.389   29.384   36.439    0.100    19.874   194.506
   21   29.386   29.381   36.441    0.104    20.867   194.389
   22   29.382   29.377   36.450    0.109    21.861   194.529
   23   29.356   29.350   36.467    0.114    22.854   194.702
   24   29.342   29.336   36.472    0.119    23.848   195.168
   25   29.331   29.325   36.478    0.124    24.842   194.852
   26   29.328   29.322   36.481    0.129    25.835   194.642
   27   29.324   29.318   36.485    0.133    26.829   194.669
   28   29.322   29.315   36.486    0.138    27.822   194.529
   29   29.320   29.313   36.488    0.143    28.816   194.545
   30   29.318   29.311   36.489    0.148    29.810   194.950
   31   29.318   29.310   36.491    0.153    30.803   194.987
   32   29.320   29.312   36.492    0.157    31.797   194.741
   33   29.319   29.310   36.493    0.162    32.790   194.617
   34   29.318   29.309   36.493    0.167    33.784   194.686
   35   29.309   29.300   36.495    0.172    34.778   194.475
   36   29.298   29.289   36.497    0.176    35.771   194.916
   37   29.293   29.284   36.502    0.181    36.765   194.934
   38   29.294   29.284   36.505    0.186    37.758   194.415
   39   29.288   29.279   36.506    0.191    38.752   194.502
   40   29.225   29.215   36.499    0.196    39.745   194.951
   41   29.094   29.084   36.494    0.200    40.739   195.827
   42   28.900   28.890   36.486    0.205    41.732   197.457
   43   28.369   28.359   36.456    0.209    42.726   198.990
   44   27.761   27.750   36.437    0.214    43.719   202.070
   45   27.566   27.556   36.429    0.218    44.713   204.280
   46   27.291   27.281   36.432    0.222    45.706   204.794
   47   27.155   27.144   36.444    0.226    46.700   203.791
   48   26.965   26.954   36.439    0.231    47.693   203.251
   49   26.868   26.857   36.442    0.235    48.687   201.015
   50   26.709   26.697   36.452    0.239    49.680   201.016
   51   26.527   26.515   36.458    0.243    50.674   202.848
   52   26.426   26.415   36.458    0.247    51.667   203.584
   53   26.305   26.293   36.459    0.250    52.661   203.623
   54   26.141   26.129   36.456    0.254    53.654   205.451
   55   25.913   25.900   36.449    0.258    54.648   207.547
   56   25.606   25.593   36.436    0.262    55.641   210.079
   57   25.454   25.442   36.432    0.265    56.635   211.670
   58   25.193   25.180   36.421    0.269    57.628   211.587
   59   25.067   25.054   36.422    0.273    58.622   209.603
   60   24.925   24.912   36.419    0.276    59.615   208.107
   61   24.642   24.629   36.416    0.279    60.608   204.187
   62   24.471   24.458   36.409    0.283    61.602   198.081
   63   24.262   24.248   36.413    0.286    62.595   196.530
   64   24.154   24.141   36.421    0.289    63.589   193.639
   65   24.046   24.032   36.417    0.293    64.582   189.456
   66   23.882   23.868   36.399    0.296    65.576   190.135
   67   23.717   23.703   36.388    0.299    66.569   192.847
   68   23.560   23.546   36.406    0.302    67.562   192.854
   69   23.318   23.303   36.412    0.305    68.556   187.165
   70   22.951   22.937   36.373    0.308    69.549   182.771
   71   22.856   22.842   36.367    0.311    70.543   185.667
   72   22.627   22.612   36.347    0.314    71.536   187.855
   73   22.411   22.396   36.325    0.317    72.529   189.256
   74   22.234   22.219   36.304    0.320    73.523   192.632
   75   21.968   21.953   36.270    0.323    74.516   194.401
   76   21.842   21.827   36.284    0.325    75.509   195.746
   77   21.745   21.729   36.313    0.328    76.503   190.550
   78   21.698   21.682   36.339    0.331    77.496   181.625
   79   21.675   21.659   36.353    0.333    78.489   174.315
   80   21.595   21.579   36.362    0.336    79.483   172.099
   81   21.433   21.417   36.362    0.339    80.476   169.508
   82   21.250   21.234   36.362    0.341    81.469   166.924
   83   20.975   20.959   36.366    0.344    82.463   164.842
   84   20.894   20.878   36.370    0.346    83.456   159.350
   85   20.822   20.806   36.380    0.349    84.449   156.483
   86   20.744   20.727   36.408    0.351    85.443   154.132
   87   20.696   20.679   36.439    0.353    86.436   148.072
   88   20.611   20.594   36.446    0.356    87.429   142.016
   89   20.544   20.527   36.452    0.358    88.423   137.350
   90   20.502   20.485   36.451    0.360    89.416   134.160
   91   20.450   20.432   36.450    0.362    90.409   134.587
   92   20.417   20.400   36.449    0.365    91.403   134.562
   93   20.372   20.354   36.450    0.367    92.396   134.243
   94   20.330   20.313   36.452    0.369    93.389   133.034
   95   20.289   20.271   36.452    0.371    94.382   131.620
   96   20.255   20.237   36.453    0.374    95.376   130.553
   97   20.148   20.130   36.455    0.376    96.369   129.483
   98   20.073   20.054   36.455    0.378    97.362   126.818
   99   19.990   19.972   36.457    0.380    98.355   124.086
  100   19.939   19.920   36.459    0.382    99.349   121.872
  101   19.910   19.891   36.459    0.384    100.342   120.751
  102   19.895   19.876   36.460    0.386    101.335   120.631
  103   19.886   19.867   36.460    0.389    102.328   120.571
  104   19.825   19.806   36.461    0.391    103.322   120.194
  105   19.801   19.781   36.461    0.393    104.315   119.501
  106   19.791   19.772   36.462    0.395    105.308   119.569
  107   19.784   19.765   36.462    0.397    106.301   119.626
  108   19.773   19.753   36.463    0.399    107.294   119.185
  109   19.758   19.738   36.463    0.401    108.288   118.411
  110   19.752   19.732   36.463    0.403    109.281   118.243
  111   19.750   19.729   36.463    0.405    110.274   118.552
  112   19.748   19.727   36.463    0.407    111.267   118.684
  113   19.746   19.726   36.464    0.410    112.260   118.485
  114   19.744   19.723   36.464    0.412    113.254   118.412
  115   19.739   19.718   36.464    0.414    114.247   118.397
  116   19.737   19.716   36.464    0.416    115.240   118.199
  117   19.733   19.712   36.465    0.418    116.233   118.246
  118   19.730   19.708   36.465    0.420    117.226   118.355
  119   19.728   19.706   36.465    0.422    118.219   118.219
  120   19.723   19.701   36.466    0.424    119.213   118.025
  121   19.722   19.699   36.466    0.426    120.206   117.978
  122   19.719   19.697   36.466    0.428    121.199   118.014
  123   19.718   19.695   36.465    0.430    122.192   118.034
  124   19.718   19.695   36.466    0.433    123.185   118.022
  125   19.718   19.694   36.465    0.435    124.178   118.042
  126   19.718   19.695   36.465    0.437    125.171   118.065
  127   19.718   19.695   36.465    0.439    126.165   118.085
  128   19.718   19.695   36.465    0.441    127.158   118.089
  129   19.718   19.694   36.465    0.443    128.151   118.025
  130   19.718   19.694   36.465    0.445    129.144   118.204
  131   19.705   19.681   36.465    0.447    130.137   118.017
  132   19.692   19.668   36.465    0.449    131.130   117.830
  133   19.679   19.654   36.465    0.451    132.123   117.617
