 station cast   lat    long    jday   mo/da/yr   gmt
  97      1   22.971 -90.499   284    10/11/21  1124 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.595   29.595   36.220    0.005    0.994   193.425
    2   29.595   29.595   36.220    0.010    1.987   193.452
    3   29.595   29.595   36.219    0.015    2.981   193.478
    4   29.595   29.594   36.219    0.020    3.975   193.505
    5   29.595   29.594   36.219    0.025    4.968   193.493
    6   29.596   29.595   36.219    0.030    5.962   193.656
    7   29.597   29.595   36.220    0.035    6.956   193.536
    8   29.598   29.596   36.220    0.041    7.950   193.404
    9   29.599   29.597   36.221    0.046    8.943   193.421
   10   29.600   29.598   36.221    0.051    9.937   193.766
   11   29.601   29.599   36.223    0.056    10.930   193.741
   12   29.601   29.598   36.229    0.061    11.924   193.523
   13   29.592   29.589   36.239    0.066    12.918   193.168
   14   29.584   29.580   36.249    0.071    13.911   193.622
   15   29.574   29.570   36.258    0.076    14.905   194.116
   16   29.570   29.566   36.264    0.081    15.899   194.158
   17   29.571   29.567   36.269    0.086    16.892   194.167
   18   29.546   29.542   36.267    0.091    17.886   194.824
   19   29.536   29.531   36.267    0.096    18.880   194.301
   20   29.527   29.522   36.273    0.101    19.873   193.871
   21   29.514   29.509   36.275    0.106    20.867   194.092
   22   29.514   29.508   36.278    0.111    21.860   193.754
   23   29.531   29.525   36.293    0.116    22.854   194.241
   24   29.520   29.514   36.299    0.121    23.848   196.013
   25   29.483   29.477   36.302    0.126    24.841   196.079
   26   29.452   29.446   36.311    0.131    25.835   196.065
   27   29.432   29.425   36.319    0.136    26.828   196.539
   28   29.418   29.411   36.329    0.141    27.822   197.153
   29   29.406   29.399   36.336    0.146    28.815   196.922
   30   29.376   29.368   36.342    0.151    29.809   196.482
   31   29.367   29.359   36.354    0.156    30.803   196.770
   32   29.321   29.313   36.380    0.161    31.796   196.160
   33   29.284   29.276   36.385    0.165    32.790   196.169
   34   29.278   29.270   36.397    0.170    33.783   196.702
   35   29.261   29.252   36.402    0.175    34.777   196.421
   36   29.244   29.235   36.406    0.180    35.770   196.827
   37   29.237   29.228   36.418    0.185    36.764   196.697
   38   29.254   29.244   36.438    0.190    37.757   196.412
   39   29.284   29.274   36.475    0.194    38.751   195.982
   40   29.206   29.196   36.471    0.199    39.744   195.721
   41   29.045   29.035   36.453    0.204    40.738   197.232
   42   28.892   28.882   36.457    0.209    41.731   199.077
   43   28.832   28.822   36.468    0.213    42.725   200.169
   44   28.641   28.630   36.468    0.218    43.718   199.907
   45   28.190   28.180   36.463    0.222    44.712   200.025
   46   27.933   27.922   36.462    0.227    45.705   201.043
   47   27.911   27.899   36.463    0.231    46.699   200.831
   48   27.827   27.816   36.470    0.235    47.692   199.381
   49   27.708   27.697   36.473    0.240    48.686   196.634
   50   27.612   27.601   36.473    0.244    49.679   195.217
   51   27.550   27.538   36.473    0.248    50.673   194.694
   52   27.280   27.267   36.463    0.252    51.666   194.926
   53   27.072   27.060   36.455    0.257    52.660   197.298
   54   26.988   26.975   36.453    0.261    53.653   198.973
   55   26.916   26.903   36.450    0.265    54.647   198.824
   56   26.748   26.735   36.446    0.269    55.640   198.910
