 station cast   lat    long    jday   mo/da/yr   gmt
  44      1   28.745 -89.992   269    09/26/21  1010 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   26.878   26.878   27.763    0.010    0.993   229.860
    2   26.878   26.878   27.762    0.021    1.987   229.892
    3   26.878   26.878   27.762    0.031    2.980   229.924
    4   26.878   26.878   27.762    0.041    3.973   229.955
    5   26.888   26.887   27.782    0.052    4.966   231.291
    6   26.898   26.896   27.802    0.062    5.960   238.078
    7   27.397   27.395   28.307    0.072    6.953   220.963
    8   27.461   27.459   28.421    0.082    7.946   208.847
    9   27.666   27.664   29.223    0.091    8.939   205.074
   10   27.872   27.869   30.022    0.100    9.933   193.972
   11   28.077   28.074   30.817    0.109    10.926   194.605
   12   28.591   28.588   32.802    0.116    11.919   156.259
   13   28.702   28.699   33.202    0.123    12.912   143.489
   14   28.722   28.719   33.291    0.130    13.906   149.375
   15   28.820   28.817   33.827    0.137    14.899   154.214
   16   28.792   28.788   34.029    0.143    15.892   162.998
   17   28.735   28.731   34.234    0.149    16.885   172.891
   18   28.780   28.776   34.500    0.155    17.878   184.070
   19   28.832   28.828   34.643    0.161    18.872   186.823
   20   28.845   28.840   34.701    0.167    19.865   185.755
   21   28.835   28.830   34.738    0.173    20.858   184.904
   22   28.828   28.823   34.782    0.179    21.851   182.536
   23   28.777   28.772   34.869    0.185    22.844   177.987
   24   28.798   28.793   34.992    0.190    23.838   175.845
   25   28.740   28.734   34.998    0.196    24.831   179.129
   26   28.709   28.703   34.996    0.202    25.824   177.778
   27   28.646   28.639   35.013    0.207    26.817   174.333
   28   28.492   28.485   35.059    0.213    27.810   171.045
   29   28.352   28.345   35.098    0.218    28.803   164.180
   30   28.278   28.271   35.102    0.224    29.797   160.623
   31   28.239   28.231   35.113    0.229    30.790   159.893
   32   28.189   28.181   35.121    0.235    31.783   159.909
   33   28.113   28.105   35.163    0.240    32.776   158.579
   34   28.019   28.011   35.276    0.245    33.769   157.415
   35   27.805   27.797   35.456    0.250    34.762   160.942
   36   27.525   27.517   35.599    0.255    35.755   163.821
   37   27.444   27.435   35.711    0.260    36.749   172.025
   38   27.390   27.381   35.751    0.265    37.742   178.116
   39   27.096   27.087   35.757    0.269    38.735   173.584
   40   26.871   26.862   35.780    0.274    39.728   164.073
   41   26.646   26.636   35.803    0.278    40.721   158.821
   42   26.421   26.411   35.826    0.283    41.714   151.629
   43   26.379   26.370   35.841    0.287    42.707   150.993
