 station cast   lat    long    jday   mo/da/yr   gmt
 129      1   26.955 -82.751   292    10/19/21  0901 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.514   28.513   36.001    0.005    0.993   195.498
    2   28.514   28.513   36.000    0.010    1.987   195.525
    3   28.514   28.513   36.000    0.015    2.980   195.551
    4   28.514   28.513   36.000    0.020    3.974   195.578
    5   28.514   28.512   36.000    0.024    4.967   195.596
    6   28.515   28.514   35.999    0.029    5.960   195.640
    7   28.518   28.516   36.000    0.034    6.954   195.561
    8   28.515   28.513   35.999    0.039    7.947   195.573
    9   28.513   28.511   35.999    0.044    8.941   195.584
   10   28.513   28.511   35.999    0.049    9.934   195.610
   11   28.513   28.510   36.000    0.054    10.927   195.417
   12   28.515   28.512   35.999    0.059    11.921   195.798
   13   28.515   28.512   35.999    0.063    12.914   195.602
   14   28.516   28.513   35.999    0.068    13.908   195.433
   15   28.516   28.513   35.999    0.073    14.901   195.501
   16   28.517   28.513   35.999    0.078    15.894   195.486
   17   28.518   28.513   35.999    0.083    16.888   195.191
   18   28.517   28.513   36.000    0.088    17.881   195.827
   19   28.512   28.508   36.000    0.093    18.874   195.369
   20   28.512   28.508   36.000    0.098    19.868   195.699
   21   28.513   28.508   36.000    0.103    20.861   195.466
