 station cast   lat    long    jday   mo/da/yr   gmt
  47      1   28.944 -90.654   269    09/26/21  1548 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   26.505   26.504   25.953    0.012    0.993   244.928
    2   26.505   26.504   25.953    0.023    1.987   245.292
    3   26.505   26.504   25.954    0.035    2.980   245.033
    4   26.506   26.505   25.955    0.046    3.973   245.007
    5   26.506   26.505   25.957    0.058    4.966   245.285
    6   26.524   26.523   25.988    0.069    5.960   243.778
    7   26.559   26.557   26.024    0.081    6.953   242.878
    8   26.639   26.637   26.115    0.092    7.946   240.851
    9   26.718   26.716   26.206    0.103    8.939   237.298
   10   26.798   26.796   26.297    0.115    9.933   237.784
   11   26.889   26.887   26.593    0.126    10.926   226.132
   12   27.466   27.463   27.605    0.137    11.919   198.310
   13   28.042   28.039   28.600    0.147    12.912   171.361
   14   28.619   28.616   29.578    0.156    13.905   145.249
