 station cast   lat    long    jday   mo/da/yr   gmt
  31      1   30.111 -86.801   266    09/23/21  1601 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   27.908   27.908   32.245    0.007    0.993   198.441
    2   27.908   27.907   32.245    0.015    1.986   198.468
    3   27.908   27.907   32.244    0.022    2.980   198.495
    4   27.908   27.907   32.244    0.030    3.973   198.522
    5   27.908   27.907   32.244    0.037    4.966   198.636
    6   27.922   27.920   32.272    0.044    5.959   198.284
    7   27.928   27.927   32.285    0.052    6.952   198.193
    8   27.929   27.927   32.286    0.059    7.945   197.872
    9   27.945   27.943   32.318    0.066    8.938   197.831
   10   27.961   27.958   32.350    0.074    9.932   198.078
   11   27.977   27.974   32.382    0.081    10.925   198.120
   12   27.979   27.976   32.388    0.088    11.918   197.893
   13   27.991   27.988   32.418    0.096    12.911   197.888
   14   28.067   28.064   32.616    0.103    13.904   197.817
   15   28.103   28.100   32.716    0.110    14.897   197.445
   16   28.152   28.148   32.848    0.117    15.890   197.395
   17   28.273   28.269   33.142    0.124    16.883   197.156
   18   28.351   28.347   33.321    0.131    17.877   197.289
   19   28.488   28.484   33.736    0.137    18.870   196.235
   20   28.562   28.557   34.093    0.143    19.863   196.045
   21   28.443   28.438   34.488    0.149    20.856   194.060
   22   28.456   28.450   34.646    0.155    21.849   193.767
   23   28.415   28.409   34.862    0.161    22.842   196.114
   24   28.406   28.400   34.977    0.166    23.835   191.089
   25   28.428   28.422   35.071    0.172    24.828   182.612
   26   28.358   28.351   35.176    0.177    25.821   179.732
   27   28.094   28.088   35.184    0.183    26.814   170.233
   28   28.060   28.054   35.247    0.188    27.807   161.092
   29   27.796   27.789   35.376    0.193    28.800   169.119
   30   27.574   27.567   35.450    0.198    29.793   161.863
   31   27.310   27.303   35.621    0.203    30.786   156.330
   32   26.795   26.787   35.867    0.207    31.779   164.883
   33   26.221   26.214   36.004    0.212    32.772   176.071
   34   25.792   25.785   36.102    0.216    33.766   177.159
   35   25.534   25.527   36.150    0.219    34.759   192.459
   36   25.427   25.419   36.181    0.223    35.752   202.667
   37   25.338   25.330   36.228    0.227    36.745   195.294
   38   25.265   25.257   36.252    0.231    37.738   187.300
   39   25.131   25.122   36.358    0.234    38.731   187.959
   40   24.719   24.710   36.347    0.238    39.724   192.326
   41   24.598   24.589   36.340    0.241    40.717   189.812
   42   24.618   24.609   36.417    0.245    41.710   191.570
   43   24.525   24.516   36.464    0.248    42.703   196.705
   44   24.207   24.198   36.430    0.251    43.696   197.833
   45   24.222   24.213   36.529    0.255    44.688   196.599
   46   24.079   24.069   36.535    0.258    45.681   187.617
   47   23.743   23.733   36.482    0.261    46.674   185.294
   48   23.538   23.528   36.471    0.264    47.667   192.681
   49   23.355   23.345   36.493    0.267    48.660   190.773
   50   23.252   23.242   36.512    0.270    49.653   182.663
   51   23.065   23.055   36.563    0.273    50.646   178.907
   52   22.920   22.909   36.560    0.276    51.639   176.239
   53   22.781   22.770   36.551    0.278    52.632   175.715
   54   22.509   22.498   36.520    0.281    53.625   174.615
   55   22.319   22.308   36.500    0.284    54.618   170.237
   56   22.120   22.109   36.515    0.286    55.611   167.963
   57   21.837   21.826   36.511    0.289    56.604   164.704
   58   21.701   21.689   36.499    0.292    57.597   158.335
   59   21.651   21.640   36.504    0.294    58.590   155.245
   60   21.538   21.526   36.507    0.297    59.582   153.456
   61   21.386   21.374   36.493    0.299    60.575   154.846
   62   21.216   21.204   36.485    0.302    61.568   151.685
   63   21.119   21.107   36.485    0.304    62.561   149.447
   64   21.051   21.038   36.484    0.306    63.554   148.662
   65   20.923   20.910   36.481    0.309    64.547   146.712
   66   20.865   20.852   36.470    0.311    65.540   146.530
   67   20.807   20.794   36.459    0.313    66.533   145.422
   68   20.748   20.735   36.448    0.316    67.525   145.401
