 station cast   lat    long    jday   mo/da/yr   gmt
  49      1   27.920 -93.579   270    09/27/21  1219 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.669   28.669   35.611    0.005    0.993   194.128
    2   28.669   28.669   35.610    0.010    1.987   194.154
    3   28.669   28.668   35.610    0.016    2.980   194.181
    4   28.669   28.668   35.610    0.021    3.973   194.207
    5   28.669   28.668   35.609    0.026    4.967   194.255
    6   28.675   28.674   35.613    0.031    5.960   194.385
    7   28.676   28.674   35.612    0.036    6.953   194.380
    8   28.677   28.675   35.611    0.042    7.947   194.342
    9   28.678   28.675   35.611    0.047    8.940   194.415
   10   28.679   28.677   35.613    0.052    9.933   194.026
   11   28.684   28.682   35.626    0.057    10.927   193.991
   12   28.690   28.687   35.637    0.062    11.920   194.279
   13   28.695   28.692   35.647    0.068    12.913   194.206
   14   28.700   28.697   35.658    0.073    13.907   194.285
   15   28.704   28.700   35.664    0.078    14.900   194.465
   16   28.710   28.706   35.674    0.083    15.893   194.661
   17   28.713   28.709   35.679    0.088    16.886   194.843
   18   28.720   28.716   35.694    0.094    17.880   194.830
   19   28.723   28.718   35.699    0.099    18.873   194.799
   20   28.725   28.720   35.704    0.104    19.866   195.070
   21   28.728   28.723   35.712    0.109    20.859   195.042
   22   28.728   28.723   35.713    0.114    21.853   195.085
   23   28.729   28.723   35.715    0.119    22.846   195.031
   24   28.729   28.724   35.716    0.125    23.839   194.602
   25   28.729   28.723   35.716    0.130    24.832   195.186
   26   28.731   28.725   35.724    0.135    25.826   195.131
   27   28.732   28.726   35.730    0.140    26.819   195.003
   28   28.731   28.724   35.731    0.145    27.812   195.023
   29   28.720   28.713   35.734    0.150    28.805   194.928
   30   28.702   28.695   35.737    0.155    29.799   194.677
   31   28.699   28.692   35.738    0.161    30.792   194.747
   32   28.698   28.690   35.739    0.166    31.785   194.856
   33   28.692   28.684   35.740    0.171    32.778   194.736
   34   28.686   28.678   35.744    0.176    33.771   194.586
   35   28.682   28.673   35.747    0.181    34.764   194.243
   36   28.681   28.672   35.747    0.186    35.758   194.079
   37   28.671   28.662   35.754    0.191    36.751   194.518
   38   28.652   28.643   35.765    0.196    37.744   194.360
   39   28.629   28.619   35.768    0.202    38.737   193.716
   40   28.558   28.549   35.780    0.207    39.730   193.772
   41   28.490   28.480   35.786    0.212    40.724   194.597
   42   28.260   28.250   35.789    0.217    41.717   194.348
   43   27.302   27.292   35.860    0.221    42.710   197.886
   44   26.344   26.335   35.963    0.226    43.703   210.713
   45   25.936   25.926   36.014    0.230    44.696   219.972
   46   25.832   25.822   36.028    0.234    45.689   220.269
   47   25.642   25.632   36.043    0.238    46.682   216.369
   48   25.427   25.416   36.072    0.242    47.676   215.045
   49   25.266   25.255   36.093    0.245    48.669   214.365
   50   24.820   24.809   36.125    0.249    49.662   212.222
   51   24.115   24.104   36.170    0.253    50.655   210.254
   52   23.774   23.763   36.205    0.256    51.648   207.612
   53   23.771   23.759   36.207    0.259    52.641   208.930
   54   23.653   23.642   36.216    0.262    53.634   210.351
   55   23.567   23.555   36.224    0.266    54.627   211.160
   56   23.517   23.505   36.228    0.269    55.620   211.288
   57   23.490   23.478   36.231    0.272    56.613   209.884
   58   23.484   23.472   36.232    0.275    57.607   208.143
   59   23.472   23.460   36.233    0.279    58.600   207.414
   60   23.468   23.455   36.234    0.282    59.593   206.822
   61   23.463   23.451   36.234    0.285    60.586   206.147
   62   23.401   23.388   36.231    0.288    61.579   203.994
   63   23.278   23.265   36.234    0.291    62.572   202.938
   64   23.115   23.102   36.231    0.295    63.565   205.225
   65   22.951   22.938   36.239    0.298    64.558   201.723
   66   22.787   22.774   36.248    0.301    65.551   198.678
   67   22.623   22.609   36.257    0.304    66.544   196.280
