 station cast   lat    long    jday   mo/da/yr   gmt
 132      1   26.621 -83.243   292    10/19/21  1816 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.602   28.602   35.906    0.005    0.993   194.006
    2   28.602   28.601   35.906    0.010    1.987   194.032
    3   28.602   28.601   35.906    0.015    2.980   194.059
    4   28.602   28.601   35.905    0.020    3.974   194.085
    5   28.602   28.601   35.905    0.025    4.967   194.286
    6   28.601   28.600   35.905    0.030    5.961   194.194
    7   28.601   28.600   35.905    0.035    6.954   194.009
    8   28.601   28.599   35.905    0.040    7.947   193.938
    9   28.602   28.600   35.904    0.045    8.941   193.924
   10   28.601   28.598   35.904    0.050    9.934   193.967
   11   28.602   28.599   35.904    0.055    10.928   194.041
   12   28.602   28.599   35.905    0.060    11.921   194.106
   13   28.604   28.600   35.904    0.065    12.914   194.365
   14   28.605   28.601   35.904    0.070    13.908   194.058
   15   28.605   28.602   35.904    0.075    14.901   193.991
   16   28.605   28.601   35.904    0.080    15.895   194.083
   17   28.605   28.601   35.904    0.085    16.888   193.976
   18   28.605   28.601   35.904    0.090    17.881   194.165
   19   28.605   28.600   35.904    0.095    18.875   194.034
   20   28.603   28.598   35.904    0.100    19.868   194.096
   21   28.603   28.598   35.904    0.105    20.861   194.118
   22   28.603   28.598   35.904    0.110    21.855   194.177
   23   28.601   28.596   35.903    0.115    22.848   193.896
   24   28.602   28.596   35.904    0.119    23.841   193.900
   25   28.602   28.596   35.903    0.124    24.835   193.956
   26   28.597   28.591   35.903    0.129    25.828   194.015
   27   28.595   28.589   35.903    0.134    26.821   193.868
   28   28.594   28.588   35.904    0.139    27.815   193.517
   29   28.594   28.587   35.904    0.144    28.808   193.551
   30   28.593   28.586   35.904    0.149    29.801   193.585
   31   28.592   28.585   35.904    0.154    30.795   193.562
   32   28.590   28.583   35.905    0.159    31.788   193.398
   33   28.587   28.579   35.907    0.164    32.781   193.137
   34   28.582   28.573   35.910    0.169    33.775   192.349
   35   28.577   28.569   35.911    0.174    34.768   192.728
   36   28.568   28.560   35.950    0.179    35.761   190.447
   37   28.559   28.550   35.989    0.184    36.754   188.165
   38   27.615   27.606   36.146    0.189    37.748   183.418
   39   26.979   26.970   36.171    0.193    38.741   177.711
   40   26.424   26.415   36.201    0.197    39.734   171.623
