 station cast   lat    long    jday   mo/da/yr   gmt
 115      1   21.948 -86.993   288    10/15/21  1629 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.416   28.416   36.296    0.005    0.994   193.066
    2   28.416   28.416   36.296    0.009    1.988   193.092
    3   28.416   28.415   36.295    0.014    2.981   193.119
    4   28.416   28.415   36.295    0.019    3.975   193.145
    5   28.416   28.415   36.295    0.023    4.969   193.153
    6   28.322   28.321   36.299    0.028    5.963   193.215
    7   28.131   28.130   36.315    0.032    6.956   192.846
    8   27.760   27.758   36.346    0.037    7.950   192.222
    9   27.126   27.124   36.396    0.041    8.944   191.956
   10   26.293   26.290   36.453    0.045    9.937   192.403
   11   25.295   25.292   36.513    0.048    10.931   193.325
   12   24.509   24.506   36.549    0.052    11.925   192.109
   13   24.181   24.178   36.564    0.055    12.919   187.606
   14   24.181   24.178   36.567    0.058    13.912   186.103
   15   24.172   24.169   36.572    0.061    14.906   187.682
   16   24.107   24.104   36.577    0.064    15.900   187.405
   17   24.065   24.061   36.580    0.067    16.893   186.115
   18   23.909   23.906   36.585    0.070    17.887   183.380
   19   23.761   23.757   36.591    0.073    18.881   183.188
   20   23.721   23.717   36.592    0.076    19.875   181.357
   21   23.645   23.640   36.597    0.079    20.868   178.380
   22   23.636   23.632   36.597    0.082    21.862   178.100
