 station cast   lat    long    jday   mo/da/yr   gmt
  69      1   26.059 -95.121   276    10/03/21  1122 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.269   29.268   35.888    0.005    0.993   191.529
    2   29.269   29.268   35.887    0.010    1.987   191.556
    3   29.269   29.268   35.887    0.016    2.980   191.582
    4   29.269   29.268   35.887    0.021    3.974   191.608
    5   29.269   29.267   35.886    0.026    4.967   191.916
    6   29.269   29.268   35.884    0.031    5.961   191.677
    7   29.270   29.268   35.882    0.036    6.954   191.781
    8   29.270   29.268   35.880    0.042    7.948   192.073
    9   29.271   29.268   35.878    0.047    8.941   192.101
   10   29.271   29.269   35.876    0.052    9.935   192.076
   11   29.272   29.269   35.873    0.057    10.928   192.250
   12   29.273   29.270   35.901    0.062    11.922   192.143
   13   29.292   29.288   35.959    0.068    12.915   192.348
   14   29.409   29.405   36.117    0.073    13.908   192.770
   15   29.437   29.433   36.165    0.078    14.902   192.973
   16   29.436   29.432   36.175    0.083    15.895   192.827
   17   29.435   29.430   36.180    0.088    16.889   193.016
   18   29.436   29.432   36.185    0.093    17.882   192.931
   19   29.439   29.435   36.192    0.098    18.876   193.037
   20   29.442   29.437   36.200    0.103    19.869   193.247
   21   29.441   29.436   36.208    0.108    20.862   193.198
   22   29.440   29.435   36.214    0.113    21.856   193.160
   23   29.440   29.434   36.218    0.118    22.849   193.479
   24   29.441   29.435   36.221    0.123    23.842   193.677
   25   29.445   29.439   36.226    0.128    24.836   193.818
   26   29.452   29.446   36.232    0.133    25.829   193.532
   27   29.456   29.450   36.235    0.138    26.823   193.411
   28   29.458   29.451   36.237    0.143    27.816   193.851
   29   29.458   29.451   36.237    0.148    28.809   193.827
   30   29.458   29.450   36.238    0.153    29.803   193.568
   31   29.457   29.449   36.238    0.158    30.796   193.449
   32   29.457   29.449   36.238    0.163    31.789   193.648
   33   29.457   29.449   36.238    0.168    32.783   193.756
   34   29.457   29.449   36.238    0.173    33.776   193.685
