 station cast   lat    long    jday   mo/da/yr   gmt
  46      1   28.971 -90.212   269    09/26/21  1343 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   26.238   26.238   25.638    0.012    0.993   234.149
    2   26.238   26.237   25.638    0.023    1.987   234.181
    3   26.238   26.237   25.638    0.035    2.980   234.376
    4   26.253   26.252   25.675    0.047    3.973   233.978
    5   26.262   26.261   25.696    0.058    4.966   233.992
    6   26.297   26.296   25.778    0.070    5.960   233.782
    7   26.325   26.323   25.851    0.081    6.953   233.111
    8   26.388   26.387   26.041    0.093    7.946   232.863
    9   26.546   26.544   26.408    0.104    8.939   231.724
   10   26.693   26.691   26.603    0.115    9.933   229.561
   11   26.975   26.973   26.892    0.126    10.926   217.316
   12   27.569   27.566   28.370    0.136    11.919   190.652
   13   27.914   27.911   30.216    0.145    12.912   170.578
   14   28.279   28.276   31.048    0.153    13.905   138.727
