 station cast   lat    long    jday   mo/da/yr   gmt
 111      1   22.349 -86.743   288    10/15/21  0940 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.916   28.916   36.242    0.005    0.994   193.000
    2   28.916   28.916   36.242    0.010    1.987   193.027
    3   28.916   28.916   36.241    0.014    2.981   193.053
    4   28.916   28.915   36.241    0.019    3.975   193.079
    5   28.916   28.915   36.241    0.024    4.969   193.175
    6   28.916   28.915   36.241    0.029    5.962   192.837
    7   28.916   28.915   36.241    0.034    6.956   193.330
    8   28.915   28.913   36.241    0.039    7.950   193.112
    9   28.909   28.907   36.242    0.044    8.944   192.722
   10   28.894   28.892   36.243    0.048    9.937   193.201
   11   28.816   28.814   36.251    0.053    10.931   192.847
   12   28.747   28.744   36.259    0.058    11.925   192.482
   13   28.511   28.508   36.275    0.063    12.918   191.807
   14   28.380   28.377   36.284    0.067    13.912   190.907
   15   28.286   28.282   36.289    0.072    14.906   190.525
   16   28.204   28.200   36.293    0.076    15.899   190.548
   17   27.942   27.938   36.311    0.081    16.893   190.391
   18   27.534   27.530   36.362    0.085    17.887   188.450
   19   27.318   27.314   36.395    0.089    18.880   187.128
   20   27.167   27.162   36.408    0.094    19.874   186.043
   21   27.075   27.070   36.427    0.098    20.868   185.432
   22   26.929   26.923   36.461    0.102    21.861   184.683
   23   26.725   26.719   36.484    0.106    22.855   182.798
   24   26.540   26.534   36.499    0.110    23.849   181.123
   25   26.384   26.379   36.509    0.114    24.842   180.650
   26   26.365   26.359   36.511    0.117    25.836   180.088
   27   26.221   26.215   36.526    0.121    26.829   179.935
   28   25.963   25.957   36.556    0.125    27.823   177.712
   29   25.850   25.843   36.571    0.129    28.817   176.945
   30   25.576   25.570   36.595    0.132    29.810   175.129
   31   25.459   25.452   36.602    0.136    30.804   173.844
   32   25.318   25.311   36.610    0.139    31.797   173.788
   33   25.193   25.186   36.623    0.143    32.791   172.483
   34   24.764   24.756   36.671    0.146    33.785   171.464
   35   24.591   24.583   36.693    0.149    34.778   169.058
   36   24.172   24.164   36.684    0.152    35.772   166.517
   37   23.956   23.948   36.649    0.155    36.765   164.790
   38   23.796   23.788   36.636    0.158    37.759   164.098
   39   23.576   23.568   36.640    0.161    38.752   163.103
   40   23.097   23.089   36.661    0.164    39.746   161.304
   41   22.829   22.820   36.650    0.167    40.740   158.480
   42   22.633   22.625   36.633    0.169    41.733   157.389
   43   22.324   22.315   36.625    0.172    42.727   156.204
   44   22.109   22.100   36.595    0.175    43.720   154.051
   45   22.074   22.065   36.591    0.177    44.714   153.138
   46   22.010   22.001   36.591    0.180    45.707   153.267
   47   21.887   21.877   36.599    0.182    46.701   152.878
   48   21.823   21.813   36.609    0.185    47.694   152.296
   49   21.820   21.810   36.613    0.187    48.688   152.252
   50   21.796   21.786   36.617    0.190    49.681   152.626
   51   21.682   21.672   36.623    0.192    50.675   152.229
   52   21.452   21.442   36.614    0.195    51.668   150.930
   53   21.060   21.050   36.596    0.197    52.662   149.747
   54   20.753   20.742   36.577    0.199    53.655   146.387
