 station cast   lat    long    jday   mo/da/yr   gmt
 117      1   21.592 -86.503   288    10/15/21  2300 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.925   29.925   36.198    0.005    0.994   195.093
    2   29.925   29.925   36.198    0.010    1.988   195.120
    3   29.925   29.925   36.197    0.016    2.981   195.146
    4   29.925   29.924   36.197    0.021    3.975   195.173
    5   29.925   29.924   36.197    0.026    4.969   195.207
    6   29.920   29.918   36.196    0.031    5.963   194.989
    7   29.900   29.899   36.195    0.036    6.956   194.762
    8   29.894   29.892   36.195    0.042    7.950   194.906
    9   29.889   29.887   36.195    0.047    8.944   194.971
   10   29.880   29.877   36.194    0.052    9.938   195.077
   11   29.872   29.869   36.194    0.057    10.931   195.017
   12   29.863   29.860   36.194    0.062    11.925   194.990
   13   29.855   29.852   36.194    0.067    12.919   194.953
   14   29.853   29.849   36.194    0.073    13.913   194.894
   15   29.837   29.833   36.194    0.078    14.906   194.978
   16   29.793   29.789   36.192    0.083    15.900   194.996
   17   29.757   29.753   36.192    0.088    16.894   195.075
   18   29.692   29.688   36.197    0.093    17.888   195.189
   19   29.672   29.667   36.199    0.098    18.881   195.189
   20   29.641   29.636   36.202    0.103    19.875   194.839
   21   29.582   29.577   36.203    0.108    20.869   194.109
   22   29.541   29.535   36.205    0.114    21.862   193.301
   23   29.470   29.464   36.205    0.119    22.856   192.876
   24   29.372   29.366   36.204    0.124    23.850   191.341
   25   29.322   29.316   36.206    0.129    24.843   190.222
   26   29.296   29.289   36.209    0.134    25.837   190.318
   27   29.187   29.181   36.214    0.139    26.831   190.415
   28   28.948   28.942   36.214    0.143    27.824   188.847
   29   28.523   28.516   36.247    0.148    28.818   186.747
   30   28.240   28.233   36.269    0.153    29.812   184.548
   31   27.992   27.985   36.293    0.157    30.805   184.685
   32   27.118   27.111   36.324    0.161    31.799   183.014
   33   26.312   26.304   36.355    0.165    32.793   177.426
   34   25.513   25.506   36.418    0.169    33.786   175.559
   35   24.634   24.627   36.507    0.172    34.780   172.563
   36   23.678   23.670   36.553    0.176    35.774   169.031
   37   23.049   23.041   36.541    0.178    36.767   164.143
   38   22.764   22.757   36.551    0.181    37.761   163.425
   39   22.514   22.506   36.565    0.184    38.754   162.319
   40   22.421   22.413   36.555    0.187    39.748   161.496
   41   22.385   22.377   36.554    0.189    40.742   161.759
   42   22.360   22.352   36.554    0.192    41.735   162.030
   43   22.323   22.314   36.551    0.195    42.729   161.962
   44   22.259   22.250   36.539    0.197    43.722   161.635
   45   22.091   22.082   36.518    0.200    44.716   161.595
   46   21.771   21.762   36.498    0.202    45.710   160.743
   47   21.386   21.377   36.487    0.205    46.703   159.062
   48   21.193   21.184   36.483    0.207    47.697   158.016
   49   20.846   20.836   36.475    0.210    48.690   157.249
   50   20.726   20.716   36.475    0.212    49.684   155.748
   51   20.642   20.632   36.471    0.214    50.677   155.708
   52   20.482   20.473   36.470    0.217    51.671   154.771
   53   20.438   20.428   36.471    0.219    52.664   154.650
   54   20.425   20.414   36.468    0.221    53.658   154.135
