 station cast   lat    long    jday   mo/da/yr   gmt
 131      1   26.730 -83.100   292    10/19/21  1624 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.448   28.448   35.983    0.005    0.993   190.543
    2   28.448   28.448   35.983    0.010    1.987   190.569
    3   28.448   28.448   35.982    0.015    2.980   190.595
    4   28.448   28.447   35.982    0.019    3.974   190.621
    5   28.448   28.447   35.982    0.024    4.967   190.762
    6   28.449   28.447   35.982    0.029    5.961   190.390
    7   28.449   28.447   35.982    0.034    6.954   190.242
    8   28.449   28.447   35.982    0.039    7.947   190.757
    9   28.449   28.447   35.982    0.044    8.941   190.727
   10   28.450   28.448   35.982    0.049    9.934   190.506
   11   28.452   28.450   35.982    0.054    10.928   190.610
   12   28.454   28.451   35.982    0.058    11.921   190.500
   13   28.452   28.449   35.982    0.063    12.914   190.722
   14   28.451   28.447   35.982    0.068    13.908   190.722
   15   28.453   28.450   35.982    0.073    14.901   190.226
   16   28.452   28.448   35.982    0.078    15.894   190.481
   17   28.451   28.447   35.982    0.083    16.888   190.588
   18   28.453   28.449   35.982    0.088    17.881   190.422
   19   28.453   28.449   35.982    0.093    18.875   190.649
   20   28.452   28.447   35.982    0.097    19.868   190.563
   21   28.453   28.448   35.982    0.102    20.861   190.765
   22   28.452   28.447   35.982    0.107    21.855   190.411
   23   28.451   28.445   35.982    0.112    22.848   190.407
   24   28.449   28.444   35.981    0.117    23.841   190.400
   25   28.448   28.442   35.982    0.122    24.835   190.315
   26   28.447   28.441   35.981    0.127    25.828   190.216
   27   28.447   28.441   35.982    0.132    26.821   190.262
   28   28.447   28.441   35.982    0.137    27.815   190.272
   29   28.447   28.440   35.982    0.141    28.808   190.149
   30   28.446   28.439   35.982    0.146    29.801   190.348
   31   28.446   28.438   35.982    0.151    30.794   190.456
   32   28.446   28.438   35.982    0.156    31.788   190.267
   33   28.447   28.439   35.982    0.161    32.781   190.134
   34   28.447   28.439   35.982    0.166    33.774   189.646
