 station cast   lat    long    jday   mo/da/yr   gmt
  95      1   22.273 -90.043   284    10/11/21  0344 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.691   29.690   36.308    0.005    0.994   194.254
    2   29.691   29.690   36.307    0.010    1.987   194.280
    3   29.691   29.690   36.307    0.015    2.981   194.307
    4   29.691   29.690   36.307    0.020    3.975   194.333
    5   29.731   29.729   36.310    0.025    4.969   194.251
    6   29.770   29.769   36.313    0.030    5.962   194.438
    7   29.810   29.809   36.316    0.035    6.956   194.224
    8   29.789   29.787   36.313    0.040    7.950   193.990
    9   29.627   29.625   36.300    0.045    8.944   194.520
   10   29.519   29.516   36.297    0.050    9.937   194.520
   11   29.466   29.463   36.297    0.055    10.931   194.988
   12   29.448   29.445   36.296    0.060    11.925   195.023
   13   29.440   29.437   36.296    0.065    12.918   194.796
   14   29.434   29.431   36.297    0.070    13.912   195.168
   15   29.434   29.430   36.298    0.075    14.906   194.653
   16   29.432   29.428   36.298    0.080    15.899   194.950
   17   29.428   29.423   36.299    0.085    16.893   195.495
   18   29.421   29.417   36.300    0.090    17.887   195.424
   19   29.413   29.409   36.307    0.095    18.880   195.247
   20   29.408   29.403   36.320    0.100    19.874   195.780
   21   29.407   29.402   36.330    0.105    20.868   196.033
   22   29.392   29.387   36.343    0.110    21.861   195.786
   23   29.379   29.374   36.352    0.115    22.855   195.986
   24   29.362   29.356   36.370    0.120    23.849   196.535
   25   29.351   29.345   36.378    0.125    24.842   197.237
   26   29.356   29.350   36.391    0.129    25.836   197.241
   27   29.336   29.330   36.395    0.134    26.830   197.004
   28   29.315   29.308   36.396    0.139    27.823   196.831
   29   29.294   29.287   36.397    0.144    28.817   196.956
   30   29.270   29.263   36.399    0.149    29.810   197.760
   31   29.223   29.216   36.401    0.154    30.804   198.367
   32   29.199   29.191   36.401    0.159    31.798   199.129
   33   29.165   29.157   36.403    0.163    32.791   199.773
   34   29.126   29.118   36.405    0.168    33.785   199.331
   35   29.099   29.091   36.415    0.173    34.778   199.129
   36   29.086   29.077   36.420    0.178    35.772   199.904
   37   29.062   29.053   36.421    0.182    36.766   199.997
   38   29.006   28.997   36.426    0.187    37.759   200.373
   39   28.923   28.914   36.420    0.192    38.753   202.014
   40   28.865   28.856   36.418    0.197    39.746   203.235
   41   28.805   28.795   36.413    0.201    40.740   204.511
   42   28.652   28.642   36.394    0.206    41.733   204.559
   43   28.519   28.509   36.380    0.211    42.727   204.098
   44   28.461   28.451   36.374    0.215    43.720   204.797
   45   28.366   28.356   36.368    0.220    44.714   204.873
   46   28.113   28.102   36.388    0.224    45.708   205.892
   47   27.968   27.957   36.396    0.229    46.701   210.449
   48   27.939   27.928   36.398    0.233    47.695   211.742
   49   27.861   27.850   36.416    0.238    48.688   210.094
