 station cast   lat    long    jday   mo/da/yr   gmt
  68      1   26.059 -95.550   276    10/03/21  0700 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.194   29.194   35.570    0.005    0.993   194.948
    2   29.194   29.194   35.570    0.011    1.987   194.974
    3   29.194   29.194   35.569    0.016    2.980   195.001
    4   29.194   29.193   35.569    0.022    3.974   195.028
    5   29.194   29.193   35.569    0.027    4.967   194.928
    6   29.194   29.192   35.569    0.032    5.961   195.364
    7   29.194   29.192   35.569    0.038    6.954   195.051
    8   29.194   29.192   35.570    0.043    7.948   195.000
    9   29.194   29.192   35.570    0.049    8.941   194.964
   10   29.190   29.188   35.570    0.054    9.935   195.278
   11   29.192   29.189   35.570    0.059    10.928   195.167
   12   29.195   29.192   35.571    0.065    11.922   195.098
   13   29.193   29.190   35.570    0.070    12.915   195.144
   14   29.190   29.186   35.568    0.076    13.908   195.185
   15   29.190   29.187   35.568    0.081    14.902   195.306
   16   29.189   29.185   35.574    0.087    15.895   195.269
   17   29.186   29.182   35.581    0.092    16.889   195.105
   18   29.184   29.180   35.583    0.097    17.882   194.872
   19   29.185   29.180   35.592    0.103    18.876   195.002
   20   29.196   29.192   35.606    0.108    19.869   195.123
   21   29.197   29.192   35.610    0.113    20.862   195.072
   22   29.191   29.186   35.614    0.119    21.856   195.233
   23   29.194   29.188   35.620    0.124    22.849   194.991
   24   29.192   29.187   35.624    0.130    23.842   195.433
   25   29.187   29.181   35.628    0.135    24.836   195.293
   26   29.189   29.183   35.631    0.140    25.829   195.210
   27   29.203   29.197   35.654    0.146    26.823   195.025
   28   29.220   29.214   35.685    0.151    27.816   195.661
   29   29.238   29.231   35.711    0.156    28.809   196.326
   30   29.259   29.252   35.758    0.162    29.803   196.399
   31   29.197   29.190   35.798    0.167    30.796   197.107
   32   29.220   29.213   35.959    0.172    31.789   199.224
   33   29.127   29.119   36.073    0.177    32.783   199.861
   34   28.508   28.500   36.031    0.182    33.776   201.426
   35   27.720   27.711   36.011    0.187    34.769   209.860
   36   27.170   27.161   36.033    0.191    35.763   217.522
   37   27.010   27.002   36.048    0.195    36.756   217.804
   38   26.901   26.892   36.057    0.200    37.749   216.094
   39   26.698   26.689   36.089    0.204    38.743   216.116
   40   26.495   26.486   36.137    0.208    39.736   218.709
   41   26.472   26.462   36.154    0.212    40.729   220.810
   42   26.083   26.073   36.239    0.216    41.722   221.624
   43   25.859   25.850   36.277    0.220    42.716   224.177
   44   25.718   25.708   36.288    0.224    43.709   226.182
   45   25.573   25.563   36.298    0.228    44.702   226.291
   46   25.457   25.447   36.299    0.232    45.696   225.911
   47   25.313   25.303   36.298    0.235    46.689   224.591
   48   25.118   25.108   36.298    0.239    47.682   223.580
   49   24.934   24.923   36.304    0.243    48.675   224.178
   50   24.704   24.693   36.303    0.246    49.669   223.283
   51   24.576   24.565   36.302    0.250    50.662   221.547
   52   24.454   24.442   36.300    0.253    51.655   220.508
   53   24.352   24.340   36.301    0.256    52.648   219.694
   54   24.265   24.254   36.301    0.260    53.642   219.243
   55   24.209   24.198   36.300    0.263    54.635   218.605
   56   24.151   24.139   36.299    0.267    55.628   217.784
   57   24.104   24.092   36.299    0.270    56.621   217.513
   58   24.064   24.052   36.297    0.273    57.615   217.260
   59   24.028   24.016   36.297    0.277    58.608   216.702
   60   23.971   23.958   36.295    0.280    59.601   216.038
   61   23.923   23.910   36.293    0.283    60.594   215.493
   62   23.793   23.780   36.288    0.286    61.587   215.019
   63   23.710   23.697   36.282    0.290    62.581   213.795
   64   23.636   23.622   36.269    0.293    63.574   213.386
   65   23.481   23.468   36.252    0.296    64.567   213.908
   66   23.333   23.319   36.239    0.299    65.560   214.040
   67   23.284   23.270   36.238    0.303    66.553   213.781
   68   23.232   23.218   36.249    0.306    67.546   213.393
   69   23.194   23.180   36.249    0.309    68.540   212.286
   70   23.154   23.139   36.262    0.312    69.533   210.924
   71   22.979   22.964   36.249    0.315    70.526   209.396
   72   22.857   22.843   36.246    0.318    71.519   207.904
   73   22.805   22.790   36.246    0.321    72.512   206.581
   74   22.710   22.695   36.242    0.324    73.505   205.920
   75   22.675   22.659   36.245    0.327    74.498   205.406
   76   22.663   22.648   36.254    0.330    75.492   204.805
   77   22.653   22.637   36.268    0.333    76.485   203.171
   78   22.583   22.567   36.263    0.336    77.478   200.058
   79   22.540   22.524   36.260    0.339    78.471   197.313
   80   22.475   22.459   36.257    0.342    79.464   197.588
   81   22.425   22.409   36.255    0.345    80.457   198.237
