 station cast   lat    long    jday   mo/da/yr   gmt
  92      1   21.455 -91.586   283    10/10/21  0911 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.497   29.496   36.551    0.005    0.994   193.408
    2   29.497   29.496   36.551    0.010    1.988   193.435
    3   29.497   29.496   36.551    0.014    2.981   193.461
    4   29.497   29.496   36.550    0.019    3.975   193.487
    5   29.497   29.495   36.550    0.024    4.969   193.502
    6   29.493   29.492   36.550    0.029    5.963   193.705
    7   29.493   29.491   36.550    0.034    6.957   193.749
    8   29.493   29.491   36.550    0.038    7.950   193.531
    9   29.493   29.491   36.549    0.043    8.944   193.689
   10   29.488   29.486   36.548    0.048    9.938   193.769
   11   29.470   29.467   36.544    0.053    10.932   193.687
   12   29.472   29.469   36.545    0.058    11.925   193.683
   13   29.474   29.471   36.545    0.062    12.919   193.744
   14   29.476   29.473   36.546    0.067    13.913   193.771
   15   29.479   29.475   36.546    0.072    14.907   193.687
   16   29.425   29.421   36.536    0.077    15.900   194.170
   17   29.395   29.390   36.532    0.082    16.894   194.560
   18   29.393   29.389   36.533    0.086    17.888   194.415
   19   29.388   29.384   36.533    0.091    18.881   194.310
   20   29.385   29.380   36.533    0.096    19.875   194.144
   21   29.384   29.379   36.533    0.101    20.869   194.229
   22   29.385   29.379   36.535    0.105    21.863   194.004
   23   29.381   29.376   36.534    0.110    22.856   193.885
   24   29.379   29.373   36.534    0.115    23.850   194.079
   25   29.374   29.368   36.533    0.120    24.844   194.031
   26   29.371   29.365   36.533    0.125    25.837   194.010
   27   29.373   29.366   36.534    0.129    26.831   194.185
   28   29.373   29.366   36.534    0.134    27.825   193.918
   29   29.372   29.365   36.534    0.139    28.818   194.060
   30   29.373   29.365   36.535    0.144    29.812   193.652
   31   29.375   29.367   36.536    0.148    30.806   193.875
   32   29.374   29.366   36.535    0.153    31.799   193.760
   33   29.373   29.365   36.536    0.158    32.793   193.837
   34   29.370   29.362   36.535    0.163    33.787   194.222
   35   29.368   29.359   36.535    0.168    34.780   193.873
   36   29.367   29.359   36.535    0.172    35.774   193.908
   37   29.366   29.357   36.535    0.177    36.767   193.620
   38   29.361   29.352   36.535    0.182    37.761   193.793
   39   29.351   29.342   36.533    0.187    38.755   193.885
   40   29.218   29.208   36.513    0.191    39.748   194.012
   41   28.793   28.783   36.545    0.196    40.742   187.468
   42   28.368   28.358   36.576    0.201    41.736   180.822
   43   27.943   27.933   36.607    0.205    42.729   174.075
