 station cast   lat    long    jday   mo/da/yr   gmt
 130      1   26.872 -82.868   292    10/19/21  0734 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.593   28.593   36.024    0.005    0.993   192.775
    2   28.593   28.592   36.024    0.010    1.987   192.801
    3   28.593   28.592   36.024    0.015    2.980   192.827
    4   28.593   28.592   36.023    0.020    3.974   192.854
    5   28.594   28.593   36.023    0.024    4.967   193.134
    6   28.595   28.594   36.023    0.029    5.961   192.876
    7   28.596   28.594   36.023    0.034    6.954   193.050
    8   28.597   28.595   36.023    0.039    7.947   193.040
    9   28.600   28.597   36.023    0.044    8.941   192.966
   10   28.596   28.593   36.023    0.049    9.934   192.875
   11   28.596   28.594   36.023    0.054    10.927   193.073
   12   28.596   28.593   36.023    0.059    11.921   193.165
   13   28.596   28.593   36.023    0.064    12.914   192.910
   14   28.597   28.594   36.023    0.068    13.908   192.713
   15   28.598   28.594   36.023    0.073    14.901   193.040
   16   28.597   28.593   36.023    0.078    15.894   193.028
   17   28.598   28.594   36.023    0.083    16.888   193.150
   18   28.599   28.594   36.023    0.088    17.881   192.694
   19   28.599   28.594   36.023    0.093    18.874   193.189
   20   28.599   28.594   36.023    0.098    19.868   192.635
   21   28.599   28.594   36.023    0.103    20.861   192.410
   22   28.599   28.594   36.023    0.108    21.854   193.027
   23   28.600   28.594   36.023    0.113    22.848   193.030
   24   28.601   28.595   36.023    0.117    23.841   193.660
   25   28.601   28.595   36.023    0.122    24.834   193.647
   26   28.601   28.594   36.023    0.127    25.828   193.634
   27   28.600   28.594   36.023    0.132    26.821   193.621
