 station cast   lat    long    jday   mo/da/yr   gmt
  52      5   27.511 -94.602   271    09/28/21  0605 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.982   28.982   35.583    0.005    0.993   195.107
    2   28.982   28.982   35.583    0.011    1.987   195.134
    3   28.982   28.981   35.582    0.016    2.980   195.160
    4   28.982   28.981   35.582    0.021    3.974   195.187
    5   28.982   28.981   35.582    0.027    4.967   195.197
    6   28.981   28.980   35.582    0.032    5.960   195.395
    7   28.914   28.912   35.582    0.037    6.954   195.651
    8   28.846   28.844   35.582    0.043    7.947   195.908
    9   28.778   28.776   35.582    0.048    8.940   196.165
   10   28.710   28.708   35.582    0.053    9.934   196.422
   11   28.643   28.640   35.582    0.058    10.927   196.680
   12   28.758   28.755   35.582    0.064    11.920   196.321
   13   28.873   28.870   35.582    0.069    12.914   195.962
   14   28.989   28.985   35.582    0.074    13.907   195.473
   15   28.986   28.982   35.582    0.080    14.900   195.472
   16   28.986   28.982   35.583    0.085    15.894   195.517
   17   28.986   28.982   35.582    0.090    16.887   195.521
   18   28.982   28.978   35.581    0.096    17.880   195.708
   19   28.980   28.975   35.580    0.101    18.873   195.474
   20   28.980   28.976   35.580    0.106    19.867   195.232
   21   28.991   28.986   35.589    0.112    20.860   195.550
   22   29.041   29.036   35.623    0.117    21.853   195.821
   23   29.053   29.047   35.630    0.122    22.847   195.252
   24   29.079   29.074   35.657    0.127    23.840   195.640
   25   29.074   29.068   35.724    0.133    24.833   195.921
   26   29.057   29.051   35.807    0.138    25.826   195.320
   27   29.068   29.062   35.839    0.143    26.820   195.283
   28   29.080   29.073   35.848    0.148    27.813   194.986
   29   29.113   29.106   35.883    0.153    28.806   194.835
   30   29.113   29.105   35.897    0.159    29.799   195.410
   31   29.095   29.088   35.899    0.164    30.793   195.032
   32   29.089   29.081   35.902    0.169    31.786   195.182
   33   29.091   29.083   35.907    0.174    32.779   195.372
   34   29.087   29.078   35.918    0.179    33.772   194.735
   35   29.065   29.057   35.918    0.184    34.766   195.013
   36   29.035   29.026   35.912    0.189    35.759   195.556
   37   29.030   29.021   35.911    0.195    36.752   195.542
   38   28.970   28.961   35.911    0.200    37.745   196.059
   39   28.958   28.948   35.929    0.205    38.738   197.689
   40   28.927   28.917   35.972    0.210    39.732   197.387
   41   28.372   28.362   36.014    0.215    40.725   199.941
   42   27.547   27.537   35.930    0.219    41.718   212.743
   43   27.313   27.303   35.942    0.224    42.711   225.279
   44   27.014   27.004   36.042    0.228    43.704   226.585
   45   26.736   26.726   36.132    0.232    44.698   220.847
   46   26.166   26.156   36.130    0.237    45.691   220.784
   47   25.961   25.951   36.188    0.241    46.684   226.107
   48   25.803   25.793   36.232    0.244    47.677   222.569
   49   25.682   25.671   36.260    0.248    48.670   215.641
   50   25.552   25.541   36.262    0.252    49.663   211.843
   51   25.449   25.437   36.263    0.256    50.656   212.217
   52   25.347   25.335   36.251    0.260    51.650   212.777
