 station cast   lat    long    jday   mo/da/yr   gmt
  99      1   21.927 -88.000   285    10/12/21  0932 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.233   29.232   36.391    0.005    0.994   194.941
    2   29.233   29.232   36.390    0.010    1.988   194.967
    3   29.233   29.232   36.390    0.014    2.981   194.994
    4   29.233   29.232   36.390    0.019    3.975   194.847
    5   29.233   29.232   36.390    0.024    4.969   195.439
    6   29.234   29.232   36.390    0.029    5.963   195.290
    7   29.233   29.231   36.390    0.034    6.956   195.216
    8   29.231   29.229   36.391    0.039    7.950   195.507
    9   29.232   29.230   36.391    0.043    8.944   195.392
   10   29.234   29.231   36.391    0.048    9.938   195.320
   11   29.236   29.233   36.391    0.053    10.931   195.414
   12   29.237   29.234   36.391    0.058    11.925   195.204
   13   29.238   29.235   36.391    0.063    12.919   195.397
   14   29.238   29.234   36.391    0.068    13.912   195.355
   15   29.237   29.233   36.391    0.072    14.906   195.655
   16   29.237   29.233   36.390    0.077    15.900   195.755
   17   29.033   29.029   36.391    0.082    16.893   197.141
   18   28.591   28.587   36.400    0.087    17.887   205.045
   19   27.738   27.734   36.442    0.091    18.881   210.896
   20   27.599   27.594   36.445    0.095    19.875   219.213
