 station cast   lat    long    jday   mo/da/yr   gmt
 124      1   24.469 -82.882   291    10/18/21  1255 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.384   29.384   36.051    0.005    0.994   188.614
    2   29.384   29.383   36.051    0.010    1.987   188.640
    3   29.384   29.383   36.051    0.015    2.981   188.666
    4   29.384   29.383   36.051    0.020    3.974   188.691
    5   29.385   29.384   36.050    0.026    4.968   188.647
    6   29.387   29.385   36.050    0.031    5.962   188.743
    7   29.388   29.386   36.050    0.036    6.955   188.894
    8   29.386   29.384   36.050    0.041    7.949   188.845
    9   29.387   29.384   36.050    0.046    8.942   189.261
   10   29.386   29.384   36.050    0.051    9.936   188.705
   11   29.385   29.382   36.050    0.056    10.929   189.020
   12   29.386   29.383   36.050    0.061    11.923   189.158
   13   29.387   29.383   36.050    0.067    12.916   189.090
   14   29.388   29.384   36.050    0.072    13.910   189.283
   15   29.385   29.382   36.049    0.077    14.904   189.106
   16   29.386   29.382   36.049    0.082    15.897   188.927
   17   29.387   29.382   36.049    0.087    16.891   189.170
   18   29.387   29.382   36.049    0.092    17.884   189.356
   19   29.386   29.382   36.049    0.097    18.878   189.296
   20   29.386   29.381   36.049    0.102    19.871   189.113
   21   29.386   29.381   36.049    0.108    20.865   188.969
   22   29.387   29.381   36.049    0.113    21.858   189.214
   23   29.388   29.382   36.049    0.118    22.852   189.067
   24   29.387   29.381   36.049    0.123    23.845   189.063
   25   29.385   29.379   36.049    0.128    24.839   189.168
   26   29.385   29.378   36.049    0.133    25.832   189.638
   27   29.405   29.398   36.074    0.138    26.826   189.169
   28   29.425   29.418   36.100    0.144    27.819   188.699
   29   29.445   29.438   36.088    0.149    28.813   189.869
   30   29.560   29.553   36.162    0.154    29.806   190.632
