 station cast   lat    long    jday   mo/da/yr   gmt
 118      1   21.640 -86.244   289    10/16/21  0201 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.655   29.655   36.048    0.005    0.994   193.821
    2   29.655   29.655   36.048    0.010    1.988   193.847
    3   29.655   29.655   36.048    0.016    2.981   193.874
    4   29.655   29.654   36.047    0.021    3.975   193.900
    5   29.655   29.654   36.047    0.026    4.969   193.700
    6   29.649   29.648   36.050    0.031    5.963   194.800
    7   29.601   29.599   36.068    0.036    6.956   195.193
    8   29.507   29.505   36.099    0.042    7.950   197.217
    9   29.451   29.449   36.101    0.047    8.944   198.605
   10   29.427   29.425   36.097    0.052    9.938   198.347
   11   29.411   29.408   36.096    0.057    10.931   198.133
   12   29.381   29.378   36.099    0.062    11.925   197.590
   13   29.343   29.340   36.102    0.067    12.919   197.431
   14   29.314   29.310   36.100    0.072    13.913   197.523
   15   29.304   29.301   36.104    0.077    14.906   197.493
   16   29.296   29.292   36.113    0.082    15.900   197.307
   17   29.286   29.282   36.123    0.087    16.894   196.849
   18   29.305   29.301   36.142    0.092    17.887   196.780
   19   29.342   29.337   36.166    0.097    18.881   196.094
   20   29.353   29.348   36.173    0.102    19.875   194.891
   21   29.339   29.334   36.169    0.107    20.869   195.429
   22   29.305   29.300   36.157    0.112    21.862   196.248
   23   29.271   29.266   36.146    0.117    22.856   196.597
   24   29.274   29.269   36.153    0.122    23.850   196.695
   25   29.271   29.265   36.151    0.127    24.843   196.255
   26   29.262   29.256   36.160    0.132    25.837   196.052
   27   29.248   29.242   36.157    0.138    26.831   195.742
   28   29.247   29.240   36.161    0.143    27.824   196.358
   29   29.249   29.242   36.167    0.148    28.818   196.382
   30   29.229   29.222   36.174    0.153    29.812   195.970
   31   29.231   29.223   36.192    0.157    30.805   195.947
   32   29.231   29.223   36.197    0.162    31.799   194.658
   33   29.217   29.209   36.198    0.167    32.793   195.464
   34   29.168   29.160   36.209    0.172    33.786   195.312
   35   29.134   29.126   36.220    0.177    34.780   194.475
   36   29.124   29.115   36.221    0.182    35.773   194.012
   37   29.074   29.065   36.229    0.187    36.767   194.035
   38   28.996   28.987   36.241    0.192    37.761   192.493
   39   28.931   28.922   36.245    0.197    38.754   192.408
   40   28.841   28.831   36.247    0.202    39.748   192.934
   41   28.800   28.790   36.249    0.207    40.741   193.365
   42   28.780   28.770   36.250    0.211    41.735   193.868
   43   28.746   28.736   36.251    0.216    42.729   193.438
   44   28.589   28.579   36.263    0.221    43.722   193.964
   45   28.528   28.518   36.271    0.226    44.716   193.318
   46   28.493   28.482   36.278    0.230    45.709   193.284
   47   28.406   28.395   36.291    0.235    46.703   193.003
   48   28.297   28.285   36.307    0.239    47.696   191.984
   49   28.174   28.162   36.326    0.244    48.690   190.865
   50   28.145   28.134   36.331    0.249    49.684   189.736
   51   28.117   28.105   36.332    0.253    50.677   190.173
   52   28.103   28.090   36.332    0.258    51.671   190.120
   53   28.088   28.076   36.333    0.262    52.664   190.521
   54   28.013   28.000   36.342    0.267    53.658   190.316
   55   27.948   27.935   36.349    0.271    54.651   189.719
   56   27.863   27.850   36.360    0.276    55.645   189.448
   57   27.792   27.779   36.372    0.280    56.638   188.705
   58   27.768   27.754   36.374    0.284    57.632   187.910
   59   27.740   27.726   36.375    0.289    58.625   188.191
   60   27.690   27.676   36.388    0.293    59.619   188.140
   61   27.683   27.669   36.391    0.297    60.612   187.634
   62   27.677   27.662   36.395    0.302    61.606   187.214
   63   27.671   27.656   36.398    0.306    62.599   187.404
   64   27.671   27.656   36.406    0.311    63.593   187.340
   65   27.669   27.653   36.404    0.315    64.586   186.488
   66   27.669   27.653   36.405    0.319    65.580   186.288
   67   27.673   27.657   36.408    0.324    66.573   186.589
   68   27.678   27.662   36.411    0.328    67.567   186.734
   69   27.685   27.669   36.415    0.332    68.560   186.210
   70   27.686   27.670   36.415    0.337    69.554   185.880
   71   27.682   27.665   36.415    0.341    70.547   185.787
   72   27.674   27.657   36.418    0.345    71.541   185.977
   73   27.664   27.647   36.420    0.350    72.534   185.678
   74   27.652   27.635   36.423    0.354    73.527   185.661
   75   27.596   27.578   36.432    0.358    74.521   185.456
   76   27.361   27.344   36.467    0.363    75.514   184.853
   77   26.995   26.977   36.520    0.367    76.508   182.052
   78   26.936   26.918   36.528    0.371    77.501   179.399
   79   26.769   26.751   36.552    0.375    78.495   179.453
   80   26.667   26.649   36.563    0.379    79.488   179.046
   81   26.620   26.601   36.566    0.382    80.481   178.072
   82   26.492   26.473   36.582    0.386    81.475   177.722
   83   26.459   26.440   36.588    0.390    82.468   177.163
   84   26.351   26.332   36.607    0.394    83.462   176.640
   85   26.300   26.281   36.616    0.398    84.455   175.972
   86   26.282   26.262   36.620    0.402    85.448   175.668
   87   26.239   26.220   36.629    0.405    86.442   175.673
   88   26.181   26.161   36.642    0.409    87.435   175.467
   89   26.103   26.083   36.654    0.413    88.428   174.979
   90   26.044   26.024   36.661    0.416    89.422   174.369
   91   26.019   25.999   36.667    0.420    90.415   173.913
   92   26.015   25.994   36.669    0.424    91.409   173.790
   93   26.014   25.993   36.670    0.427    92.402   174.033
   94   26.013   25.991   36.671    0.431    93.395   174.176
   95   26.011   25.989   36.672    0.435    94.389   174.064
   96   25.965   25.943   36.681    0.438    95.382   174.021
   97   25.726   25.705   36.717    0.442    96.375   173.368
   98   25.488   25.467   36.754    0.445    97.369   170.836
   99   25.437   25.415   36.766    0.449    98.362   168.698
  100   25.294   25.272   36.783    0.452    99.355   168.740
  101   25.168   25.145   36.807    0.455    100.348   168.064
  102   25.152   25.130   36.813    0.459    101.342   166.857
  103   25.104   25.082   36.829    0.462    102.335   166.643
  104   25.032   25.009   36.843    0.465    103.328   166.404
  105   24.993   24.970   36.846    0.469    104.322   165.799
  106   24.973   24.950   36.847    0.472    105.315   165.339
  107   24.606   24.582   36.882    0.475    106.308   165.336
  108   24.235   24.211   36.924    0.478    107.302   162.826
  109   24.133   24.110   36.937    0.481    108.295   160.729
  110   23.954   23.931   36.969    0.484    109.288   160.009
  111   23.840   23.817   36.993    0.486    110.281   159.211
  112   23.813   23.790   37.009    0.489    111.275   159.046
  113   23.775   23.751   37.017    0.492    112.268   159.992
  114   23.716   23.692   37.019    0.495    113.261   160.657
  115   23.630   23.606   37.018    0.497    114.254   160.423
  116   23.505   23.481   37.015    0.500    115.248   159.950
  117   23.450   23.425   37.014    0.503    116.241   159.404
  118   23.373   23.349   37.009    0.505    117.234   158.998
  119   23.228   23.203   36.994    0.508    118.227   158.691
  120   23.126   23.101   36.978    0.511    119.220   158.369
  121   23.038   23.013   36.962    0.513    120.214   158.306
  122   22.874   22.849   36.941    0.516    121.207   158.035
  123   22.828   22.802   36.940    0.518    122.200   157.503
  124   22.775   22.750   36.934    0.521    123.193   157.571
  125   22.657   22.631   36.928    0.524    124.186   157.438
  126   22.640   22.614   36.939    0.526    125.180   156.953
  127   22.641   22.615   36.942    0.529    126.173   156.928
  128   22.685   22.659   36.964    0.531    127.166   157.050
  129   22.712   22.685   36.976    0.534    128.159   157.446
  130   22.715   22.688   36.980    0.536    129.152   157.893
  131   22.712   22.685   36.980    0.539    130.146   157.979
  132   22.712   22.685   36.982    0.541    131.139   157.850
  133   22.682   22.655   36.978    0.544    132.132   157.797
  134   22.644   22.616   36.972    0.546    133.125   157.614
  135   22.632   22.604   36.972    0.549    134.118   157.382
  136   22.608   22.580   36.981    0.551    135.111   157.572
  137   22.496   22.468   36.982    0.553    136.104   158.268
  138   22.419   22.391   36.978    0.556    137.098   158.648
  139   22.397   22.369   36.977    0.558    138.091   159.128
  140   22.380   22.352   36.978    0.561    139.084   159.752
  141   22.327   22.299   36.975    0.563    140.077   160.127
  142   22.114   22.086   36.959    0.566    141.070   160.099
  143   22.042   22.013   36.950    0.568    142.063   158.997
  144   22.021   21.992   36.945    0.570    143.056   157.475
  145   21.996   21.967   36.938    0.573    144.049   156.409
  146   21.956   21.927   36.928    0.575    145.042   155.607
  147   21.894   21.865   36.913    0.577    146.035   154.514
  148   21.875   21.845   36.911    0.580    147.029   153.325
  149   21.804   21.774   36.894    0.582    148.022   153.145
  150   21.618   21.588   36.864    0.584    149.015   152.925
  151   21.560   21.531   36.875    0.586    150.008   151.936
  152   21.475   21.445   36.864    0.589    151.001   150.518
  153   21.432   21.402   36.864    0.591    151.994   149.871
