 station cast   lat    long    jday   mo/da/yr   gmt
  24      1   28.689 -86.064   264    09/21/21  0537 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.370   28.370   34.772    0.006    0.993   197.226
    2   28.370   28.370   34.772    0.011    1.987   197.253
    3   28.370   28.370   34.771    0.017    2.980   197.280
    4   28.370   28.369   34.771    0.023    3.973   197.307
    5   28.370   28.369   34.771    0.029    4.966   197.166
    6   28.364   28.362   34.769    0.034    5.960   197.815
    7   28.358   28.356   34.766    0.040    6.953   197.891
    8   28.352   28.351   34.763    0.046    7.946   197.480
    9   28.347   28.345   34.760    0.051    8.939   197.469
   10   28.350   28.348   34.762    0.057    9.933   197.385
   11   28.352   28.349   34.762    0.063    10.926   197.956
   12   28.347   28.344   34.758    0.069    11.919   197.927
   13   28.347   28.344   34.759    0.074    12.912   197.558
   14   28.348   28.345   34.759    0.080    13.906   197.781
   15   28.345   28.341   34.759    0.086    14.899   197.787
   16   28.346   28.342   34.760    0.091    15.892   197.331
   17   28.427   28.423   34.814    0.097    16.885   197.492
   18   28.608   28.604   34.953    0.103    17.879   197.952
   19   28.720   28.715   35.096    0.108    18.872   197.786
   20   28.775   28.770   35.184    0.114    19.865   197.516
   21   28.840   28.835   35.264    0.120    20.858   197.054
   22   28.844   28.838   35.267    0.125    21.851   196.825
   23   28.852   28.846   35.275    0.131    22.845   197.184
   24   28.872   28.866   35.305    0.136    23.838   197.078
   25   28.889   28.883   35.348    0.142    24.831   197.088
   26   28.886   28.879   35.384    0.147    25.824   196.774
   27   28.881   28.874   35.413    0.152    26.817   196.756
   28   28.888   28.881   35.446    0.158    27.810   196.976
   29   28.887   28.880   35.477    0.163    28.804   197.025
   30   28.927   28.920   35.556    0.169    29.797   196.954
   31   28.899   28.891   35.559    0.174    30.790   196.991
   32   28.857   28.850   35.615    0.179    31.783   197.414
   33   28.837   28.829   35.713    0.184    32.776   200.085
   34   28.794   28.785   35.748    0.190    33.769   200.989
   35   28.774   28.765   35.794    0.195    34.762   200.449
   36   28.753   28.744   35.808    0.200    35.756   200.949
   37   28.671   28.662   35.836    0.205    36.749   201.202
   38   28.262   28.253   35.860    0.210    37.742   202.925
   39   27.879   27.870   35.918    0.214    38.735   207.996
   40   27.679   27.670   35.965    0.219    39.728   211.557
   41   27.336   27.327   36.027    0.224    40.721   210.214
   42   27.196   27.186   36.039    0.228    41.714   206.744
   43   26.974   26.964   36.029    0.232    42.707   202.183
   44   26.826   26.816   36.033    0.237    43.700   197.474
   45   26.776   26.766   36.039    0.241    44.693   196.766
   46   26.604   26.594   36.044    0.245    45.687   197.128
   47   26.423   26.413   36.056    0.250    46.680   195.469
   48   26.232   26.221   36.072    0.254    47.673   197.996
   49   26.143   26.132   36.078    0.258    48.666   199.897
   50   25.873   25.862   36.101    0.262    49.659   199.414
   51   25.633   25.622   36.123    0.266    50.652   197.981
   52   25.369   25.357   36.151    0.270    51.645   195.991
   53   25.319   25.308   36.159    0.273    52.638   195.354
   54   25.242   25.230   36.169    0.277    53.631   195.832
   55   25.190   25.178   36.182    0.281    54.624   196.354
   56   25.150   25.137   36.200    0.285    55.617   196.834
   57   25.109   25.096   36.213    0.288    56.610   197.797
   58   25.057   25.044   36.229    0.292    57.603   198.821
   59   24.849   24.836   36.262    0.296    58.596   199.740
   60   24.362   24.349   36.331    0.299    59.589   200.555
   61   24.153   24.140   36.330    0.302    60.582   201.188
   62   23.903   23.890   36.287    0.306    61.575   201.702
   63   23.526   23.513   36.266    0.309    62.568   198.232
   64   23.438   23.425   36.268    0.312    63.561   190.616
   65   23.321   23.308   36.272    0.315    64.554   187.379
   66   23.247   23.233   36.281    0.318    65.547   187.534
   67   23.175   23.161   36.271    0.322    66.540   187.678
   68   23.066   23.052   36.268    0.325    67.533   185.866
   69   23.005   22.991   36.276    0.328    68.526   182.593
   70   22.906   22.891   36.285    0.331    69.519   181.437
   71   22.805   22.791   36.290    0.334    70.512   182.151
   72   22.713   22.698   36.296    0.337    71.505   182.176
   73   22.567   22.552   36.301    0.340    72.498   180.533
   74   22.433   22.418   36.303    0.343    73.491   176.612
   75   22.361   22.346   36.317    0.345    74.484   173.095
   76   22.177   22.161   36.345    0.348    75.477   172.569
   77   22.117   22.102   36.361    0.351    76.470   172.625
   78   21.994   21.978   36.407    0.354    77.463   172.808
   79   22.094   22.078   36.457    0.356    78.455   172.700
   80   22.116   22.100   36.477    0.359    79.448   172.704
   81   22.144   22.128   36.534    0.362    80.441   171.379
   82   22.114   22.098   36.554    0.364    81.434   167.960
   83   21.992   21.975   36.543    0.367    82.427   164.027
   84   21.789   21.773   36.527    0.370    83.420   162.381
   85   21.692   21.675   36.538    0.372    84.413   162.455
   86   21.490   21.473   36.544    0.375    85.406   161.671
   87   21.452   21.435   36.537    0.377    86.399   159.229
   88   21.302   21.285   36.513    0.379    87.391   158.608
   89   21.143   21.126   36.519    0.382    88.384   159.319
   90   21.156   21.139   36.538    0.384    89.377   158.342
   91   21.155   21.137   36.552    0.387    90.370   156.315
   92   21.094   21.077   36.580    0.389    91.363   154.281
   93   20.881   20.863   36.587    0.391    92.356   151.030
   94   20.732   20.714   36.564    0.394    93.349   146.488
   95   20.340   20.322   36.497    0.396    94.341   143.878
   96   20.127   20.109   36.468    0.398    95.334   141.614
   97   20.047   20.029   36.460    0.400    96.327   139.953
   98   19.971   19.953   36.460    0.402    97.320   138.502
   99   19.812   19.794   36.456    0.404    98.313   137.157
  100   19.785   19.766   36.474    0.406    99.306   134.679
  101   19.842   19.824   36.531    0.408    100.298   133.230
  102   19.787   19.768   36.537    0.411    101.291   134.803
  103   19.680   19.661   36.524    0.413    102.284   136.076
  104   19.619   19.600   36.527    0.415    103.277   135.093
  105   19.482   19.463   36.529    0.417    104.270   133.490
  106   19.394   19.374   36.526    0.418    105.262   132.275
  107   19.252   19.233   36.514    0.420    106.255   131.385
  108   19.136   19.117   36.506    0.422    107.248   130.520
  109   19.096   19.076   36.505    0.424    108.241   130.555
  110   19.000   18.980   36.486    0.426    109.234   131.414
