 station cast   lat    long    jday   mo/da/yr   gmt
  76      1   22.278 -97.656   278    10/05/21  2334 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.441   29.441   35.672    0.005    0.994   193.961
    2   29.441   29.441   35.672    0.011    1.987   193.987
    3   29.441   29.441   35.672    0.016    2.981   194.014
    4   29.441   29.440   35.672    0.022    3.975   194.040
    5   29.441   29.440   35.671    0.027    4.969   193.784
    6   29.441   29.439   35.671    0.032    5.962   194.115
    7   29.443   29.442   35.672    0.038    6.956   194.358
    8   29.445   29.444   35.672    0.043    7.950   194.311
    9   29.448   29.446   35.673    0.049    8.944   194.101
   10   29.447   29.445   35.673    0.054    9.937   194.581
   11   29.447   29.445   35.672    0.060    10.931   194.399
   12   29.449   29.446   35.673    0.065    11.925   194.187
   13   29.452   29.449   35.676    0.070    12.918   194.566
   14   29.452   29.448   35.678    0.076    13.912   194.041
   15   29.451   29.447   35.679    0.081    14.906   194.123
   16   29.451   29.447   35.680    0.087    15.899   194.039
   17   29.451   29.447   35.679    0.092    16.893   194.211
   18   29.453   29.448   35.690    0.097    17.887   194.078
   19   29.452   29.447   35.693    0.103    18.880   194.299
   20   29.451   29.446   35.697    0.108    19.874   193.698
   21   29.450   29.445   35.701    0.114    20.868   194.217
   22   29.444   29.439   35.725    0.119    21.861   194.035
   23   29.388   29.383   35.796    0.124    22.855   194.187
   24   29.333   29.327   35.854    0.130    23.849   194.312
   25   29.300   29.294   35.913    0.135    24.842   194.687
   26   29.272   29.266   36.016    0.140    25.836   196.842
   27   29.244   29.237   36.119    0.145    26.830   198.997
   28   29.102   29.096   36.222    0.150    27.823   197.571
   29   29.080   29.073   36.223    0.155    28.817   198.359
   30   28.818   28.811   36.226    0.160    29.810   198.461
   31   28.732   28.725   36.222    0.164    30.804   195.126
   32   28.670   28.662   36.217    0.169    31.798   193.835
   33   28.649   28.642   36.216    0.174    32.791   191.641
   34   28.635   28.627   36.214    0.179    33.785   190.735
