 station cast   lat    long    jday   mo/da/yr   gmt
  75      1   22.288 -97.778   278    10/05/21  2228 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.270   29.270   35.446    0.006    0.994   195.275
    2   29.270   29.269   35.446    0.011    1.987   195.301
    3   29.270   29.269   35.446    0.017    2.981   195.328
    4   29.270   29.269   35.445    0.022    3.975   195.355
    5   29.270   29.269   35.445    0.028    4.969   195.559
    6   29.270   29.268   35.445    0.033    5.962   195.009
    7   29.271   29.269   35.445    0.039    6.956   195.148
    8   29.272   29.270   35.445    0.044    7.950   195.026
    9   29.266   29.264   35.455    0.050    8.944   195.166
   10   29.265   29.263   35.462    0.055    9.937   195.264
   11   29.274   29.272   35.488    0.061    10.931   195.175
   12   29.279   29.277   35.501    0.066    11.925   195.255
   13   29.311   29.308   35.575    0.072    12.918   195.156
   14   29.322   29.318   35.600    0.077    13.912   194.567
   15   29.324   29.320   35.604    0.082    14.906   194.680
   16   29.323   29.319   35.604    0.088    15.899   194.325
   17   29.327   29.323   35.620    0.093    16.893   194.147
   18   29.326   29.322   35.639    0.099    17.887   193.694
   19   29.324   29.320   35.659    0.104    18.880   193.242
   20   29.323   29.318   35.678    0.109    19.874   192.790
