 station cast   lat    long    jday   mo/da/yr   gmt
  94      1   21.722 -89.757   283    10/10/21  2228 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.959   28.959   36.500    0.005    0.994   199.149
    2   28.959   28.959   36.500    0.009    1.988   199.176
    3   28.959   28.958   36.499    0.014    2.981   199.204
    4   28.959   28.958   36.499    0.019    3.975   199.231
    5   28.959   28.958   36.499    0.023    4.969   199.277
    6   28.931   28.930   36.500    0.028    5.963   198.807
    7   28.904   28.902   36.500    0.033    6.956   199.170
    8   28.871   28.869   36.498    0.037    7.950   199.352
    9   28.844   28.842   36.497    0.042    8.944   199.058
   10   28.819   28.817   36.494    0.046    9.938   199.983
   11   28.783   28.781   36.491    0.051    10.931   200.229
   12   28.733   28.730   36.486    0.056    11.925   200.310
   13   28.710   28.707   36.484    0.060    12.919   201.107
   14   28.685   28.681   36.479    0.065    13.913   201.537
   15   28.667   28.663   36.483    0.069    14.906   201.556
   16   28.644   28.641   36.483    0.074    15.900   201.792
   17   28.533   28.529   36.482    0.079    16.894   202.804
   18   28.386   28.382   36.479    0.083    17.887   203.323
   19   28.347   28.343   36.555    0.088    18.881   202.800
   20   28.308   28.304   36.630    0.092    19.875   202.276
   21   28.270   28.264   36.706    0.096    20.868   201.752
   22   28.231   28.225   36.783    0.100    21.862   201.227
