 station cast   lat    long    jday   mo/da/yr   gmt
  63      2   26.047 -96.822   275    10/02/21  1818 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.777   28.776   35.016    0.006    0.993   204.588
    2   28.777   28.776   35.016    0.011    1.987   204.616
    3   28.777   28.776   35.015    0.017    2.980   204.644
    4   28.777   28.776   35.015    0.023    3.974   204.672
    5   28.781   28.779   35.015    0.028    4.967   204.932
    6   28.785   28.783   35.014    0.034    5.961   204.913
    7   28.788   28.787   35.014    0.040    6.954   205.041
    8   28.742   28.740   35.034    0.045    7.948   205.251
    9   28.739   28.737   35.043    0.051    8.941   205.004
   10   28.737   28.735   35.050    0.057    9.935   204.977
   11   28.737   28.734   35.068    0.062    10.928   204.783
   12   28.738   28.735   35.077    0.068    11.922   204.460
   13   28.735   28.732   35.086    0.073    12.915   204.448
   14   28.732   28.729   35.090    0.079    13.908   204.350
   15   28.730   28.727   35.094    0.085    14.902   204.256
   16   28.733   28.729   35.097    0.090    15.895   203.918
   17   28.741   28.737   35.113    0.096    16.889   203.971
   18   28.765   28.761   35.140    0.101    17.882   203.825
   19   28.808   28.803   35.177    0.107    18.876   203.347
   20   28.931   28.926   35.287    0.113    19.869   202.036
   21   29.051   29.046   35.402    0.118    20.862   199.395
   22   29.120   29.114   35.479    0.123    21.856   197.333
   23   29.167   29.161   35.539    0.129    22.849   194.580
   24   29.174   29.168   35.554    0.134    23.842   187.508
   25   29.176   29.170   35.557    0.140    24.836   184.052
   26   29.176   29.169   35.561    0.145    25.829   185.312
   27   29.176   29.169   35.561    0.151    26.823   182.928
   28   29.175   29.169   35.561    0.156    27.816   182.869
   29   29.175   29.168   35.561    0.161    28.809   182.675
   30   29.175   29.168   35.561    0.167    29.803   182.266
   31   29.175   29.168   35.561    0.172    30.796   182.098
   32   29.177   29.169   35.563    0.178    31.789   180.995
   33   29.177   29.169   35.563    0.183    32.783   181.387
   34   29.177   29.169   35.563    0.188    33.776   181.480
   35   29.177   29.169   35.563    0.194    34.769   181.408
   36   29.179   29.170   35.564    0.199    35.763   181.586
