 station cast   lat    long    jday   mo/da/yr   gmt
  56      2   27.834 -95.001   272    09/29/21  0028 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.757   28.757   35.004    0.006    0.993   138.760
    2   28.757   28.757   35.004    0.011    1.987   138.779
    3   28.757   28.757   35.004    0.017    2.980   138.798
    4   28.757   28.756   35.003    0.023    3.973   138.817
    5   28.756   28.755   34.992    0.028    4.967   132.092
    6   28.756   28.754   34.980    0.034    5.960   132.313
    7   28.755   28.753   34.968    0.040    6.953   132.534
    8   28.754   28.752   34.956    0.045    7.947   132.755
    9   28.753   28.751   34.945    0.051    8.940   132.975
   10   28.752   28.750   34.933    0.057    9.933   131.389
   11   28.752   28.749   34.932    0.063    10.927   131.267
   12   28.752   28.749   34.932    0.068    11.920   131.165
   13   28.752   28.749   34.933    0.074    12.913   131.094
