 station cast   lat    long    jday   mo/da/yr   gmt
 113      1   22.205 -86.830   288    10/15/21  1244 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.569   28.569   36.230    0.005    0.994   193.395
    2   28.569   28.568   36.229    0.009    1.988   193.421
    3   28.569   28.568   36.229    0.014    2.981   193.448
    4   28.569   28.568   36.229    0.019    3.975   193.474
    5   28.569   28.568   36.229    0.024    4.969   193.431
    6   28.473   28.472   36.233    0.028    5.962   192.648
    7   28.306   28.304   36.241    0.033    6.956   192.112
    8   28.194   28.192   36.246    0.038    7.950   191.847
    9   28.052   28.050   36.253    0.042    8.944   191.634
   10   27.975   27.973   36.256    0.047    9.937   191.707
   11   27.942   27.940   36.258    0.051    10.931   191.372
   12   27.881   27.878   36.263    0.056    11.925   190.944
   13   27.885   27.882   36.264    0.060    12.918   190.905
   14   27.811   27.808   36.269    0.065    13.912   190.984
   15   27.117   27.113   36.305    0.069    14.906   190.610
   16   25.043   25.040   36.412    0.072    15.899   181.122
   17   24.668   24.664   36.443    0.076    16.893   168.323
   18   24.381   24.377   36.459    0.079    17.887   167.963
   19   24.289   24.285   36.467    0.082    18.881   166.089
   20   24.242   24.238   36.472    0.086    19.874   166.246
   21   24.144   24.140   36.477    0.089    20.868   166.199
   22   23.933   23.928   36.483    0.092    21.861   164.274
   23   23.815   23.810   36.489    0.095    22.855   161.892
   24   23.733   23.728   36.495    0.098    23.849   160.412
   25   23.634   23.629   36.502    0.101    24.842   159.422
   26   23.443   23.437   36.525    0.104    25.836   158.868
   27   23.341   23.336   36.533    0.107    26.830   156.701
   28   23.243   23.237   36.539    0.110    27.823   157.112
   29   23.238   23.232   36.545    0.113    28.817   157.170
   30   23.228   23.222   36.549    0.116    29.811   154.186
   31   23.169   23.163   36.555    0.119    30.804   151.052
   32   23.029   23.022   36.560    0.122    31.798   147.087
   33   22.833   22.826   36.562    0.125    32.791   142.769
   34   22.649   22.642   36.562    0.127    33.785   140.023
   35   22.550   22.543   36.557    0.130    34.779   139.454
   36   22.515   22.508   36.555    0.133    35.772   140.198
   37   22.488   22.480   36.549    0.136    36.766   141.324
   38   22.447   22.439   36.540    0.138    37.759   142.095
   39   22.430   22.422   36.537    0.141    38.753   143.382
   40   22.334   22.326   36.529    0.144    39.746   143.981
   41   22.219   22.211   36.527    0.146    40.740   145.645
   42   22.097   22.089   36.530    0.149    41.734   145.745
   43   22.000   21.991   36.530    0.152    42.727   144.567
   44   21.894   21.885   36.528    0.154    43.721   142.427
   45   21.745   21.736   36.527    0.157    44.714   139.686
   46   21.701   21.692   36.527    0.159    45.708   139.708
   47   21.678   21.668   36.528    0.162    46.701   140.559
   48   21.631   21.621   36.528    0.164    47.695   140.874
   49   21.542   21.532   36.529    0.167    48.688   141.082
   50   21.438   21.429   36.526    0.169    49.682   141.106
   51   21.176   21.166   36.521    0.172    50.675   138.928
   52   21.053   21.043   36.521    0.174    51.669   136.916
   53   20.982   20.972   36.520    0.176    52.662   137.095
   54   20.904   20.894   36.519    0.179    53.656   136.776
   55   20.842   20.831   36.518    0.181    54.649   136.003
   56   20.792   20.781   36.518    0.183    55.643   135.828
   57   20.731   20.720   36.517    0.185    56.636   135.450
   58   20.694   20.683   36.516    0.188    57.630   135.329
   59   20.588   20.577   36.513    0.190    58.623   135.141
   60   20.317   20.305   36.505    0.192    59.617   134.110
   61   20.148   20.136   36.502    0.194    60.610   132.664
   62   20.074   20.063   36.502    0.196    61.604   132.872
   63   20.001   19.989   36.503    0.199    62.597   133.180
   64   19.954   19.942   36.503    0.201    63.591   132.857
   65   19.906   19.894   36.501    0.203    64.584   132.835
   66   19.767   19.755   36.495    0.205    65.577   132.564
   67   19.652   19.639   36.490    0.207    66.571   131.898
   68   19.626   19.613   36.488    0.209    67.564   131.573
   69   19.602   19.589   36.487    0.211    68.558   131.688
   70   19.574   19.561   36.484    0.213    69.551   131.404
   71   19.498   19.485   36.479    0.215    70.545   131.249
   72   19.339   19.325   36.471    0.217    71.538   131.253
   73   19.261   19.247   36.469    0.219    72.531   131.154
   74   19.146   19.133   36.463    0.221    73.525   131.340
   75   19.098   19.085   36.461    0.223    74.518   131.164
   76   19.042   19.029   36.458    0.224    75.512   131.258
   77   18.985   18.971   36.456    0.226    76.505   131.362
   78   18.902   18.888   36.451    0.228    77.498   131.353
   79   18.846   18.832   36.449    0.230    78.492   131.104
   80   18.824   18.809   36.448    0.232    79.485   131.135
   81   18.755   18.741   36.443    0.234    80.478   131.094
   82   18.707   18.692   36.441    0.236    81.472   130.966
   83   18.664   18.649   36.439    0.238    82.465   131.248
   84   18.612   18.598   36.436    0.239    83.459   131.518
   85   18.554   18.539   36.432    0.241    84.452   131.625
   86   18.530   18.515   36.431    0.243    85.445   131.469
   87   18.529   18.514   36.431    0.245    86.439   131.466
   88   18.530   18.514   36.432    0.247    87.432   131.410
   89   18.512   18.496   36.427    0.248    88.425   131.208
   90   18.517   18.501   36.423    0.250    89.419   131.155
   91   18.521   18.505   36.419    0.252    90.412   131.075
   92   18.526   18.510   36.414    0.254    91.405   130.995
