 station cast   lat    long    jday   mo/da/yr   gmt
 101      1   23.157 -88.001   285    10/12/21  1834 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.690   29.690   36.082    0.005    0.994   195.081
    2   29.690   29.690   36.082    0.010    1.987   195.108
    3   29.690   29.689   36.082    0.016    2.981   195.134
    4   29.690   29.689   36.082    0.021    3.975   195.161
    5   29.690   29.689   36.081    0.026    4.968   195.225
    6   29.694   29.692   36.082    0.031    5.962   195.067
    7   29.698   29.696   36.082    0.036    6.956   194.714
    8   29.691   29.689   36.081    0.042    7.949   195.131
    9   29.683   29.681   36.081    0.047    8.943   195.091
   10   29.676   29.673   36.080    0.052    9.937   194.839
   11   29.668   29.666   36.080    0.057    10.930   194.778
   12   29.616   29.613   36.075    0.062    11.924   195.072
   13   29.590   29.587   36.073    0.068    12.918   195.473
   14   29.579   29.576   36.073    0.073    13.911   195.298
   15   29.574   29.570   36.073    0.078    14.905   195.250
   16   29.570   29.566   36.073    0.083    15.898   195.763
   17   29.565   29.561   36.073    0.088    16.892   195.609
   18   29.562   29.557   36.073    0.093    17.886   195.490
   19   29.559   29.554   36.073    0.099    18.879   195.570
   20   29.556   29.551   36.073    0.104    19.873   195.592
   21   29.553   29.547   36.073    0.109    20.867   195.382
   22   29.552   29.546   36.072    0.114    21.860   195.166
   23   29.548   29.542   36.072    0.119    22.854   195.579
   24   29.545   29.539   36.072    0.124    23.847   195.919
   25   29.544   29.538   36.073    0.130    24.841   195.379
   26   29.544   29.538   36.073    0.135    25.834   195.659
   27   29.543   29.536   36.073    0.140    26.828   195.561
   28   29.542   29.535   36.074    0.145    27.822   195.452
   29   29.540   29.533   36.074    0.150    28.815   195.658
   30   29.538   29.531   36.074    0.155    29.809   195.498
   31   29.537   29.529   36.074    0.161    30.802   195.901
   32   29.535   29.527   36.075    0.166    31.796   195.995
   33   29.523   29.515   36.076    0.171    32.789   196.000
   34   29.403   29.395   36.102    0.176    33.783   196.218
   35   29.056   29.047   36.153    0.181    34.776   200.893
   36   28.843   28.834   36.180    0.186    35.770   206.728
   37   28.764   28.755   36.194    0.191    36.763   208.184
   38   28.638   28.629   36.222    0.195    37.757   207.609
   39   28.194   28.185   36.298    0.200    38.750   209.659
   40   27.897   27.887   36.345    0.204    39.744   213.784
   41   27.745   27.735   36.367    0.209    40.737   215.277
   42   27.472   27.462   36.392    0.213    41.731   215.343
   43   27.215   27.205   36.412    0.217    42.724   217.663
   44   27.018   27.008   36.427    0.221    43.718   218.496
   45   26.925   26.915   36.437    0.226    44.711   217.326
   46   26.747   26.736   36.457    0.230    45.705   217.270
   47   26.414   26.403   36.487    0.233    46.698   215.590
   48   26.105   26.094   36.510    0.237    47.692   214.945
   49   25.853   25.842   36.525    0.241    48.685   214.569
   50   25.560   25.548   36.535    0.245    49.679   212.189
   51   25.493   25.482   36.538    0.248    50.672   210.194
   52   25.320   25.308   36.543    0.252    51.666   210.132
   53   24.686   24.675   36.560    0.255    52.659   205.976
   54   23.791   23.780   36.602    0.258    53.652   196.786
   55   23.476   23.464   36.620    0.261    54.646   185.465
   56   23.006   22.995   36.635    0.264    55.639   179.810
   57   22.590   22.579   36.648    0.266    56.633   165.684
   58   22.389   22.377   36.657    0.269    57.626   156.801
   59   22.269   22.257   36.664    0.272    58.620   151.927
   60   22.196   22.184   36.669    0.274    59.613   148.919
   61   22.136   22.124   36.674    0.277    60.606   147.900
   62   22.124   22.112   36.677    0.279    61.600   147.914
   63   22.090   22.077   36.679    0.282    62.593   145.675
   64   22.038   22.025   36.678    0.284    63.587   141.600
   65   21.970   21.957   36.672    0.287    64.580   136.656
   66   21.930   21.917   36.673    0.289    65.573   130.650
   67   21.760   21.747   36.654    0.292    66.567   128.033
   68   21.686   21.673   36.645    0.294    67.560   123.520
   69   21.676   21.663   36.644    0.297    68.553   124.909
   70   21.678   21.664   36.645    0.299    69.547   124.859
   71   21.679   21.665   36.645    0.302    70.540   124.760
   72   21.680   21.665   36.645    0.304    71.534   124.236
   73   21.681   21.666   36.644    0.306    72.527   123.625
