 station cast   lat    long    jday   mo/da/yr   gmt
 116      1   21.550 -86.749   288    10/15/21  2041 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.097   29.097   36.253    0.005    0.994   185.015
    2   29.097   29.097   36.253    0.010    1.988   185.040
    3   29.097   29.097   36.253    0.015    2.981   185.024
    4   28.941   28.940   36.274    0.019    3.975   185.041
    5   28.877   28.875   36.278    0.024    4.969   185.343
    6   28.478   28.476   36.302    0.029    5.963   183.993
    7   28.296   28.294   36.311    0.033    6.956   184.432
    8   28.194   28.192   36.328    0.038    7.950   185.453
    9   28.068   28.066   36.333    0.043    8.944   186.725
   10   27.922   27.920   36.330    0.047    9.938   186.259
   11   27.254   27.251   36.337    0.051    10.931   182.667
   12   26.919   26.916   36.342    0.055    11.925   176.180
   13   26.414   26.412   36.348    0.059    12.919   166.890
   14   26.319   26.316   36.356    0.063    13.913   165.518
   15   26.153   26.149   36.364    0.067    14.906   162.407
   16   25.986   25.982   36.373    0.071    15.900   159.161
   17   25.819   25.816   36.381    0.075    16.894   158.624
