 station cast   lat    long    jday   mo/da/yr   gmt
  66      1   26.060 -96.082   275    10/02/21  2329 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.317   29.317   35.348    0.006    0.993   195.636
    2   29.317   29.316   35.348    0.011    1.987   195.662
    3   29.317   29.316   35.348    0.017    2.980   195.689
    4   29.317   29.316   35.347    0.022    3.974   195.716
    5   29.317   29.316   35.347    0.028    4.967   195.719
    6   29.285   29.283   35.344    0.034    5.961   195.558
    7   29.278   29.276   35.343    0.039    6.954   195.520
    8   29.270   29.268   35.343    0.045    7.948   195.590
    9   29.249   29.246   35.342    0.050    8.941   195.753
   10   29.234   29.232   35.340    0.056    9.935   195.316
   11   29.235   29.232   35.342    0.062    10.928   194.912
   12   29.223   29.220   35.341    0.067    11.922   195.388
   13   29.209   29.205   35.341    0.073    12.915   195.520
   14   29.206   29.202   35.343    0.078    13.908   195.768
   15   29.194   29.190   35.347    0.084    14.902   195.669
   16   29.183   29.179   35.350    0.089    15.895   195.538
   17   29.179   29.175   35.352    0.095    16.889   195.741
   18   29.174   29.170   35.354    0.101    17.882   195.550
   19   29.187   29.182   35.363    0.106    18.876   195.849
   20   29.188   29.183   35.366    0.112    19.869   195.898
   21   29.199   29.194   35.374    0.117    20.862   195.939
   22   29.203   29.198   35.377    0.123    21.856   195.737
   23   29.197   29.191   35.377    0.128    22.849   195.607
   24   29.194   29.189   35.378    0.134    23.842   195.605
   25   29.197   29.191   35.385    0.139    24.836   196.008
   26   29.207   29.201   35.403    0.145    25.829   196.157
   27   29.215   29.208   35.414    0.150    26.823   195.846
   28   29.221   29.214   35.419    0.156    27.816   195.978
   29   29.240   29.233   35.445    0.162    28.809   195.827
   30   29.249   29.242   35.599    0.167    29.803   196.028
   31   29.209   29.202   35.752    0.172    30.796   196.994
   32   28.889   28.882   35.762    0.177    31.789   200.923
   33   28.667   28.659   35.826    0.182    32.783   208.869
   34   28.102   28.094   35.907    0.187    33.776   210.778
   35   27.810   27.801   35.942    0.192    34.769   214.332
   36   27.657   27.648   35.962    0.197    35.763   216.799
   37   27.487   27.479   35.968    0.201    36.756   216.643
   38   27.416   27.407   35.971    0.206    37.749   217.738
   39   27.051   27.042   35.970    0.210    38.743   218.846
   40   26.582   26.573   35.961    0.215    39.736   224.252
   41   26.386   26.376   35.993    0.219    40.729   228.521
   42   26.213   26.204   36.012    0.223    41.722   226.724
   43   25.592   25.583   36.079    0.227    42.716   226.409
   44   25.235   25.225   36.131    0.231    43.709   226.381
   45   25.088   25.078   36.146    0.235    44.702   225.237
   46   24.929   24.919   36.158    0.238    45.696   224.466
   47   24.721   24.711   36.171    0.242    46.689   224.868
   48   24.514   24.504   36.178    0.245    47.682   223.748
   49   24.213   24.203   36.204    0.249    48.675   223.327
   50   23.965   23.954   36.208    0.252    49.669   219.830
   51   23.791   23.781   36.219    0.256    50.662   220.185
   52   23.564   23.553   36.236    0.259    51.655   215.410
   53   23.358   23.347   36.213    0.262    52.648   213.069
   54   23.225   23.214   36.218    0.265    53.642   217.084
   55   23.049   23.037   36.227    0.268    54.635   215.734
   56   22.891   22.879   36.228    0.271    55.628   212.754
   57   22.836   22.825   36.229    0.274    56.621   211.809
