 station cast   lat    long    jday   mo/da/yr   gmt
 123      1   24.736 -80.624   290    10/17/21  2252 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.568   29.568   35.594    0.006    0.994   195.773
    2   29.568   29.568   35.594    0.011    1.987   195.800
    3   29.568   29.568   35.594    0.017    2.981   195.827
    4   29.568   29.567   35.593    0.022    3.974   195.853
    5   29.568   29.567   35.593    0.028    4.968   195.545
    6   29.537   29.535   35.593    0.033    5.961   196.081
    7   29.482   29.480   35.601    0.039    6.955   195.687
    8   29.449   29.447   35.607    0.044    7.949   195.787
    9   29.383   29.381   35.617    0.049    8.942   195.710
   10   29.340   29.337   35.625    0.055    9.936   195.519
   11   29.318   29.315   35.634    0.060    10.929   195.094
   12   29.297   29.294   35.652    0.066    11.923   194.292
   13   29.286   29.283   35.665    0.071    12.916   193.488
   14   29.265   29.262   35.662    0.076    13.910   193.438
   15   29.239   29.236   35.655    0.082    14.903   194.664
   16   29.228   29.224   35.653    0.087    15.897   195.162
   17   29.219   29.215   35.654    0.092    16.890   195.033
   18   29.192   29.187   35.655    0.098    17.884   194.979
   19   29.171   29.166   35.656    0.103    18.877   195.046
   20   29.158   29.153   35.658    0.108    19.871   195.118
   21   29.166   29.161   35.666    0.114    20.864   194.761
   22   29.181   29.176   35.678    0.119    21.858   194.299
   23   29.194   29.189   35.696    0.124    22.851   193.564
   24   29.190   29.184   35.701    0.130    23.845   193.925
   25   29.182   29.176   35.706    0.135    24.838   194.551
   26   29.183   29.177   35.709    0.140    25.832   195.062
   27   29.185   29.179   35.714    0.146    26.825   194.812
   28   29.171   29.164   35.712    0.151    27.819   195.083
   29   29.159   29.152   35.711    0.156    28.812   196.190
   30   29.124   29.117   35.717    0.162    29.805   196.601
   31   29.057   29.049   35.715    0.167    30.799   196.520
   32   29.029   29.021   35.726    0.172    31.792   195.646
   33   29.036   29.028   35.749    0.177    32.786   195.160
   34   29.038   29.030   35.773    0.183    33.779   194.628
   35   29.039   29.031   35.783    0.188    34.773   194.201
   36   29.040   29.032   35.788    0.193    35.766   193.591
   37   29.041   29.032   35.790    0.198    36.759   193.875
   38   29.041   29.032   35.791    0.203    37.753   194.162
   39   29.042   29.032   35.793    0.209    38.746   193.799
   40   29.041   29.032   35.795    0.214    39.740   194.095
   41   29.041   29.031   35.798    0.219    40.733   194.065
   42   29.037   29.026   35.803    0.224    41.726   193.851
   43   29.028   29.018   35.818    0.229    42.720   193.365
   44   29.022   29.011   35.834    0.235    43.713   192.577
   45   29.016   29.005   35.848    0.240    44.707   191.606
   46   29.010   28.998   35.861    0.245    45.700   190.688
   47   29.006   28.994   35.873    0.250    46.693   190.284
   48   28.997   28.985   35.888    0.255    47.687   189.451
   49   28.988   28.976   35.902    0.260    48.680   188.685
   50   28.978   28.966   35.914    0.265    49.673   187.913
   51   28.961   28.948   35.930    0.271    50.667   186.950
   52   28.925   28.912   35.949    0.276    51.660   186.274
   53   28.881   28.869   35.971    0.281    52.653   186.324
   54   28.799   28.786   36.014    0.286    53.647   184.702
   55   28.752   28.739   36.029    0.291    54.640   181.164
   56   28.748   28.734   36.030    0.296    55.633   180.312
   57   28.669   28.656   36.041    0.300    56.627   181.424
   58   28.586   28.572   36.053    0.305    57.620   182.576
   59   28.504   28.490   36.063    0.310    58.613   183.844
   60   28.435   28.420   36.073    0.315    59.607   184.820
   61   28.363   28.348   36.082    0.320    60.600   185.831
   62   28.261   28.246   36.098    0.325    61.593   186.991
   63   28.031   28.016   36.125    0.329    62.586   188.067
   64   27.909   27.894   36.140    0.334    63.580   188.390
   65   27.873   27.858   36.140    0.338    64.573   188.056
   66   27.803   27.788   36.142    0.343    65.566   187.467
   67   27.602   27.586   36.150    0.347    66.560   186.531
   68   27.281   27.265   36.183    0.352    67.553   185.110
   69   27.078   27.062   36.220    0.356    68.546   185.825
   70   26.909   26.893   36.266    0.360    69.539   189.033
   71   26.571   26.554   36.344    0.364    70.533   192.376
   72   26.298   26.282   36.386    0.368    71.526   193.481
   73   25.956   25.940   36.406    0.372    72.519   192.974
   74   25.522   25.505   36.416    0.376    73.512   190.539
   75   24.831   24.815   36.359    0.379    74.506   187.022
   76   24.127   24.111   36.305    0.383    75.499   181.227
   77   23.004   22.989   36.186    0.386    76.492   175.933
   78   22.049   22.034   36.176    0.389    77.485   169.211
