 station cast   lat    long    jday   mo/da/yr   gmt
  89      1   18.838 -93.065   282    10/09/21  0032 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.253   29.253   32.783    0.007    0.994   200.171
    2   29.253   29.253   32.782    0.015    1.988   200.198
    3   29.253   29.253   32.782    0.022    2.982   200.226
    4   29.253   29.252   32.782    0.030    3.976   200.253
    5   29.253   29.252   32.782    0.037    4.970   200.094
    6   29.263   29.261   32.861    0.045    5.964   200.380
    7   29.397   29.395   33.711    0.051    6.958   199.805
    8   29.589   29.587   34.446    0.058    7.952   199.538
    9   29.786   29.784   35.257    0.063    8.945   198.645
   10   29.976   29.974   36.042    0.069    9.939   200.231
   11   30.025   30.022   36.102    0.074    10.933   198.938
   12   30.021   30.018   36.103    0.079    11.927   198.437
   13   29.996   29.993   36.169    0.085    12.921   199.223
   14   29.900   29.897   36.272    0.090    13.915   199.631
   15   29.775   29.772   36.266    0.095    14.909   194.519
   16   29.665   29.661   36.235    0.100    15.903   190.972
   17   29.524   29.520   36.212    0.105    16.897   189.982
   18   29.422   29.417   36.196    0.110    17.890   188.819
   19   29.298   29.293   36.190    0.115    18.884   187.445
   20   29.225   29.220   36.214    0.120    19.878   186.781
   21   29.207   29.202   36.227    0.125    20.872   187.049
   22   29.183   29.177   36.242    0.130    21.866   187.374
   23   29.058   29.052   36.236    0.135    22.860   187.196
   24   28.846   28.840   36.216    0.140    23.854   186.882
   25   28.721   28.715   36.218    0.144    24.847   193.265
   26   28.573   28.566   36.229    0.149    25.841   197.771
   27   28.536   28.530   36.232    0.154    26.835   196.433
   28   28.444   28.437   36.239    0.159    27.829   197.304
   29   28.325   28.318   36.237    0.163    28.823   198.549
   30   28.249   28.242   36.234    0.168    29.817   196.939
   31   28.205   28.198   36.235    0.172    30.810   196.480
   32   28.032   28.025   36.239    0.177    31.804   192.229
   33   27.944   27.936   36.244    0.182    32.798   187.155
   34   27.790   27.782   36.237    0.186    33.792   186.167
   35   27.335   27.327   36.212    0.190    34.786   188.375
   36   26.991   26.983   36.201    0.195    35.779   185.507
   37   26.311   26.303   36.192    0.199    36.773   179.510
   38   25.845   25.837   36.187    0.203    37.767   178.030
   39   25.571   25.563   36.200    0.207    38.761   174.660
   40   25.256   25.247   36.215    0.210    39.755   165.129
   41   24.994   24.985   36.212    0.214    40.748   167.741
   42   24.804   24.795   36.213    0.218    41.742   167.639
   43   24.717   24.708   36.219    0.221    42.736   167.264
   44   24.573   24.563   36.238    0.225    43.730   158.385
   45   24.546   24.536   36.243    0.228    44.723   156.985
   46   24.538   24.528   36.244    0.232    45.717   157.506
   47   24.538   24.528   36.245    0.235    46.711   157.418
   48   24.536   24.525   36.245    0.239    47.704   157.379
   49   24.526   24.515   36.246    0.242    48.698   157.147
   50   24.498   24.487   36.247    0.246    49.692   156.979
   51   24.499   24.488   36.246    0.249    50.686   156.723
   52   24.494   24.483   36.246    0.253    51.679   156.510
   53   24.489   24.478   36.246    0.256    52.673   156.298
   54   24.484   24.473   36.246    0.260    53.667   156.375
