 station cast   lat    long    jday   mo/da/yr   gmt
  21      1   29.208 -85.655   263    09/20/21  2202 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.264   28.264   33.092    0.007    0.993   201.722
    2   28.264   28.263   33.092    0.014    1.987   201.750
    3   28.264   28.263   33.091    0.021    2.980   201.778
    4   28.264   28.263   33.091    0.028    3.973   201.805
    5   28.264   28.263   33.091    0.034    4.966   201.909
    6   28.268   28.266   33.110    0.041    5.959   201.524
    7   28.296   28.295   33.280    0.048    6.953   201.023
    8   28.352   28.350   33.644    0.055    7.946   201.012
    9   28.431   28.429   34.131    0.061    8.939   199.448
   10   28.464   28.462   34.167    0.067    9.932   198.716
   11   28.464   28.461   34.276    0.073    10.926   198.913
   12   28.453   28.450   34.324    0.079    11.919   199.013
   13   28.480   28.477   34.372    0.085    12.912   198.981
   14   28.490   28.487   34.393    0.091    13.905   198.711
   15   28.496   28.493   34.403    0.097    14.898   198.821
   16   28.497   28.494   34.403    0.103    15.891   198.807
   17   28.490   28.486   34.402    0.109    16.885   198.660
   18   28.491   28.487   34.417    0.115    17.878   198.516
   19   28.503   28.499   34.438    0.121    18.871   198.763
   20   28.518   28.513   34.460    0.127    19.864   198.366
   21   28.490   28.485   34.458    0.133    20.857   198.075
   22   28.455   28.450   34.452    0.139    21.850   198.776
   23   28.473   28.467   34.467    0.145    22.844   198.868
   24   28.683   28.678   34.653    0.151    23.837   196.992
   25   28.684   28.678   34.718    0.157    24.830   195.110
   26   28.612   28.606   34.718    0.163    25.823   196.765
   27   28.613   28.607   34.818    0.169    26.816   198.407
   28   28.659   28.653   34.929    0.174    27.809   199.137
   29   28.663   28.656   35.032    0.180    28.802   198.866
   30   28.652   28.645   35.258    0.185    29.796   201.007
   31   28.629   28.621   35.347    0.191    30.789   202.783
   32   28.604   28.597   35.444    0.196    31.782   202.399
   33   28.262   28.254   35.690    0.201    32.775   202.384
   34   27.926   27.918   35.778    0.206    33.768   200.949
   35   27.682   27.674   35.802    0.211    34.761   194.767
   36   27.578   27.570   35.902    0.216    35.754   191.970
   37   27.070   27.062   36.001    0.220    36.747   196.667
   38   26.519   26.510   36.000    0.224    37.740   198.094
   39   26.213   26.204   36.007    0.228    38.733   186.514
   40   25.968   25.959   36.038    0.232    39.726   181.857
   41   25.661   25.652   36.072    0.236    40.719   183.262
   42   25.316   25.306   36.134    0.240    41.713   187.502
   43   25.055   25.045   36.154    0.244    42.706   192.048
   44   24.767   24.757   36.183    0.248    43.699   193.485
   45   24.598   24.588   36.191    0.251    44.692   196.024
   46   24.443   24.433   36.202    0.255    45.685   197.106
   47   24.197   24.187   36.218    0.258    46.678   196.669
   48   24.040   24.030   36.240    0.262    47.671   194.244
   49   23.922   23.912   36.263    0.265    48.664   192.940
   50   23.713   23.703   36.270    0.268    49.657   192.142
   51   23.498   23.487   36.276    0.271    50.650   190.926
   52   23.294   23.283   36.294    0.274    51.643   188.942
   53   23.015   23.005   36.315    0.278    52.636   183.139
   54   22.715   22.704   36.306    0.280    53.629   177.931
   55   22.375   22.363   36.309    0.283    54.622   176.119
   56   22.195   22.184   36.318    0.286    55.615   172.859
   57   21.970   21.959   36.331    0.289    56.608   169.934
   58   21.831   21.820   36.342    0.292    57.601   166.943
   59   21.782   21.770   36.347    0.294    58.594   165.964
   60   21.749   21.738   36.351    0.297    59.587   166.752
   61   21.547   21.535   36.366    0.300    60.580   167.435
   62   21.459   21.447   36.376    0.302    61.573   167.962
   63   21.401   21.388   36.381    0.305    62.566   167.408
   64   21.213   21.201   36.396    0.307    63.559   164.986
   65   21.130   21.117   36.409    0.310    64.552   161.593
   66   21.116   21.103   36.442    0.312    65.544   158.476
   67   21.088   21.075   36.462    0.314    66.537   157.494
   68   21.061   21.048   36.482    0.317    67.530   156.511
   69   21.034   21.020   36.501    0.319    68.523   155.528
   70   21.006   20.993   36.521    0.322    69.516   154.543
   71   20.979   20.965   36.541    0.324    70.509   153.557
   72   20.951   20.937   36.561    0.326    71.502   152.570
   73   20.924   20.910   36.581    0.329    72.495   151.582
   74   20.897   20.882   36.600    0.331    73.488   150.594
   75   20.869   20.855   36.620    0.333    74.481   149.604
