 station cast   lat    long    jday   mo/da/yr   gmt
  61      1   27.335 -96.783   272    09/29/21  2310 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.709   28.708   34.679    0.006    0.993   195.366
    2   28.709   28.708   34.679    0.012    1.987   195.392
    3   28.709   28.708   34.679    0.018    2.980   195.419
    4   28.709   28.708   34.678    0.024    3.974   195.446
    5   28.709   28.708   34.678    0.029    4.967   195.478
    6   28.709   28.708   34.677    0.035    5.960   195.606
    7   28.709   28.708   34.676    0.041    6.954   195.470
    8   28.710   28.708   34.675    0.047    7.947   195.483
    9   28.710   28.708   34.675    0.053    8.940   195.688
   10   28.711   28.709   34.675    0.059    9.934   195.277
   11   28.711   28.708   34.675    0.065    10.927   195.133
   12   28.710   28.707   34.676    0.071    11.920   195.574
   13   28.712   28.709   34.682    0.077    12.914   195.762
   14   28.731   28.727   34.710    0.082    13.907   195.767
   15   28.751   28.747   34.750    0.088    14.900   195.389
   16   28.760   28.756   34.764    0.094    15.894   194.978
   17   28.768   28.764   34.781    0.100    16.887   194.802
   18   28.778   28.773   34.812    0.106    17.880   195.271
   19   28.789   28.784   34.844    0.112    18.874   195.205
   20   28.799   28.795   34.877    0.117    19.867   194.933
   21   28.810   28.805   34.909    0.123    20.860   195.070
   22   28.858   28.853   35.032    0.129    21.854   194.707
   23   28.878   28.873   35.064    0.135    22.847   193.994
   24   28.886   28.880   35.072    0.140    23.840   193.518
   25   28.894   28.888   35.080    0.146    24.833   193.516
   26   28.911   28.904   35.100    0.152    25.827   193.875
   27   28.921   28.914   35.111    0.157    26.820   193.487
   28   28.941   28.934   35.139    0.163    27.813   193.510
   29   28.967   28.960   35.198    0.168    28.807   193.216
   30   28.972   28.965   35.241    0.174    29.800   191.071
   31   28.957   28.950   35.279    0.180    30.793   188.583
   32   28.793   28.785   35.435    0.185    31.786   185.095
   33   28.394   28.386   35.642    0.190    32.780   165.407
   34   28.047   28.039   35.790    0.195    33.773   145.243
   35   27.486   27.477   35.860    0.200    34.766   134.947
   36   27.120   27.111   35.917    0.204    35.759   121.147
   37   26.912   26.904   35.957    0.209    36.752   117.747
   38   26.669   26.660   35.985    0.213    37.746   125.743
   39   26.601   26.592   35.990    0.217    38.739   124.662
   40   26.512   26.503   35.999    0.222    39.732   121.577
   41   26.409   26.399   36.015    0.226    40.725   121.220
   42   26.358   26.349   36.021    0.230    41.719   115.077
   43   26.285   26.276   36.027    0.234    42.712   114.105
   44   25.784   25.774   36.055    0.238    43.705   110.758
   45   25.258   25.248   36.080    0.242    44.698   111.350
   46   25.159   25.149   36.125    0.246    45.691   117.034
   47   24.661   24.651   36.142    0.249    46.684   96.348
