 station cast   lat    long    jday   mo/da/yr   gmt
  48      1   28.828 -90.814   269    09/26/21  1953 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   27.014   27.014   27.931    0.010    0.993   235.098
    2   27.014   27.014   27.931    0.020    1.987   235.184
    3   27.012   27.011   27.931    0.031    2.980   235.212
    4   27.008   27.007   27.931    0.041    3.973   235.225
    5   26.972   26.971   27.932    0.051    4.966   235.084
    6   26.945   26.944   27.932    0.061    5.960   234.247
    7   26.885   26.883   27.934    0.072    6.953   233.996
    8   26.806   26.804   27.948    0.082    7.946   230.141
    9   26.746   26.744   27.993    0.092    8.939   227.092
   10   26.719   26.716   28.007    0.102    9.933   223.752
   11   26.714   26.712   28.007    0.112    10.926   223.084
   12   26.707   26.704   28.012    0.122    11.919   220.864
