 station cast   lat    long    jday   mo/da/yr   gmt
  15      1   27.333 -83.997   262    09/19/21  0318 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.139   29.138   35.639    0.005    0.993   195.202
    2   29.139   29.138   35.639    0.011    1.987   195.229
    3   29.139   29.138   35.639    0.016    2.980   195.256
    4   29.139   29.138   35.638    0.021    3.974   195.282
    5   29.139   29.137   35.638    0.027    4.967   195.155
    6   29.139   29.138   35.638    0.032    5.960   195.666
    7   29.138   29.136   35.638    0.037    6.954   195.679
    8   29.139   29.137   35.638    0.043    7.947   195.560
    9   29.136   29.134   35.638    0.048    8.940   195.402
   10   29.137   29.135   35.638    0.053    9.934   195.791
   11   29.135   29.133   35.638    0.059    10.927   195.202
   12   29.135   29.133   35.638    0.064    11.920   195.416
   13   29.134   29.131   35.638    0.069    12.914   195.430
   14   29.135   29.132   35.638    0.075    13.907   195.555
   15   29.136   29.132   35.638    0.080    14.900   195.920
   16   29.138   29.134   35.638    0.085    15.894   195.635
   17   29.114   29.109   35.637    0.091    16.887   195.467
   18   29.070   29.066   35.636    0.096    17.880   195.274
   19   29.055   29.050   35.636    0.101    18.874   195.643
   20   29.046   29.041   35.635    0.107    19.867   195.595
   21   29.038   29.033   35.635    0.112    20.860   195.715
   22   29.035   29.030   35.635    0.117    21.854   195.686
   23   29.030   29.024   35.636    0.123    22.847   195.715
   24   29.029   29.023   35.636    0.128    23.840   195.706
   25   29.027   29.021   35.637    0.133    24.833   195.973
   26   29.020   29.013   35.637    0.139    25.827   195.630
   27   29.017   29.011   35.637    0.144    26.820   195.341
   28   29.016   29.009   35.638    0.149    27.813   195.679
   29   29.016   29.009   35.638    0.155    28.807   196.187
   30   29.012   29.005   35.638    0.160    29.800   195.852
   31   29.009   29.001   35.637    0.165    30.793   195.779
   32   29.004   28.997   35.636    0.170    31.786   195.860
   33   29.001   28.993   35.635    0.176    32.780   196.120
   34   29.003   28.995   35.637    0.181    33.773   195.806
   35   29.003   28.995   35.639    0.186    34.766   195.603
   36   29.063   29.055   35.701    0.192    35.759   195.678
   37   29.264   29.255   35.885    0.197    36.752   196.848
   38   29.315   29.306   36.005    0.202    37.746   198.519
   39   29.003   28.993   35.953    0.207    38.739   198.916
   40   28.905   28.895   36.012    0.212    39.732   201.018
   41   28.764   28.755   36.072    0.217    40.725   199.877
   42   28.366   28.356   36.115    0.222    41.719   196.431
   43   28.124   28.113   36.135    0.226    42.712   194.714
   44   27.680   27.669   36.144    0.231    43.705   195.281
   45   27.455   27.444   36.152    0.235    44.698   198.531
   46   27.287   27.276   36.153    0.240    45.691   202.590
   47   27.057   27.046   36.155    0.244    46.684   206.487
   48   26.980   26.969   36.161    0.248    47.678   208.521
   49   26.663   26.652   36.168    0.253    48.671   207.466
   50   26.033   26.021   36.177    0.257    49.664   207.416
   51   24.957   24.946   36.188    0.260    50.657   206.020
   52   24.478   24.467   36.197    0.264    51.650   204.173
   53   24.323   24.311   36.201    0.267    52.643   205.344
   54   24.186   24.174   36.206    0.271    53.637   205.843
   55   24.080   24.068   36.211    0.274    54.630   206.140
   56   23.993   23.981   36.214    0.278    55.623   206.053
   57   23.691   23.679   36.221    0.281    56.616   205.556
   58   23.318   23.306   36.231    0.284    57.609   204.300
   59   23.206   23.194   36.239    0.287    58.602   200.858
   60   22.706   22.693   36.249    0.290    59.595   197.175
   61   21.699   21.687   36.282    0.293    60.588   162.493
   62   21.457   21.445   36.266    0.296    61.582   159.155
   63   21.215   21.203   36.250    0.298    62.575   155.786
