 station cast   lat    long    jday   mo/da/yr   gmt
 126      1   26.648 -82.613   292    10/19/21  0353 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.533   28.533   35.223    0.005    0.993   201.115
    2   28.533   28.533   35.223    0.011    1.987   201.143
    3   28.533   28.533   35.222    0.016    2.980   201.082
    4   28.537   28.536   35.223    0.022    3.974   201.355
    5   28.542   28.540   35.223    0.027    4.967   201.201
    6   28.546   28.544   35.224    0.033    5.961   201.432
    7   28.550   28.548   35.224    0.038    6.954   201.403
    8   28.548   28.547   35.224    0.044    7.947   201.172
    9   28.550   28.548   35.224    0.049    8.941   201.310
   10   28.551   28.549   35.225    0.054    9.934   200.881
   11   28.552   28.550   35.226    0.060    10.928   201.470
   12   28.561   28.558   35.231    0.065    11.921   201.255
   13   28.565   28.562   35.236    0.071    12.914   200.900
   14   28.569   28.566   35.236    0.076    13.908   200.919
   15   28.676   28.673   35.329    0.082    14.901   199.824
   16   28.784   28.780   35.421    0.087    15.895   198.734
   17   28.892   28.888   35.513    0.092    16.888   197.648
