 station cast   lat    long    jday   mo/da/yr   gmt
  50      1   27.869 -93.827   270    09/27/21  1448 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.476   28.476   35.429    0.005    0.993   196.415
    2   28.476   28.475   35.429    0.011    1.987   196.442
    3   28.476   28.475   35.428    0.016    2.980   196.468
    4   28.476   28.475   35.428    0.021    3.973   196.495
    5   28.476   28.475   35.428    0.026    4.967   196.585
    6   28.471   28.470   35.429    0.032    5.960   196.128
    7   28.470   28.469   35.429    0.037    6.953   196.346
    8   28.469   28.467   35.430    0.042    7.947   196.572
    9   28.466   28.463   35.431    0.047    8.940   196.326
   10   28.462   28.460   35.432    0.053    9.933   196.233
   11   28.460   28.457   35.431    0.058    10.927   196.437
   12   28.457   28.454   35.431    0.063    11.920   196.684
   13   28.458   28.455   35.432    0.069    12.913   196.559
   14   28.460   28.457   35.434    0.074    13.907   196.718
   15   28.461   28.458   35.434    0.079    14.900   196.403
   16   28.462   28.458   35.434    0.084    15.893   196.626
   17   28.463   28.459   35.435    0.090    16.886   196.415
   18   28.463   28.459   35.436    0.095    17.880   196.793
   19   28.463   28.458   35.437    0.100    18.873   196.933
   20   28.463   28.458   35.438    0.105    19.866   196.843
   21   28.466   28.461   35.443    0.111    20.859   196.407
   22   28.471   28.465   35.448    0.116    21.853   196.482
   23   28.475   28.469   35.453    0.121    22.846   196.917
   24   28.483   28.477   35.464    0.127    23.839   196.775
   25   28.495   28.489   35.481    0.132    24.832   196.581
   26   28.519   28.513   35.516    0.137    25.826   196.736
   27   28.552   28.546   35.561    0.142    26.819   196.415
   28   28.575   28.569   35.611    0.147    27.812   196.409
   29   28.572   28.565   35.615    0.153    28.805   195.970
   30   28.567   28.560   35.616    0.158    29.799   195.705
   31   28.540   28.533   35.630    0.163    30.792   195.971
   32   28.146   28.139   35.722    0.168    31.785   197.882
   33   27.544   27.536   35.866    0.173    32.778   204.832
   34   27.296   27.288   35.934    0.177    33.771   208.775
   35   27.136   27.128   35.973    0.182    34.765   208.868
   36   27.079   27.071   36.054    0.186    35.758   209.890
   37   26.963   26.954   36.116    0.190    36.751   207.991
   38   26.840   26.831   36.120    0.195    37.744   207.304
   39   26.672   26.663   36.123    0.199    38.737   208.733
   40   26.244   26.235   36.163    0.203    39.731   210.684
   41   26.082   26.072   36.212    0.207    40.724   213.584
   42   25.941   25.932   36.249    0.211    41.717   217.299
   43   25.797   25.788   36.235    0.215    42.710   217.723
   44   25.435   25.425   36.222    0.219    43.703   213.111
   45   25.219   25.209   36.222    0.222    44.696   210.482
   46   24.942   24.932   36.167    0.226    45.689   205.875
   47   24.798   24.787   36.162    0.230    46.683   198.321
   48   24.681   24.670   36.172    0.233    47.676   198.878
   49   24.539   24.529   36.188    0.237    48.669   202.833
   50   24.421   24.410   36.200    0.240    49.662   207.271
   51   24.310   24.299   36.218    0.244    50.655   214.589
   52   24.120   24.109   36.247    0.247    51.648   221.166
   53   23.971   23.959   36.254    0.251    52.641   219.304
   54   23.935   23.924   36.256    0.254    53.634   215.895
   55   23.923   23.912   36.256    0.257    54.627   215.226
   56   23.910   23.899   36.256    0.261    55.621   215.626
   57   23.867   23.855   36.255    0.264    56.614   215.743
   58   23.775   23.763   36.252    0.267    57.607   214.908
   59   23.243   23.231   36.243    0.270    58.600   213.376
   60   22.929   22.917   36.243    0.273    59.593   209.480
   61   22.839   22.826   36.247    0.276    60.586   207.401
   62   22.761   22.748   36.246    0.279    61.579   205.991
   63   22.717   22.705   36.250    0.282    62.572   202.945
   64   22.721   22.708   36.256    0.285    63.565   200.429
   65   22.683   22.670   36.256    0.288    64.558   199.996
   66   22.407   22.394   36.255    0.291    65.551   199.866
   67   22.289   22.276   36.254    0.294    66.544   195.899
   68   22.061   22.048   36.265    0.297    67.537   192.931
   69   22.033   22.019   36.269    0.300    68.530   189.983
   70   21.956   21.942   36.272    0.303    69.523   188.088
   71   21.803   21.789   36.277    0.305    70.516   186.391
   72   21.741   21.727   36.279    0.308    71.509   184.229
   73   21.724   21.709   36.278    0.311    72.502   182.759
   74   21.601   21.586   36.277    0.314    73.495   182.311
   75   21.280   21.266   36.287    0.316    74.488   179.801
   76   21.244   21.229   36.291    0.319    75.481   174.361
   77   21.207   21.192   36.294    0.321    76.474   174.129
   78   21.171   21.155   36.297    0.324    77.467   171.686
   79   21.169   21.153   36.298    0.326    78.460   171.228
   80   21.170   21.154   36.298    0.329    79.453   171.090
   81   21.171   21.155   36.298    0.332    80.446   170.724
   82   21.126   21.110   36.286    0.334    81.439   169.833
   83   21.080   21.064   36.274    0.337    82.432   168.858
   84   20.993   20.976   36.249    0.339    83.425   167.295
   85   20.974   20.957   36.278    0.342    84.418   166.379
   86   20.955   20.939   36.307    0.344    85.411   165.621
   87   20.869   20.853   36.311    0.347    86.404   162.283
   88   20.799   20.782   36.323    0.349    87.397   160.230
   89   20.728   20.711   36.334    0.352    88.390   158.172
