 station cast   lat    long    jday   mo/da/yr   gmt
  85      1   20.601 -94.290   280    10/07/21  2253 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.396   29.396   36.430    0.005    0.994   195.168
    2   29.396   29.396   36.430    0.010    1.988   195.195
    3   29.396   29.395   36.430    0.015    2.982   195.221
    4   29.396   29.395   36.429    0.019    3.975   195.248
    5   29.398   29.397   36.429    0.024    4.969   195.369
    6   29.401   29.399   36.429    0.029    5.963   195.489
    7   29.403   29.401   36.429    0.034    6.957   195.269
    8   29.403   29.401   36.428    0.039    7.951   195.140
    9   29.402   29.400   36.429    0.044    8.945   195.322
   10   29.401   29.398   36.429    0.049    9.938   195.265
   11   29.401   29.399   36.429    0.053    10.932   195.109
   12   29.403   29.400   36.429    0.058    11.926   195.417
   13   29.402   29.399   36.429    0.063    12.920   195.440
   14   29.402   29.398   36.429    0.068    13.914   194.992
   15   29.403   29.399   36.429    0.073    14.907   194.710
   16   29.403   29.399   36.429    0.078    15.901   195.183
   17   29.400   29.396   36.429    0.083    16.895   195.090
   18   29.400   29.396   36.429    0.087    17.889   194.979
   19   29.402   29.398   36.429    0.092    18.882   195.170
   20   29.405   29.400   36.428    0.097    19.876   195.336
   21   29.407   29.401   36.428    0.102    20.870   195.255
   22   29.406   29.401   36.428    0.107    21.864   194.973
   23   29.406   29.400   36.428    0.112    22.857   195.399
   24   29.405   29.399   36.428    0.117    23.851   195.247
   25   29.407   29.401   36.428    0.121    24.845   195.141
   26   29.407   29.401   36.428    0.126    25.839   195.261
   27   29.407   29.401   36.428    0.131    26.832   195.047
   28   29.406   29.399   36.428    0.136    27.826   195.281
   29   29.404   29.397   36.428    0.141    28.820   195.297
   30   29.403   29.395   36.428    0.146    29.814   195.421
   31   29.404   29.396   36.428    0.151    30.807   195.537
   32   29.404   29.396   36.428    0.156    31.801   195.438
   33   29.403   29.395   36.428    0.160    32.795   195.146
   34   29.402   29.394   36.428    0.165    33.788   195.244
   35   29.402   29.393   36.428    0.170    34.782   195.601
   36   29.402   29.394   36.428    0.175    35.776   195.482
   37   29.398   29.389   36.428    0.180    36.769   195.340
   38   29.385   29.376   36.427    0.185    37.763   195.555
   39   29.327   29.317   36.422    0.190    38.757   195.806
   40   29.033   29.023   36.403    0.194    39.750   198.157
   41   28.758   28.748   36.390    0.199    40.744   204.204
   42   28.466   28.456   36.391    0.204    41.738   206.686
   43   28.332   28.322   36.391    0.208    42.731   207.444
   44   28.224   28.213   36.393    0.213    43.725   207.566
   45   28.073   28.063   36.387    0.217    44.719   207.505
   46   27.746   27.735   36.372    0.222    45.712   208.388
   47   27.541   27.530   36.365    0.226    46.706   210.533
   48   27.399   27.388   36.359    0.230    47.700   212.855
   49   27.249   27.237   36.349    0.234    48.693   213.869
   50   27.155   27.144   36.341    0.239    49.687   215.575
   51   27.102   27.091   36.338    0.243    50.680   217.989
   52   26.726   26.714   36.328    0.247    51.674   219.022
   53   26.349   26.337   36.332    0.251    52.668   218.204
   54   26.105   26.092   36.332    0.255    53.661   215.608
   55   25.986   25.974   36.330    0.259    54.655   213.656
   56   25.790   25.777   36.330    0.263    55.648   212.435
   57   25.598   25.586   36.327    0.266    56.642   211.578
   58   25.321   25.309   36.322    0.270    57.636   211.029
   59   25.049   25.036   36.316    0.274    58.629   210.994
   60   24.858   24.845   36.315    0.277    59.623   211.455
   61   24.730   24.717   36.310    0.281    60.616   212.248
   62   24.504   24.490   36.313    0.284    61.610   212.465
