 station cast   lat    long    jday   mo/da/yr   gmt
 125      1   26.627 -82.789   292    10/19/21  0519 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.590   28.589   35.767    0.005    0.993   195.670
    2   28.590   28.589   35.767    0.010    1.987   195.697
    3   28.590   28.589   35.766    0.015    2.980   195.724
    4   28.590   28.589   35.766    0.020    3.974   195.750
    5   28.590   28.588   35.766    0.025    4.967   195.640
    6   28.588   28.587   35.771    0.030    5.961   196.441
    7   28.599   28.597   35.783    0.035    6.954   196.048
    8   28.609   28.607   35.796    0.041    7.947   195.935
    9   28.620   28.618   35.808    0.046    8.941   195.875
   10   28.631   28.628   35.821    0.051    9.934   195.713
   11   28.641   28.639   35.834    0.056    10.928   195.531
   12   28.651   28.648   35.847    0.061    11.921   194.888
   13   28.657   28.654   35.856    0.066    12.914   194.927
   14   28.669   28.666   35.878    0.071    13.908   194.782
   15   28.688   28.685   35.902    0.076    14.901   193.987
   16   28.707   28.704   35.926    0.081    15.895   194.164
   17   28.726   28.722   35.951    0.086    16.888   193.801
   18   28.843   28.838   36.039    0.091    17.881   193.720
   19   28.959   28.955   36.128    0.096    18.875   193.639
   20   29.076   29.071   36.216    0.101    19.868   193.558
   21   29.192   29.187   36.303    0.105    20.861   193.477
   22   29.308   29.303   36.390    0.110    21.855   193.396
