 station cast   lat    long    jday   mo/da/yr   gmt
  64      1   26.061 -96.568   275    10/02/21  0528 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.148   29.148   35.490    0.005    0.993   192.754
    2   29.148   29.148   35.490    0.011    1.987   192.781
    3   29.148   29.147   35.490    0.016    2.980   192.807
    4   29.148   29.147   35.489    0.022    3.974   192.833
    5   29.148   29.147   35.489    0.027    4.967   192.948
    6   29.116   29.115   35.490    0.033    5.961   193.164
    7   29.086   29.084   35.491    0.038    6.954   192.843
    8   29.088   29.086   35.491    0.044    7.948   193.017
    9   29.088   29.086   35.491    0.049    8.941   192.874
   10   29.088   29.085   35.490    0.054    9.935   193.050
   11   29.090   29.087   35.491    0.060    10.928   193.054
   12   29.090   29.087   35.491    0.065    11.922   193.066
   13   29.090   29.087   35.491    0.071    12.915   193.056
   14   29.090   29.087   35.491    0.076    13.908   193.102
   15   29.096   29.092   35.495    0.082    14.902   193.208
   16   29.094   29.090   35.495    0.087    15.895   193.237
   17   29.105   29.101   35.503    0.092    16.889   193.008
   18   29.103   29.098   35.501    0.098    17.882   193.065
   19   29.100   29.095   35.499    0.103    18.876   192.960
   20   29.098   29.093   35.497    0.109    19.869   193.005
   21   29.110   29.105   35.506    0.114    20.862   192.932
   22   29.149   29.143   35.535    0.120    21.856   193.070
   23   29.176   29.171   35.556    0.125    22.849   192.858
   24   29.182   29.176   35.561    0.130    23.842   193.199
   25   29.187   29.181   35.569    0.136    24.836   193.119
   26   29.189   29.183   35.571    0.141    25.829   192.871
   27   29.199   29.192   35.582    0.147    26.823   192.595
   28   29.216   29.209   35.612    0.152    27.816   192.892
   29   29.235   29.228   35.644    0.157    28.809   192.754
   30   29.328   29.321   35.817    0.163    29.803   192.613
   31   29.420   29.412   36.091    0.168    30.796   194.340
   32   29.438   29.431   36.164    0.173    31.789   194.988
   33   29.381   29.373   36.155    0.178    32.783   194.478
   34   28.898   28.890   36.047    0.183    33.776   198.686
   35   28.415   28.406   36.007    0.188    34.769   209.308
   36   28.400   28.392   36.064    0.193    35.763   210.645
   37   27.912   27.903   36.107    0.197    36.756   207.349
   38   27.551   27.542   36.074    0.202    37.749   211.950
   39   27.164   27.155   36.067    0.206    38.743   218.412
   40   26.968   26.959   36.053    0.211    39.736   219.996
   41   26.775   26.766   36.064    0.215    40.729   221.023
   42   26.590   26.580   36.098    0.219    41.722   221.578
   43   26.230   26.220   36.145    0.223    42.716   221.419
   44   25.857   25.848   36.192    0.227    43.709   219.639
   45   25.630   25.620   36.206    0.231    44.702   219.221
   46   25.229   25.219   36.224    0.235    45.696   218.045
   47   25.161   25.150   36.227    0.238    46.689   215.938
   48   25.092   25.082   36.230    0.242    47.682   219.015
   49   25.023   25.013   36.233    0.246    48.675   217.342
   50   24.529   24.519   36.240    0.249    49.669   216.049
   51   24.283   24.273   36.249    0.253    50.662   215.724
   52   24.126   24.115   36.251    0.256    51.655   212.332
   53   23.800   23.789   36.262    0.259    52.648   205.582
