 station cast   lat    long    jday   mo/da/yr   gmt
  45      1   28.948 -90.159   269    09/26/21  1209 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   26.804   26.804   26.072    0.012    0.993   227.797
    2   26.804   26.804   26.072    0.023    1.987   227.828
    3   26.804   26.803   26.072    0.035    2.980   227.859
    4   26.804   26.803   26.071    0.046    3.973   227.890
    5   26.804   26.803   26.071    0.058    4.966   227.521
    6   26.750   26.749   26.526    0.069    5.960   228.529
    7   26.726   26.725   26.700    0.080    6.953   233.346
    8   26.704   26.702   26.741    0.091    7.946   232.993
    9   26.711   26.709   26.775    0.102    8.939   233.385
   10   26.722   26.720   26.790    0.113    9.933   233.462
   11   26.726   26.723   26.797    0.124    10.926   232.983
   12   26.732   26.729   26.820    0.135    11.919   233.425
   13   26.871   26.869   27.174    0.146    12.912   230.714
   14   27.051   27.048   27.782    0.156    13.905   222.486
   15   27.380   27.376   28.993    0.165    14.899   207.859
   16   28.457   28.453   31.629    0.173    15.892   170.175
   17   28.805   28.801   33.090    0.181    16.885   130.245
   18   28.344   28.340   33.096    0.187    17.878   98.474
   19   28.440   28.436   33.148    0.194    18.871   99.143
   20   28.537   28.532   33.199    0.201    19.865   99.809
