 station cast   lat    long    jday   mo/da/yr   gmt
 112      1   22.254 -86.810   288    10/15/21  1126 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.889   28.889   36.216    0.005    0.994   193.073
    2   28.889   28.889   36.216    0.010    1.987   193.099
    3   28.889   28.888   36.215    0.015    2.981   193.125
    4   28.889   28.888   36.215    0.019    3.975   193.152
    5   28.890   28.889   36.215    0.024    4.969   193.039
    6   28.891   28.890   36.214    0.029    5.962   193.261
    7   28.892   28.891   36.214    0.034    6.956   193.248
    8   28.893   28.891   36.213    0.039    7.950   193.227
    9   28.893   28.891   36.213    0.044    8.944   193.051
   10   28.888   28.886   36.213    0.048    9.937   193.326
   11   28.887   28.884   36.213    0.053    10.931   193.394
   12   28.882   28.879   36.212    0.058    11.925   192.996
   13   28.878   28.874   36.212    0.063    12.918   193.130
   14   28.852   28.848   36.211    0.068    13.912   193.491
   15   28.745   28.741   36.215    0.073    14.906   193.464
   16   28.488   28.485   36.227    0.077    15.899   193.160
   17   27.975   27.971   36.257    0.082    16.893   191.953
   18   27.610   27.606   36.275    0.086    17.887   191.055
   19   27.326   27.321   36.290    0.091    18.880   190.845
   20   26.479   26.474   36.331    0.095    19.874   188.801
   21   25.542   25.537   36.390    0.098    20.868   182.043
   22   24.857   24.852   36.459    0.102    21.861   173.850
   23   24.614   24.609   36.481    0.105    22.855   168.923
   24   24.381   24.376   36.490    0.108    23.849   168.346
   25   24.276   24.270   36.488    0.112    24.842   167.334
   26   24.158   24.152   36.477    0.115    25.836   167.121
   27   23.939   23.933   36.484    0.118    26.830   165.656
   28   23.831   23.826   36.489    0.121    27.823   164.279
   29   23.731   23.725   36.498    0.124    28.817   164.663
   30   23.583   23.577   36.511    0.127    29.810   164.566
   31   23.406   23.399   36.527    0.130    30.804   163.662
   32   23.300   23.293   36.537    0.133    31.798   162.433
   33   23.236   23.229   36.544    0.136    32.791   162.047
   34   23.223   23.216   36.547    0.139    33.785   161.844
   35   23.161   23.154   36.552    0.142    34.778   161.560
   36   22.992   22.985   36.551    0.145    35.772   161.029
   37   22.458   22.451   36.541    0.148    36.766   159.428
   38   21.907   21.900   36.539    0.150    37.759   153.459
   39   21.715   21.707   36.537    0.153    38.753   147.402
   40   21.621   21.613   36.537    0.155    39.746   146.532
   41   21.486   21.478   36.533    0.158    40.740   146.344
   42   21.408   21.400   36.531    0.160    41.733   145.572
   43   21.368   21.360   36.532    0.162    42.727   145.333
   44   21.300   21.291   36.531    0.165    43.720   145.225
   45   21.240   21.231   36.529    0.167    44.714   144.848
   46   21.223   21.214   36.529    0.170    45.708   144.544
   47   21.203   21.194   36.529    0.172    46.701   144.434
   48   21.185   21.176   36.529    0.174    47.695   144.127
   49   21.176   21.167   36.530    0.177    48.688   143.962
   50   21.144   21.135   36.531    0.179    49.682   143.959
   51   21.072   21.062   36.537    0.182    50.675   143.605
   52   21.053   21.043   36.556    0.184    51.669   143.483
   53   21.043   21.033   36.602    0.186    52.662   144.739
   54   21.004   20.994   36.635    0.188    53.656   146.963
   55   20.919   20.909   36.623    0.191    54.649   148.399
   56   20.796   20.785   36.586    0.193    55.643   146.818
   57   20.749   20.738   36.581    0.195    56.636   144.068
   58   20.553   20.542   36.537    0.197    57.630   141.880
   59   20.444   20.433   36.524    0.200    58.623   138.175
   60   20.405   20.394   36.523    0.202    59.617   136.326
   61   20.312   20.300   36.527    0.204    60.610   135.964
   62   20.233   20.221   36.528    0.206    61.603   135.607
   63   20.227   20.215   36.528    0.208    62.597   135.164
   64   20.206   20.194   36.526    0.210    63.590   135.142
   65   20.117   20.104   36.527    0.213    64.584   134.679
   66   20.028   20.016   36.542    0.215    65.577   133.710
   67   19.987   19.974   36.545    0.217    66.571   134.666
   68   19.974   19.962   36.545    0.219    67.564   135.402
   69   19.996   19.983   36.559    0.221    68.558   135.462
   70   19.989   19.976   36.567    0.223    69.551   136.454
   71   19.927   19.914   36.569    0.225    70.544   137.732
   72   19.926   19.912   36.590    0.227    71.538   138.347
   73   19.860   19.847   36.580    0.229    72.531   140.330
   74   19.801   19.787   36.585    0.231    73.525   141.576
   75   19.763   19.749   36.610    0.233    74.518   142.624
   76   19.631   19.617   36.594    0.235    75.511   146.737
   77   19.555   19.541   36.586    0.237    76.505   149.716
   78   19.458   19.444   36.569    0.239    77.498   149.337
   79   19.367   19.352   36.550    0.241    78.492   145.631
   80   19.300   19.286   36.538    0.243    79.485   141.360
   81   19.197   19.182   36.531    0.245    80.478   139.074
   82   19.088   19.073   36.523    0.246    81.472   138.465
   83   19.100   19.085   36.532    0.248    82.465   138.809
   84   19.046   19.031   36.530    0.250    83.458   140.713
   85   18.922   18.907   36.525    0.252    84.452   142.061
   86   18.770   18.755   36.500    0.254    85.445   143.142
   87   18.616   18.600   36.477    0.256    86.438   142.929
   88   18.574   18.558   36.470    0.257    87.432   140.729
   89   18.491   18.475   36.462    0.259    88.425   138.974
   90   18.329   18.313   36.443    0.261    89.418   138.802
   91   18.291   18.275   36.434    0.263    90.412   138.323
   92   18.248   18.232   36.427    0.264    91.405   137.286
   93   18.196   18.179   36.421    0.266    92.398   135.969
   94   18.180   18.164   36.420    0.268    93.392   135.268
   95   18.178   18.162   36.422    0.270    94.385   135.669
   96   18.149   18.133   36.424    0.271    95.378   136.417
   97   18.105   18.088   36.421    0.273    96.371   137.589
   98   17.931   17.914   36.399    0.275    97.365   139.146
   99   17.863   17.846   36.389    0.276    98.358   139.541
  100   17.833   17.815   36.386    0.278    99.351   139.082
  101   17.812   17.795   36.384    0.280    100.345   138.796
  102   17.796   17.778   36.383    0.281    101.338   138.928
  103   17.721   17.704   36.375    0.283    102.331   139.234
  104   17.654   17.636   36.367    0.285    103.324   139.707
  105   17.566   17.548   36.356    0.286    104.318   140.339
  106   17.484   17.466   36.345    0.288    105.311   140.746
  107   17.446   17.428   36.340    0.290    106.304   140.982
  108   17.346   17.328   36.327    0.291    107.297   141.270
  109   17.312   17.294   36.323    0.293    108.291   141.289
  110   17.275   17.256   36.318    0.294    109.284   141.421
  111   17.234   17.215   36.312    0.296    110.277   141.514
  112   17.171   17.152   36.304    0.298    111.270   141.221
