 station cast   lat    long    jday   mo/da/yr   gmt
 100      1   22.546 -88.014   285    10/12/21  1322 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.924   28.924   36.233    0.005    0.994   195.232
    2   28.924   28.924   36.233    0.010    1.987   195.258
    3   28.924   28.923   36.233    0.015    2.981   195.285
    4   28.924   28.923   36.233    0.019    3.975   195.312
    5   28.924   28.923   36.232    0.024    4.969   195.516
    6   28.924   28.922   36.232    0.029    5.962   195.210
    7   28.924   28.922   36.232    0.034    6.956   195.216
    8   28.923   28.921   36.232    0.039    7.950   195.545
    9   28.923   28.921   36.232    0.044    8.943   195.389
   10   28.923   28.921   36.232    0.048    9.937   195.082
   11   28.922   28.919   36.232    0.053    10.931   195.324
   12   28.920   28.917   36.232    0.058    11.924   195.224
   13   28.917   28.914   36.233    0.063    12.918   195.465
   14   28.914   28.910   36.234    0.068    13.912   195.307
   15   28.911   28.907   36.234    0.073    14.905   195.300
   16   28.911   28.907   36.235    0.077    15.899   195.482
   17   28.911   28.907   36.235    0.082    16.893   195.588
   18   28.909   28.905   36.236    0.087    17.886   195.502
   19   28.908   28.903   36.238    0.092    18.880   195.569
   20   28.907   28.902   36.239    0.097    19.874   195.639
   21   28.905   28.900   36.241    0.102    20.867   195.495
   22   28.902   28.897   36.242    0.107    21.861   195.506
   23   28.902   28.896   36.243    0.111    22.855   195.511
   24   28.836   28.830   36.269    0.116    23.848   196.042
   25   28.473   28.467   36.394    0.121    24.842   198.587
   26   27.073   27.067   36.452    0.125    25.835   211.156
   27   26.736   26.729   36.480    0.129    26.829   220.398
   28   26.583   26.577   36.489    0.133    27.823   217.547
   29   26.141   26.135   36.507    0.137    28.816   213.856
   30   25.851   25.845   36.525    0.140    29.810   210.925
   31   25.427   25.420   36.525    0.144    30.803   207.406
   32   25.198   25.191   36.520    0.147    31.797   196.363
   33   25.101   25.094   36.527    0.151    32.791   193.677
   34   24.972   24.964   36.539    0.154    33.784   195.356
   35   24.863   24.856   36.554    0.158    34.778   195.646
   36   24.797   24.789   36.552    0.161    35.771   192.652
   37   24.738   24.730   36.557    0.164    36.765   187.778
   38   24.642   24.634   36.562    0.168    37.758   186.390
   39   24.289   24.281   36.560    0.171    38.752   186.570
   40   24.049   24.041   36.552    0.174    39.746   180.357
   41   23.933   23.924   36.548    0.177    40.739   176.287
   42   23.745   23.736   36.543    0.180    41.733   173.740
   43   23.705   23.696   36.542    0.183    42.726   170.005
   44   23.665   23.656   36.542    0.186    43.720   168.558
   45   23.657   23.648   36.580    0.189    44.713   164.600
   46   23.649   23.640   36.617    0.192    45.707   160.642
   47   23.641   23.632   36.654    0.195    46.700   156.684
   48   23.634   23.623   36.691    0.198    47.694   152.725
