 station cast   lat    long    jday   mo/da/yr   gmt
  58      1   28.334 -94.999   272    09/29/21  0815 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.271   28.270   33.875    0.006    0.993   197.557
    2   28.271   28.270   33.874    0.013    1.987   197.584
    3   28.271   28.270   33.874    0.019    2.980   197.611
    4   28.271   28.270   33.874    0.025    3.973   197.638
    5   28.271   28.269   33.874    0.032    4.967   197.673
    6   28.274   28.273   33.878    0.038    5.960   197.609
    7   28.278   28.276   33.882    0.044    6.953   197.487
    8   28.281   28.280   33.887    0.051    7.946   197.389
    9   28.287   28.285   33.895    0.057    8.940   197.730
   10   28.293   28.291   33.902    0.063    9.933   197.428
   11   28.299   28.296   33.910    0.070    10.926   197.563
   12   28.353   28.350   34.010    0.076    11.920   197.667
   13   28.393   28.390   34.095    0.082    12.913   197.418
   14   28.421   28.418   34.166    0.088    13.906   197.161
   15   28.481   28.478   34.309    0.094    14.899   196.450
   16   28.487   28.484   34.322    0.100    15.893   196.629
   17   28.493   28.489   34.335    0.106    16.886   196.588
   18   28.499   28.495   34.348    0.113    17.879   196.638
   19   28.505   28.501   34.361    0.119    18.872   196.764
   20   28.556   28.552   34.485    0.125    19.866   196.769
   21   28.567   28.562   34.513    0.131    20.859   196.271
   22   28.579   28.574   34.546    0.137    21.852   196.356
   23   28.608   28.602   34.637    0.142    22.845   196.305
   24   28.622   28.616   34.739    0.148    23.838   196.111
   25   28.624   28.618   34.765    0.154    24.832   196.004
   26   28.623   28.616   34.770    0.160    25.825   195.572
   27   28.616   28.610   34.790    0.166    26.818   195.980
   28   28.613   28.606   34.801    0.171    27.811   195.802
   29   28.609   28.602   34.815    0.177    28.804   195.716
   30   28.606   28.599   34.824    0.183    29.798   195.806
   31   28.605   28.598   34.831    0.189    30.791   195.449
   32   28.608   28.600   34.841    0.194    31.784   195.298
   33   28.624   28.616   34.856    0.200    32.777   195.458
   34   28.634   28.626   34.863    0.206    33.770   195.699
   35   28.639   28.631   34.867    0.212    34.763   195.619
   36   28.661   28.652   34.886    0.217    35.757   195.783
