 station cast   lat    long    jday   mo/da/yr   gmt
  33      1   29.463 -87.236   266    09/23/21  2347 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   27.778   27.778   34.237    0.006    0.993   199.761
    2   27.778   27.778   34.236    0.012    1.986   199.788
    3   27.778   27.778   34.236    0.018    2.980   199.816
    4   27.778   27.777   34.236    0.024    3.973   199.843
    5   27.778   27.777   34.235    0.030    4.966   199.788
    6   27.780   27.778   34.236    0.035    5.959   199.845
    7   27.780   27.778   34.236    0.041    6.953   200.011
    8   27.780   27.778   34.237    0.047    7.946   199.404
    9   27.780   27.778   34.236    0.053    8.939   200.356
   10   27.786   27.784   34.240    0.059    9.932   200.114
   11   27.792   27.789   34.243    0.065    10.925   199.891
   12   27.798   27.795   34.247    0.071    11.918   199.912
   13   27.820   27.817   34.266    0.077    12.912   200.207
   14   27.825   27.822   34.274    0.083    13.905   199.930
   15   27.829   27.826   34.283    0.089    14.898   199.880
   16   27.847   27.843   34.322    0.095    15.891   199.748
   17   27.856   27.852   34.353    0.100    16.884   199.943
   18   27.864   27.860   34.395    0.106    17.877   199.936
   19   27.872   27.868   34.429    0.112    18.871   199.761
   20   27.881   27.876   34.454    0.118    19.864   199.944
   21   27.887   27.882   34.466    0.124    20.857   199.942
   22   27.890   27.885   34.471    0.129    21.850   199.191
   23   27.909   27.904   34.495    0.135    22.843   199.361
   24   27.928   27.922   34.519    0.141    23.836   199.629
   25   27.935   27.929   34.529    0.147    24.829   199.658
   26   27.963   27.957   34.564    0.153    25.823   199.491
   27   27.997   27.991   34.597    0.158    26.816   199.679
   28   28.094   28.088   34.710    0.164    27.809   199.784
   29   28.219   28.212   35.016    0.169    28.802   200.275
   30   28.229   28.222   35.270    0.175    29.795   200.635
   31   27.996   27.989   35.315    0.180    30.788   200.632
   32   27.965   27.958   35.334    0.185    31.781   200.966
