 station cast   lat    long    jday   mo/da/yr   gmt
   5      1   26.994 -79.931   258    09/15/21  0201 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.626   29.626   35.399    0.006    0.993   195.678
    2   29.626   29.626   35.398    0.011    1.987   195.704
    3   29.626   29.625   35.398    0.017    2.980   195.731
    4   29.626   29.625   35.398    0.023    3.974   195.758
    5   29.626   29.625   35.398    0.028    4.967   196.006
    6   29.658   29.657   35.427    0.034    5.960   195.432
    7   29.657   29.655   35.428    0.040    6.954   195.347
    8   29.658   29.656   35.429    0.045    7.947   195.520
    9   29.672   29.670   35.441    0.051    8.941   195.737
   10   29.656   29.654   35.447    0.057    9.934   195.860
   11   29.641   29.638   35.463    0.062    10.927   195.784
   12   29.617   29.614   35.569    0.068    11.921   195.413
   13   29.647   29.644   35.664    0.073    12.914   195.341
   14   29.651   29.647   35.825    0.079    13.907   195.344
   15   29.649   29.646   35.847    0.084    14.901   195.489
   16   29.640   29.636   35.875    0.089    15.894   195.180
   17   29.533   29.528   36.039    0.095    16.888   195.392
   18   29.501   29.496   36.058    0.100    17.881   196.215
   19   29.477   29.472   36.054    0.105    18.874   196.582
   20   29.455   29.450   36.057    0.110    19.868   196.420
   21   29.446   29.441   36.065    0.115    20.861   196.158
   22   29.427   29.422   36.074    0.120    21.854   196.513
   23   29.407   29.402   36.074    0.125    22.848   196.723
   24   29.359   29.353   36.070    0.130    23.841   197.579
   25   29.380   29.374   36.117    0.136    24.834   197.639
   26   29.381   29.375   36.162    0.141    25.827   197.101
   27   29.375   29.368   36.166    0.146    26.821   197.740
   28   29.360   29.354   36.167    0.151    27.814   197.743
   29   29.356   29.349   36.168    0.156    28.807   197.687
   30   29.344   29.337   36.166    0.161    29.801   197.852
   31   29.334   29.326   36.164    0.166    30.794   197.957
   32   29.324   29.317   36.162    0.171    31.787   198.057
   33   29.273   29.265   36.155    0.176    32.780   198.129
   34   29.250   29.241   36.160    0.181    33.774   198.736
   35   29.295   29.287   36.194    0.186    34.767   198.868
   36   29.312   29.304   36.203    0.191    35.760   198.265
   37   29.320   29.311   36.207    0.196    36.753   198.446
   38   29.323   29.314   36.211    0.201    37.747   198.600
   39   29.334   29.325   36.223    0.206    38.740   198.255
   40   29.325   29.315   36.224    0.211    39.733   198.348
   41   29.247   29.237   36.208    0.216    40.726   198.465
   42   29.218   29.208   36.213    0.221    41.720   198.565
   43   29.205   29.194   36.223    0.226    42.713   198.982
   44   29.201   29.190   36.227    0.231    43.706   199.351
   45   29.158   29.147   36.228    0.236    44.699   198.987
   46   29.099   29.088   36.226    0.241    45.692   200.147
   47   29.087   29.075   36.225    0.245    46.686   200.503
   48   28.942   28.931   36.196    0.250    47.679   200.089
   49   28.805   28.793   36.160    0.255    48.672   200.083
   50   28.597   28.585   36.103    0.260    49.665   200.142
   51   28.298   28.286   36.045    0.265    50.658   200.541
   52   28.077   28.065   36.056    0.270    51.652   201.373
   53   27.926   27.914   36.098    0.274    52.645   202.257
   54   27.710   27.698   36.107    0.279    53.638   201.772
   55   27.514   27.501   36.137    0.283    54.631   202.216
   56   27.386   27.373   36.164    0.288    55.624   202.339
   57   27.308   27.295   36.195    0.292    56.617   203.026
   58   27.133   27.119   36.232    0.296    57.611   203.010
   59   26.993   26.980   36.259    0.301    58.604   203.168
   60   26.681   26.668   36.265    0.305    59.597   202.934
   61   26.543   26.529   36.266    0.309    60.590   202.617
   62   26.465   26.451   36.268    0.313    61.583   202.310
   63   26.190   26.176   36.285    0.317    62.576   201.090
   64   25.774   25.760   36.303    0.321    63.569   199.847
   65   25.376   25.362   36.271    0.325    64.562   198.311
   66   25.038   25.023   36.232    0.328    65.556   195.850
   67   24.652   24.638   36.195    0.332    66.549   192.501
   68   24.229   24.215   36.162    0.335    67.542   188.738
   69   23.576   23.562   36.159    0.339    68.535   186.128
   70   23.157   23.142   36.165    0.342    69.528   183.878
   71   22.929   22.915   36.164    0.345    70.521   182.438
   72   22.565   22.550   36.158    0.348    71.514   181.988
   73   21.967   21.952   36.146    0.351    72.507   179.963
   74   21.164   21.150   36.137    0.354    73.500   175.907
   75   20.741   20.727   36.128    0.356    74.493   172.096
   76   20.525   20.510   36.122    0.359    75.486   170.114
   77   20.343   20.329   36.118    0.361    76.479   169.172
   78   20.242   20.228   36.116    0.364    77.473   168.496
   79   20.112   20.098   36.113    0.366    78.466   167.860
   80   19.945   19.931   36.109    0.368    79.459   167.221
   81   19.689   19.674   36.101    0.371    80.452   166.330
   82   19.369   19.354   36.089    0.373    81.445   164.900
   83   19.197   19.182   36.084    0.375    82.438   162.753
   84   18.953   18.938   36.077    0.377    83.431   160.765
   85   18.692   18.677   36.063    0.379    84.424   159.072
   86   18.438   18.423   36.058    0.382    85.417   157.553
   87   18.121   18.106   36.051    0.383    86.410   155.942
   88   17.822   17.807   36.047    0.385    87.403   153.691
   89   17.708   17.693   36.061    0.387    88.396   151.028
   90   17.626   17.611   36.076    0.389    89.389   149.144
   91   17.551   17.535   36.090    0.391    90.382   147.792
   92   17.503   17.488   36.104    0.393    91.375   146.435
   93   17.475   17.459   36.121    0.395    92.368   145.157
   94   17.422   17.406   36.144    0.396    93.361   143.937
   95   17.361   17.345   36.158    0.398    94.354   142.580
   96   17.289   17.273   36.169    0.400    95.347   141.214
   97   17.213   17.196   36.173    0.401    96.340   139.929
   98   17.131   17.114   36.177    0.403    97.333   138.918
   99   16.988   16.971   36.175    0.405    98.325   138.268
  100   16.769   16.752   36.157    0.406    99.318   137.503
  101   16.621   16.605   36.142    0.408    100.311   136.531
  102   16.464   16.448   36.123    0.409    101.304   135.737
  103   16.312   16.295   36.107    0.411    102.297   135.401
  104   16.136   16.119   36.083    0.412    103.290   135.251
  105   16.040   16.023   36.070    0.414    104.283   135.062
  106   15.881   15.864   36.060    0.415    105.276   135.028
  107   15.869   15.852   36.068    0.417    106.269   134.509
  108   15.848   15.831   36.069    0.418    107.262   134.153
  109   15.776   15.759   36.060    0.420    108.255   133.914
  110   15.662   15.645   36.039    0.421    109.248   133.697
  111   15.572   15.555   36.022    0.423    110.241   133.539
  112   15.519   15.502   36.011    0.424    111.233   133.383
  113   15.457   15.440   36.004    0.425    112.226   133.227
  114   15.329   15.311   35.981    0.427    113.219   133.140
  115   15.172   15.154   35.952    0.428    114.212   132.887
  116   15.096   15.078   35.938    0.430    115.205   132.523
  117   15.004   14.986   35.922    0.431    116.198   132.502
  118   14.914   14.896   35.906    0.432    117.191   132.453
  119   14.806   14.788   35.891    0.434    118.183   132.408
  120   14.686   14.668   35.877    0.435    119.176   132.142
  121   14.622   14.604   35.873    0.437    120.169   131.792
  122   14.621   14.603   35.877    0.438    121.162   131.418
  123   14.636   14.617   35.885    0.439    122.155   131.280
  124   14.657   14.638   35.900    0.441    123.148   131.252
  125   14.660   14.641   35.911    0.442    124.141   131.509
  126   14.628   14.609   35.909    0.443    125.133   132.050
  127   14.580   14.561   35.903    0.444    126.126   132.438
  128   14.536   14.516   35.895    0.446    127.119   132.389
  129   14.507   14.488   35.890    0.447    128.112   132.195
  130   14.444   14.425   35.881    0.448    129.105   131.887
  131   14.413   14.394   35.878    0.450    130.097   131.460
  132   14.391   14.371   35.874    0.451    131.090   131.399
  133   14.385   14.365   35.873    0.452    132.083   131.650
  134   14.298   14.278   35.860    0.454    133.076   131.888
  135   14.162   14.142   35.835    0.455    134.069   131.803
  136   13.971   13.951   35.793    0.456    135.061   130.701
  137   13.779   13.760   35.749    0.457    136.054   130.084
  138   13.611   13.591   35.700    0.459    137.047   128.789
  139   13.505   13.485   35.703    0.460    138.040   128.376
  140   13.399   13.380   35.707    0.461    139.032   127.894
  141   13.294   13.274   35.710    0.462    140.025   127.215
  142   13.188   13.168   35.714    0.463    141.018   126.436
