 station cast   lat    long    jday   mo/da/yr   gmt
  63      1   26.061 -96.807   273    09/30/21  0631 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.281   29.281   35.719    0.005    0.993   190.490
    2   29.281   29.280   35.718    0.011    1.987   190.516
    3   29.281   29.280   35.718    0.016    2.980   190.542
    4   29.281   29.280   35.718    0.021    3.974   190.568
    5   29.281   29.280   35.717    0.027    4.967   190.754
    6   29.281   29.280   35.717    0.032    5.961   190.368
    7   29.281   29.279   35.716    0.037    6.954   190.306
    8   29.279   29.277   35.715    0.043    7.948   190.134
    9   29.279   29.277   35.715    0.048    8.941   190.565
   10   29.280   29.278   35.715    0.053    9.935   190.814
   11   29.281   29.278   35.715    0.059    10.928   190.629
   12   29.282   29.280   35.715    0.064    11.922   190.096
   13   29.281   29.278   35.715    0.069    12.915   190.569
   14   29.280   29.277   35.715    0.075    13.908   190.708
   15   29.281   29.277   35.714    0.080    14.902   190.691
   16   29.282   29.278   35.715    0.085    15.895   190.611
   17   29.282   29.278   35.715    0.091    16.889   190.560
   18   29.282   29.277   35.715    0.096    17.882   190.563
   19   29.281   29.277   35.716    0.101    18.876   190.721
   20   29.281   29.276   35.716    0.107    19.869   190.704
   21   29.280   29.275   35.716    0.112    20.862   190.603
   22   29.281   29.276   35.715    0.117    21.856   190.111
   23   29.268   29.262   35.720    0.123    22.849   190.048
   24   29.213   29.207   35.735    0.128    23.842   186.507
   25   29.202   29.195   35.737    0.133    24.836   184.897
   26   29.197   29.191   35.740    0.138    25.829   184.286
   27   29.196   29.189   35.758    0.144    26.823   182.737
   28   29.195   29.188   35.768    0.149    27.816   180.138
   29   29.146   29.139   35.792    0.154    28.809   177.233
   30   29.121   29.114   35.800    0.160    29.803   173.058
   31   29.109   29.101   35.804    0.165    30.796   176.285
   32   29.078   29.070   35.812    0.170    31.789   175.662
   33   29.013   29.005   35.822    0.175    32.783   172.353
   34   28.989   28.981   35.825    0.180    33.776   172.044
   35   28.974   28.966   35.825    0.185    34.769   172.473
   36   28.927   28.919   35.829    0.191    35.763   172.915
   37   28.870   28.861   35.835    0.196    36.756   173.549
   38   28.807   28.798   35.846    0.201    37.749   173.173
   39   28.803   28.794   35.851    0.206    38.743   170.834
