 station cast   lat    long    jday   mo/da/yr   gmt
 139      1   25.745 -84.589   293    10/20/21  1034 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.288   28.288   35.523    0.005    0.994   195.987
    2   28.288   28.288   35.523    0.010    1.987   196.014
    3   28.288   28.287   35.523    0.015    2.981   196.041
    4   28.288   28.287   35.522    0.021    3.974   196.067
    5   28.288   28.287   35.522    0.026    4.968   196.036
    6   28.292   28.291   35.523    0.031    5.961   196.155
    7   28.292   28.290   35.523    0.036    6.954   196.326
    8   28.293   28.291   35.523    0.041    7.948   196.635
    9   28.292   28.290   35.523    0.046    8.941   196.195
   10   28.292   28.289   35.523    0.052    9.935   196.463
   11   28.291   28.289   35.523    0.057    10.928   196.448
   12   28.292   28.289   35.523    0.062    11.922   196.445
   13   28.292   28.289   35.523    0.067    12.915   196.231
   14   28.292   28.289   35.523    0.072    13.909   196.259
   15   28.293   28.289   35.523    0.077    14.902   196.410
   16   28.293   28.289   35.523    0.082    15.896   196.540
   17   28.292   28.288   35.522    0.088    16.889   196.416
   18   28.286   28.282   35.518    0.093    17.883   196.365
   19   28.283   28.278   35.516    0.098    18.876   196.072
   20   28.282   28.278   35.516    0.103    19.869   196.308
   21   28.289   28.284   35.519    0.108    20.863   196.355
   22   28.291   28.286   35.522    0.113    21.856   196.339
   23   28.294   28.289   35.522    0.119    22.850   196.589
   24   28.298   28.293   35.525    0.124    23.843   196.303
   25   28.302   28.296   35.528    0.129    24.836   195.899
   26   28.302   28.296   35.528    0.134    25.830   196.410
   27   28.308   28.302   35.535    0.139    26.823   196.743
   28   28.441   28.435   35.738    0.144    27.817   196.350
   29   28.591   28.584   36.057    0.149    28.810   197.231
   30   28.619   28.612   36.119    0.154    29.803   197.727
   31   28.613   28.606   36.128    0.159    30.797   197.686
   32   28.562   28.554   36.134    0.164    31.790   197.751
   33   28.423   28.416   36.127    0.168    32.783   199.489
   34   28.278   28.270   36.240    0.173    33.777   201.019
   35   27.997   27.988   36.324    0.178    34.770   199.416
   36   27.859   27.850   36.339    0.182    35.763   198.370
   37   27.658   27.649   36.340    0.186    36.757   199.092
   38   27.508   27.499   36.342    0.191    37.750   199.445
   39   27.495   27.486   36.346    0.195    38.743   200.037
   40   27.485   27.475   36.354    0.199    39.737   199.757
   41   27.383   27.373   36.405    0.204    40.730   199.055
   42   27.254   27.245   36.484    0.208    41.723   198.857
   43   27.024   27.014   36.513    0.212    42.717   198.338
   44   26.747   26.737   36.534    0.216    43.710   196.567
   45   26.607   26.597   36.566    0.220    44.703   194.756
   46   26.341   26.331   36.587    0.223    45.697   193.741
   47   26.108   26.098   36.587    0.227    46.690   191.633
   48   25.777   25.766   36.554    0.231    47.683   191.565
   49   25.282   25.272   36.485    0.234    48.677   193.164
   50   24.677   24.667   36.351    0.238    49.670   201.257
   51   24.394   24.383   36.312    0.241    50.663   211.627
   52   24.089   24.078   36.347    0.245    51.656   211.178
   53   23.863   23.852   36.370    0.248    52.650   204.486
   54   23.680   23.668   36.362    0.251    53.643   202.796
   55   23.636   23.624   36.362    0.254    54.636   203.398
   56   23.539   23.527   36.374    0.257    55.629   203.776
   57   23.448   23.436   36.385    0.260    56.623   201.841
   58   23.375   23.363   36.386    0.264    57.616   200.296
   59   23.150   23.138   36.377    0.267    58.609   199.977
   60   22.941   22.929   36.421    0.270    59.602   197.371
   61   22.692   22.680   36.415    0.272    60.596   191.755
