 station cast   lat    long    jday   mo/da/yr   gmt
 140      1   25.658 -84.716   293    10/20/21  1316 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.051   28.050   36.084    0.005    0.994   195.904
    2   28.051   28.050   36.083    0.009    1.987   195.931
    3   28.051   28.050   36.083    0.014    2.981   195.958
    4   28.051   28.050   36.083    0.019    3.974   195.985
    5   28.051   28.049   36.082    0.023    4.968   195.921
    6   28.050   28.049   36.082    0.028    5.961   195.934
    7   28.051   28.049   36.082    0.033    6.955   195.908
    8   28.051   28.049   36.082    0.037    7.948   195.723
    9   28.051   28.049   36.083    0.042    8.942   195.929
   10   28.052   28.050   36.083    0.047    9.935   195.997
   11   28.052   28.050   36.084    0.051    10.928   196.013
   12   28.053   28.050   36.085    0.056    11.922   196.138
   13   28.058   28.055   36.087    0.061    12.915   196.224
   14   28.060   28.057   36.089    0.065    13.909   195.765
   15   28.059   28.055   36.087    0.070    14.902   195.910
   16   28.061   28.057   36.088    0.075    15.896   195.779
   17   28.057   28.053   36.085    0.079    16.889   195.891
   18   28.061   28.057   36.088    0.084    17.883   195.910
   19   28.072   28.067   36.099    0.089    18.876   195.966
   20   28.071   28.067   36.099    0.093    19.869   195.885
   21   28.080   28.075   36.106    0.098    20.863   195.762
   22   28.082   28.077   36.108    0.103    21.856   195.735
   23   28.084   28.078   36.109    0.108    22.850   195.900
   24   28.086   28.080   36.111    0.112    23.843   195.736
   25   28.091   28.085   36.115    0.117    24.837   195.734
   26   28.092   28.086   36.116    0.122    25.830   196.047
   27   28.101   28.095   36.124    0.126    26.823   196.083
   28   28.101   28.094   36.123    0.131    27.817   196.028
   29   28.100   28.093   36.122    0.136    28.810   195.998
   30   28.099   28.092   36.121    0.140    29.804   196.107
   31   28.109   28.102   36.128    0.145    30.797   196.128
   32   28.119   28.111   36.136    0.150    31.790   196.016
   33   28.123   28.116   36.139    0.154    32.784   195.909
   34   28.185   28.177   36.191    0.159    33.777   195.709
   35   28.189   28.181   36.237    0.163    34.770   196.146
   36   28.121   28.112   36.249    0.168    35.764   196.357
   37   27.943   27.935   36.277    0.173    36.757   196.941
   38   27.591   27.582   36.323    0.177    37.750   198.265
   39   27.452   27.443   36.337    0.181    38.744   200.329
   40   27.379   27.369   36.342    0.186    39.737   201.277
   41   27.157   27.148   36.358    0.190    40.730   201.329
   42   26.953   26.943   36.365    0.194    41.724   202.371
   43   26.736   26.726   36.365    0.198    42.717   203.200
   44   26.651   26.641   36.372    0.202    43.710   203.601
   45   26.549   26.538   36.385    0.206    44.704   203.681
   46   26.359   26.349   36.421    0.210    45.697   203.404
   47   26.252   26.241   36.443    0.214    46.690   203.401
   48   26.114   26.103   36.491    0.218    47.684   203.511
   49   25.901   25.890   36.554    0.221    48.677   203.157
   50   25.638   25.627   36.534    0.225    49.670   202.601
   51   25.309   25.297   36.501    0.229    50.663   201.559
   52   25.017   25.005   36.449    0.232    51.657   201.707
   53   24.710   24.699   36.361    0.236    52.650   201.726
   54   24.663   24.651   36.387    0.239    53.643   202.313
   55   24.813   24.801   36.460    0.242    54.636   201.905
   56   25.043   25.031   36.607    0.246    55.630   198.003
   57   24.994   24.981   36.641    0.249    56.623   190.484
   58   24.926   24.913   36.656    0.253    57.616   181.829
   59   24.823   24.810   36.673    0.256    58.609   178.553
   60   24.541   24.529   36.663    0.259    59.603   183.774
   61   24.394   24.381   36.648    0.262    60.596   185.568
   62   24.373   24.360   36.649    0.265    61.589   182.579
   63   24.384   24.371   36.676    0.269    62.582   178.638
   64   24.188   24.175   36.697    0.272    63.576   175.760
   65   23.976   23.962   36.703    0.275    64.569   176.236
   66   23.890   23.876   36.704    0.278    65.562   178.069
   67   23.736   23.722   36.709    0.281    66.555   178.786
   68   23.619   23.605   36.704    0.284    67.548   177.308
   69   23.375   23.360   36.717    0.286    68.542   177.170
   70   23.210   23.196   36.728    0.289    69.535   172.006
   71   23.041   23.027   36.746    0.292    70.528   163.324
   72   22.935   22.920   36.744    0.295    71.521   156.373
   73   22.726   22.711   36.741    0.297    72.514   155.966
   74   22.699   22.684   36.784    0.300    73.507   156.003
   75   22.565   22.550   36.763    0.303    74.501   156.082
   76   22.338   22.323   36.754    0.305    75.494   155.345
   77   22.291   22.276   36.766    0.308    76.487   153.803
   78   22.263   22.247   36.764    0.310    77.480   153.067
   79   22.208   22.192   36.765    0.313    78.473   153.062
   80   22.204   22.188   36.772    0.315    79.466   153.149
   81   22.199   22.182   36.773    0.318    80.460   153.271
   82   22.019   22.003   36.746    0.320    81.453   153.488
   83   21.802   21.786   36.742    0.323    82.446   152.351
   84   21.624   21.608   36.735    0.325    83.439   149.106
   85   21.539   21.522   36.733    0.327    84.432   147.004
   86   21.376   21.359   36.712    0.330    85.425   147.246
   87   21.269   21.252   36.716    0.332    86.418   147.047
   88   21.080   21.063   36.686    0.334    87.411   146.513
   89   20.917   20.900   36.660    0.336    88.404   144.578
   90   20.782   20.765   36.627    0.339    89.398   143.197
   91   20.670   20.652   36.600    0.341    90.391   141.617
   92   20.600   20.583   36.590    0.343    91.384   139.099
   93   20.485   20.468   36.576    0.345    92.377   136.366
   94   20.429   20.411   36.572    0.347    93.370   134.528
   95   20.465   20.447   36.615    0.350    94.363   133.723
   96   20.384   20.366   36.622    0.352    95.356   135.332
   97   20.314   20.295   36.623    0.354    96.349   137.159
   98   20.133   20.114   36.611    0.356    97.342   137.208
   99   20.043   20.025   36.606    0.358    98.335   135.023
  100   20.015   19.996   36.620    0.360    99.328   133.781
  101   20.011   19.993   36.630    0.362    100.321   135.398
  102   19.977   19.958   36.629    0.364    101.314   138.397
  103   19.849   19.830   36.613    0.366    102.307   140.405
  104   19.705   19.685   36.600    0.368    103.300   140.985
  105   19.638   19.619   36.601    0.370    104.293   141.157
  106   19.629   19.609   36.601    0.372    105.286   141.032
  107   19.589   19.569   36.598    0.374    106.279   140.842
  108   19.543   19.523   36.595    0.376    107.272   140.280
  109   19.501   19.481   36.591    0.378    108.265   140.096
  110   19.403   19.383   36.579    0.380    109.258   140.512
  111   19.347   19.327   36.574    0.382    110.251   140.624
  112   19.271   19.250   36.565    0.383    111.244   140.574
  113   19.179   19.158   36.555    0.385    112.237   140.796
  114   19.081   19.060   36.546    0.387    113.230   140.801
  115   19.031   19.010   36.540    0.389    114.223   140.244
  116   18.959   18.938   36.532    0.391    115.216   139.412
  117   18.896   18.875   36.523    0.393    116.209   137.993
  118   18.850   18.829   36.516    0.395    117.202   135.812
  119   18.782   18.761   36.509    0.396    118.195   133.539
  120   18.729   18.707   36.503    0.398    119.188   132.547
  121   18.709   18.687   36.501    0.400    120.181   132.639
  122   18.690   18.668   36.497    0.402    121.174   132.773
  123   18.594   18.572   36.483    0.404    122.167   132.122
  124   18.554   18.532   36.479    0.405    123.160   130.169
  125   18.534   18.512   36.477    0.407    124.153   128.601
  126   18.498   18.475   36.472    0.409    125.146   127.957
  127   18.438   18.415   36.465    0.411    126.139   128.411
