 station cast   lat    long    jday   mo/da/yr   gmt
 134      1   26.384 -83.609   292    10/19/21  2312 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.773   28.773   35.885    0.005    0.993   195.635
    2   28.773   28.773   35.885    0.010    1.987   195.661
    3   28.773   28.773   35.884    0.015    2.980   195.688
    4   28.773   28.772   35.884    0.020    3.974   195.715
    5   28.773   28.772   35.884    0.025    4.967   195.718
    6   28.776   28.775   35.884    0.030    5.961   195.839
    7   28.779   28.778   35.884    0.035    6.954   195.708
    8   28.782   28.780   35.885    0.040    7.948   195.726
    9   28.779   28.777   35.884    0.045    8.941   195.672
   10   28.775   28.773   35.882    0.050    9.934   195.798
   11   28.775   28.772   35.883    0.056    10.928   195.467
   12   28.776   28.773   35.883    0.061    11.921   195.509
   13   28.776   28.773   35.883    0.066    12.915   195.358
   14   28.775   28.772   35.883    0.071    13.908   195.602
   15   28.774   28.771   35.883    0.076    14.902   195.282
   16   28.775   28.771   35.883    0.081    15.895   195.898
   17   28.775   28.771   35.883    0.086    16.888   195.760
   18   28.775   28.770   35.883    0.091    17.882   195.535
   19   28.775   28.771   35.883    0.096    18.875   195.637
   20   28.775   28.771   35.883    0.101    19.868   195.790
   21   28.775   28.770   35.883    0.106    20.862   195.627
   22   28.776   28.771   35.883    0.111    21.855   195.430
   23   28.775   28.769   35.883    0.116    22.849   195.731
   24   28.775   28.769   35.883    0.121    23.842   195.626
   25   28.772   28.766   35.883    0.126    24.835   195.561
   26   28.773   28.766   35.883    0.131    25.829   195.756
   27   28.774   28.767   35.883    0.136    26.822   195.342
   28   28.772   28.765   35.883    0.141    27.815   195.569
   29   28.772   28.765   35.883    0.146    28.809   195.565
   30   28.773   28.765   35.883    0.152    29.802   195.509
   31   28.773   28.766   35.883    0.157    30.795   195.565
   32   28.775   28.767   35.883    0.162    31.789   195.850
   33   28.776   28.768   35.884    0.167    32.782   195.647
   34   28.779   28.771   35.886    0.172    33.775   195.640
   35   28.802   28.794   35.902    0.177    34.768   195.531
   36   28.849   28.840   35.931    0.182    35.762   195.239
   37   28.865   28.856   35.944    0.187    36.755   195.616
   38   28.878   28.868   35.957    0.192    37.748   195.199
   39   28.889   28.879   35.977    0.197    38.742   195.858
   40   28.882   28.872   36.006    0.202    39.735   195.682
   41   28.647   28.638   36.067    0.207    40.728   197.657
   42   27.885   27.875   36.145    0.211    41.721   202.423
   43   27.564   27.553   36.168    0.216    42.715   209.456
   44   27.385   27.375   36.181    0.220    43.708   209.836
   45   26.876   26.866   36.194    0.225    44.701   210.755
   46   26.491   26.481   36.208    0.229    45.695   211.140
   47   26.241   26.230   36.215    0.233    46.688   211.250
   48   26.008   25.997   36.226    0.237    47.681   211.158
   49   25.795   25.784   36.236    0.241    48.674   209.826
   50   25.202   25.191   36.254    0.244    49.667   209.554
   51   25.054   25.043   36.261    0.248    50.661   210.111
   52   24.778   24.767   36.261    0.252    51.654   207.896
   53   24.303   24.291   36.273    0.255    52.647   193.819
   54   23.880   23.869   36.281    0.258    53.640   196.348
   55   23.011   22.999   36.290    0.261    54.634   197.701
   56   22.809   22.798   36.296    0.264    55.627   186.879
   57   22.596   22.585   36.306    0.267    56.620   179.459
   58   22.435   22.424   36.311    0.270    57.613   175.018
   59   22.332   22.320   36.315    0.273    58.606   169.935
   60   22.229   22.217   36.318    0.276    59.600   165.363
   61   22.126   22.113   36.322    0.279    60.593   162.737
