 station cast   lat    long    jday   mo/da/yr   gmt
 121      1   24.404 -80.616   290    10/17/21  1824 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
  112   24.607   24.583   36.792    0.503    111.254   166.329
  113   24.550   24.526   36.799    0.507    112.247   166.916
  114   24.535   24.510   36.798    0.510    113.240   167.019
  115   24.441   24.417   36.816    0.513    114.233   166.809
  116   24.365   24.340   36.871    0.516    115.226   165.315
  117   24.311   24.286   36.899    0.519    116.219   162.494
  118   24.256   24.231   36.912    0.522    117.213   160.678
  119   24.191   24.165   36.926    0.525    118.206   160.008
  120   24.112   24.086   36.939    0.528    119.199   159.614
  121   24.034   24.008   36.940    0.531    120.192   158.999
  122   23.896   23.870   36.930    0.534    121.185   159.258
  123   23.791   23.765   36.917    0.536    122.178   159.722
  124   23.749   23.723   36.911    0.539    123.171   159.970
  125   23.701   23.675   36.907    0.542    124.164   159.946
  126   23.683   23.656   36.910    0.545    125.157   160.002
  127   23.671   23.645   36.914    0.548    126.150   160.062
  128   23.628   23.602   36.921    0.550    127.143   159.833
  129   23.596   23.569   36.944    0.553    128.136   159.178
  130   23.584   23.557   36.956    0.556    129.129   158.260
  131   23.419   23.392   36.953    0.559    130.122   157.007
  132   23.196   23.169   36.951    0.561    131.115   154.270
  133   23.123   23.096   36.951    0.564    132.108   151.968
  134   23.025   22.997   36.950    0.567    133.101   151.823
  135   22.928   22.900   36.947    0.569    134.094   152.273
  136   22.798   22.771   36.942    0.572    135.086   152.264
  137   22.680   22.652   36.937    0.574    136.079   151.926
  138   22.584   22.556   36.932    0.577    137.072   151.979
  139   22.497   22.469   36.928    0.579    138.065   152.155
  140   22.437   22.408   36.924    0.582    139.058   152.135
  141   22.414   22.385   36.923    0.584    140.051   152.040
  142   22.393   22.364   36.922    0.587    141.044   151.859
  143   22.375   22.346   36.921    0.589    142.037   151.839
  144   22.362   22.332   36.921    0.592    143.030   151.803
  145   22.314   22.285   36.916    0.594    144.023   151.904
  146   22.217   22.188   36.907    0.597    145.016   151.768
  147   22.156   22.126   36.902    0.599    146.009   151.485
  148   22.085   22.056   36.896    0.601    147.002   151.479
  149   22.032   22.002   36.892    0.604    147.995   151.456
  150   21.885   21.855   36.878    0.606    148.987   151.396
  151   21.685   21.655   36.861    0.608    149.980   151.251
  152   21.603   21.573   36.858    0.611    150.973   151.159
  153   21.565   21.535   36.860    0.613    151.966   151.706
  154   21.502   21.471   36.857    0.615    152.959   152.246
  155   21.419   21.388   36.857    0.618    153.952   152.542
  156   21.365   21.334   36.858    0.620    154.945   152.896
  157   21.301   21.270   36.857    0.622    155.938   153.778
  158   21.237   21.207   36.852    0.624    156.930   154.588
  159   21.171   21.140   36.848    0.626    157.923   154.720
  160   21.124   21.093   36.843    0.629    158.916   154.752
  161   21.080   21.048   36.839    0.631    159.909   154.460
  162   21.064   21.033   36.838    0.633    160.902   154.152
  163   21.036   21.004   36.835    0.635    161.895   153.879
  164   20.898   20.867   36.826    0.637    162.887   153.768
  165   20.811   20.779   36.818    0.639    163.880   153.677
  166   20.716   20.684   36.809    0.641    164.873   153.981
  167   20.679   20.647   36.805    0.644    165.866   154.264
  168   20.642   20.610   36.802    0.646    166.859   154.462
  169   20.601   20.568   36.797    0.648    167.851   154.514
  170   20.553   20.521   36.792    0.650    168.844   154.501
  171   20.500   20.468   36.787    0.652    169.837   154.472
  172   20.414   20.381   36.779    0.654    170.830   154.640
  173   20.323   20.290   36.771    0.656    171.823   155.079
  174   20.311   20.278   36.770    0.658    172.815   155.716
  175   20.299   20.266   36.769    0.660    173.808   156.217
  176   20.263   20.230   36.765    0.662    174.801   156.408
  177   20.198   20.165   36.759    0.664    175.794   156.431
  178   20.162   20.129   36.756    0.666    176.786   156.801
  179   20.145   20.111   36.754    0.668    177.779   157.217
  180   20.128   20.094   36.752    0.670    178.772   157.541
  181   20.106   20.072   36.750    0.672    179.765   157.724
  182   20.059   20.025   36.745    0.674    180.757   157.884
  183   20.009   19.974   36.739    0.676    181.750   158.276
  184   19.929   19.895   36.731    0.678    182.743   159.022
  185   19.899   19.865   36.729    0.680    183.736   159.646
  186   19.850   19.815   36.723    0.682    184.728   160.149
  187   19.801   19.766   36.717    0.684    185.721   160.374
  188   19.749   19.714   36.711    0.686    186.714   160.577
  189   19.731   19.696   36.708    0.688    187.706   160.714
  190   19.722   19.687   36.707    0.690    188.699   160.777
  191   19.706   19.671   36.706    0.692    189.692   160.778
  192   19.670   19.634   36.701    0.694    190.685   160.790
  193   19.649   19.614   36.698    0.696    191.677   160.715
  194   19.617   19.582   36.694    0.697    192.670   160.847
  195   19.589   19.553   36.690    0.699    193.663   160.938
  196   19.570   19.534   36.686    0.701    194.655   160.952
  197   19.549   19.512   36.682    0.703    195.648   160.857
  198   19.458   19.421   36.666    0.705    196.641   160.682
  199   19.345   19.309   36.651    0.707    197.633   160.310
  200   19.194   19.158   36.626    0.709    198.626   159.831
  201   19.069   19.033   36.606    0.711    199.619   158.700
  202   19.019   18.983   36.597    0.713    200.611   157.282
