 station cast   lat    long    jday   mo/da/yr   gmt
  41      1   28.080 -89.998   269    09/26/21  0213 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.533   28.533   36.166    0.005    0.993   195.757
    2   28.533   28.532   36.166    0.010    1.987   195.784
    3   28.533   28.532   36.166    0.014    2.980   195.811
    4   28.533   28.532   36.165    0.019    3.973   195.838
    5   28.533   28.532   36.165    0.024    4.967   196.037
    6   28.531   28.530   36.165    0.029    5.960   195.870
    7   28.528   28.526   36.163    0.033    6.953   196.149
    8   28.527   28.525   36.163    0.038    7.947   195.726
    9   28.530   28.528   36.165    0.043    8.940   196.110
   10   28.532   28.530   36.166    0.048    9.933   196.346
   11   28.533   28.531   36.166    0.052    10.926   196.022
   12   28.534   28.531   36.168    0.057    11.920   196.263
   13   28.534   28.531   36.169    0.062    12.913   196.103
   14   28.535   28.532   36.176    0.067    13.906   196.496
   15   28.539   28.535   36.183    0.071    14.900   196.419
   16   28.533   28.529   36.204    0.076    15.893   195.857
   17   28.521   28.517   36.232    0.081    16.886   195.858
   18   28.507   28.502   36.260    0.086    17.879   195.940
   19   28.504   28.500   36.265    0.090    18.873   195.778
   20   28.503   28.498   36.270    0.095    19.866   195.725
   21   28.502   28.497   36.275    0.100    20.859   196.092
   22   28.500   28.495   36.276    0.104    21.852   195.843
   23   28.498   28.492   36.277    0.109    22.846   195.749
   24   28.496   28.490   36.277    0.114    23.839   195.892
   25   28.492   28.486   36.277    0.118    24.832   196.089
   26   28.489   28.483   36.278    0.123    25.825   195.857
   27   28.478   28.472   36.279    0.128    26.819   195.616
   28   28.434   28.427   36.285    0.132    27.812   195.633
   29   28.161   28.155   36.320    0.137    28.805   195.870
   30   27.616   27.609   36.395    0.141    29.798   196.158
   31   27.311   27.304   36.439    0.146    30.791   197.729
   32   27.120   27.113   36.481    0.150    31.785   196.152
   33   27.052   27.045   36.499    0.154    32.778   193.562
   34   26.880   26.873   36.522    0.158    33.771   192.724
   35   26.624   26.616   36.584    0.162    34.764   190.413
   36   26.425   26.416   36.627    0.165    35.757   188.120
   37   26.348   26.339   36.635    0.169    36.750   186.048
   38   26.260   26.251   36.631    0.173    37.744   185.802
   39   26.174   26.165   36.638    0.177    38.737   185.742
   40   26.144   26.135   36.646    0.180    39.730   184.246
   41   26.129   26.120   36.657    0.184    40.723   183.380
   42   26.079   26.070   36.662    0.188    41.716   182.893
   43   26.021   26.011   36.666    0.191    42.709   181.553
   44   25.974   25.964   36.676    0.195    43.702   179.885
   45   25.914   25.904   36.705    0.199    44.696   178.542
   46   25.790   25.780   36.717    0.202    45.689   176.721
   47   25.725   25.714   36.725    0.206    46.682   174.819
   48   25.707   25.696   36.725    0.209    47.675   175.058
   49   25.683   25.672   36.722    0.213    48.668   175.558
   50   25.635   25.624   36.716    0.216    49.661   175.568
   51   25.534   25.522   36.754    0.220    50.654   175.036
   52   25.269   25.258   36.784    0.223    51.647   172.038
   53   25.030   25.018   36.788    0.226    52.640   169.240
   54   24.882   24.871   36.787    0.229    53.634   168.592
   55   24.738   24.726   36.801    0.233    54.627   167.600
   56   24.481   24.469   36.813    0.236    55.620   167.195
   57   24.258   24.246   36.799    0.239    56.613   165.893
   58   24.150   24.137   36.796    0.242    57.606   164.512
   59   24.090   24.077   36.807    0.245    58.599   163.527
   60   24.024   24.011   36.831    0.248    59.592   163.108
   61   24.028   24.015   36.838    0.251    60.585   163.113
   62   24.037   24.024   36.844    0.254    61.578   163.152
   63   24.042   24.029   36.851    0.256    62.571   163.177
   64   24.018   24.004   36.871    0.259    63.564   163.325
   65   23.949   23.935   36.885    0.262    64.557   163.240
   66   23.859   23.845   36.878    0.265    65.550   162.940
   67   23.788   23.774   36.870    0.268    66.543   162.431
   68   23.692   23.677   36.860    0.271    67.536   162.047
   69   23.505   23.491   36.824    0.274    68.529   162.313
   70   23.087   23.073   36.738    0.276    69.522   163.324
   71   22.679   22.665   36.633    0.279    70.515   163.932
   72   22.191   22.177   36.513    0.282    71.508   165.146
   73   21.803   21.789   36.425    0.284    72.501   168.152
   74   21.587   21.572   36.387    0.287    73.494   170.654
   75   21.559   21.544   36.390    0.290    74.487   170.595
   76   21.567   21.552   36.401    0.292    75.480   169.571
   77   21.565   21.550   36.408    0.295    76.473   168.420
   78   21.264   21.249   36.368    0.297    77.466   167.667
   79   21.051   21.035   36.384    0.300    78.459   163.017
   80   21.042   21.027   36.427    0.302    79.452   157.959
   81   20.980   20.965   36.421    0.305    80.445   155.523
   82   20.961   20.945   36.428    0.307    81.438   154.089
   83   20.952   20.936   36.449    0.310    82.431   153.370
   84   20.945   20.928   36.462    0.312    83.424   152.193
   85   21.035   21.019   36.544    0.314    84.417   150.251
   86   21.135   21.118   36.621    0.317    85.410   148.370
   87   21.200   21.183   36.675    0.319    86.403   148.540
   88   21.302   21.285   36.766    0.321    87.396   149.443
   89   21.367   21.349   36.814    0.323    88.389   150.932
   90   21.275   21.258   36.814    0.326    89.381   152.945
   91   21.125   21.108   36.800    0.328    90.374   153.783
   92   20.940   20.922   36.790    0.330    91.367   153.134
   93   20.894   20.876   36.789    0.332    92.360   152.485
   94   20.879   20.861   36.788    0.334    93.353   152.575
   95   20.868   20.850   36.789    0.336    94.346   152.733
   96   20.794   20.776   36.795    0.338    95.339   152.449
   97   20.732   20.713   36.797    0.341    96.332   152.250
   98   20.666   20.647   36.800    0.343    97.325   152.663
   99   20.565   20.547   36.792    0.345    98.317   153.418
  100   20.530   20.511   36.789    0.347    99.310   153.768
  101   20.485   20.466   36.787    0.349    100.303   153.672
  102   20.415   20.396   36.778    0.351    101.296   153.678
  103   20.349   20.330   36.770    0.353    102.289   153.783
  104   20.304   20.284   36.767    0.355    103.282   153.689
  105   20.283   20.263   36.766    0.357    104.275   153.865
  106   20.250   20.230   36.762    0.359    105.267   154.238
  107   20.166   20.146   36.750    0.361    106.260   154.388
  108   20.109   20.088   36.741    0.363    107.253   154.277
  109   20.090   20.070   36.739    0.365    108.246   154.190
