 station cast   lat    long    jday   mo/da/yr   gmt
  19      1   29.500 -85.378   263    09/20/21  1704 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.191   28.190   32.663    0.007    0.993   186.799
    2   28.191   28.190   32.663    0.014    1.986   186.825
    3   28.195   28.194   32.629    0.022    2.980   186.419
    4   28.198   28.198   32.596    0.029    3.973   188.234
    5   28.202   28.201   32.563    0.036    4.966   187.873
    6   28.206   28.205   32.530    0.043    5.959   186.525
    7   28.161   28.160   32.795    0.050    6.953   184.634
    8   28.137   28.135   32.858    0.057    7.946   196.452
    9   28.203   28.201   32.949    0.064    8.939   193.293
   10   28.231   28.228   32.995    0.071    9.932   188.220
   11   28.241   28.238   33.092    0.078    10.925   172.544
   12   28.335   28.332   33.446    0.085    11.918   168.968
   13   28.458   28.454   33.669    0.091    12.912   166.497
   14   28.606   28.602   33.981    0.098    13.905   169.146
   15   28.695   28.691   34.192    0.104    14.898   164.269
   16   28.736   28.732   34.344    0.110    15.891   161.657
   17   28.732   28.728   34.400    0.116    16.884   155.240
