 station cast   lat    long    jday   mo/da/yr   gmt
 133      1   26.521 -83.410   292    10/19/21  2106 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.790   28.790   36.049    0.005    0.993   194.754
    2   28.790   28.789   36.049    0.010    1.987   194.781
    3   28.790   28.789   36.049    0.015    2.980   194.807
    4   28.790   28.789   36.049    0.020    3.974   194.834
    5   28.790   28.789   36.048    0.025    4.967   194.858
    6   28.792   28.791   36.048    0.030    5.961   194.816
    7   28.794   28.793   36.048    0.035    6.954   194.731
    8   28.797   28.795   36.048    0.039    7.948   194.655
    9   28.796   28.794   36.048    0.044    8.941   194.628
   10   28.796   28.794   36.048    0.049    9.934   194.737
   11   28.796   28.793   36.048    0.054    10.928   194.844
   12   28.796   28.793   36.048    0.059    11.921   194.719
   13   28.796   28.793   36.048    0.064    12.915   194.773
   14   28.797   28.793   36.048    0.069    13.908   195.033
   15   28.796   28.793   36.048    0.074    14.901   194.889
   16   28.797   28.793   36.048    0.079    15.895   194.923
   17   28.797   28.793   36.048    0.084    16.888   194.861
   18   28.797   28.793   36.048    0.089    17.881   195.065
   19   28.798   28.794   36.048    0.094    18.875   194.830
   20   28.798   28.793   36.048    0.099    19.868   194.883
   21   28.799   28.793   36.048    0.104    20.862   195.033
   22   28.799   28.794   36.048    0.109    21.855   194.893
   23   28.799   28.793   36.048    0.114    22.848   194.974
   24   28.799   28.793   36.048    0.118    23.842   194.883
   25   28.800   28.794   36.049    0.123    24.835   194.928
   26   28.800   28.794   36.049    0.128    25.828   194.992
   27   28.801   28.794   36.049    0.133    26.822   194.669
   28   28.801   28.794   36.049    0.138    27.815   194.893
   29   28.801   28.794   36.049    0.143    28.808   194.789
   30   28.802   28.795   36.049    0.148    29.802   194.938
   31   28.801   28.794   36.049    0.153    30.795   194.826
   32   28.799   28.791   36.050    0.158    31.788   194.984
   33   28.796   28.788   36.051    0.163    32.782   194.766
   34   28.794   28.785   36.051    0.168    33.775   194.821
   35   28.793   28.785   36.051    0.173    34.768   194.542
   36   28.794   28.786   36.051    0.178    35.761   194.550
   37   28.795   28.786   36.051    0.183    36.755   194.703
   38   28.794   28.785   36.052    0.188    37.748   194.836
   39   28.791   28.782   36.052    0.193    38.741   194.750
   40   28.790   28.781   36.053    0.198    39.735   194.585
   41   28.787   28.777   36.054    0.203    40.728   194.127
   42   28.786   28.776   36.055    0.207    41.721   194.566
   43   28.773   28.763   36.057    0.212    42.714   194.420
   44   28.734   28.724   36.061    0.217    43.708   194.062
   45   28.538   28.528   36.078    0.222    44.701   194.881
   46   27.556   27.545   36.161    0.227    45.694   199.558
   47   27.022   27.011   36.167    0.231    46.687   199.783
   48   26.084   26.073   36.193    0.235    47.681   190.753
