 station cast   lat    long    jday   mo/da/yr   gmt
 127      1   26.618 -82.260   292    10/19/21  0230 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.444   28.444   35.339    0.005    0.993   152.509
    2   28.444   28.444   35.338    0.011    1.987   152.530
    3   28.444   28.443   35.338    0.016    2.980   152.551
    4   28.444   28.443   35.338    0.021    3.974   152.572
    5   28.444   28.443   35.338    0.027    4.967   152.593
    6   28.517   28.515   35.385    0.032    5.961   152.910
    7   28.589   28.587   35.433    0.037    6.954   153.229
    8   28.661   28.660   35.480    0.043    7.947   153.562
    9   28.657   28.655   35.479    0.048    8.941   153.534
