 station cast   lat    long    jday   mo/da/yr   gmt
 135      1   26.259 -83.805   293    10/20/21  0130 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.509   28.509   35.398    0.005    0.993   196.578
    2   28.509   28.509   35.398    0.011    1.987   196.605
    3   28.509   28.509   35.397    0.016    2.980   196.632
    4   28.509   28.508   35.397    0.021    3.974   196.659
    5   28.509   28.508   35.397    0.027    4.967   196.547
    6   28.510   28.508   35.397    0.032    5.961   196.878
    7   28.511   28.510   35.398    0.037    6.954   196.904
    8   28.508   28.506   35.397    0.042    7.948   197.025
    9   28.507   28.505   35.397    0.048    8.941   196.888
   10   28.508   28.506   35.397    0.053    9.935   196.781
   11   28.510   28.507   35.398    0.058    10.928   196.976
   12   28.514   28.511   35.399    0.064    11.921   196.912
   13   28.515   28.512   35.399    0.069    12.915   196.859
   14   28.512   28.508   35.398    0.074    13.908   197.164
   15   28.509   28.506   35.398    0.080    14.902   197.153
   16   28.507   28.503   35.397    0.085    15.895   196.922
   17   28.506   28.502   35.398    0.090    16.888   196.801
   18   28.511   28.506   35.400    0.096    17.882   196.984
   19   28.509   28.505   35.400    0.101    18.875   196.726
   20   28.519   28.514   35.409    0.106    19.869   196.901
   21   28.519   28.514   35.410    0.112    20.862   196.885
   22   28.519   28.514   35.410    0.117    21.855   196.991
   23   28.519   28.514   35.411    0.122    22.849   197.086
   24   28.519   28.514   35.412    0.127    23.842   196.919
   25   28.524   28.518   35.419    0.133    24.835   196.998
   26   28.527   28.521   35.425    0.138    25.829   196.913
   27   28.532   28.525   35.432    0.143    26.822   197.155
   28   28.546   28.539   35.461    0.149    27.816   197.002
   29   28.558   28.551   35.483    0.154    28.809   197.466
   30   28.575   28.568   35.517    0.159    29.802   197.014
   31   28.636   28.629   35.621    0.164    30.796   197.539
   32   28.665   28.657   35.789    0.170    31.789   199.237
   33   28.603   28.595   36.016    0.174    32.782   201.729
   34   28.425   28.417   36.051    0.179    33.776   203.552
   35   28.245   28.237   36.054    0.184    34.769   204.363
   36   28.061   28.053   36.082    0.189    35.762   204.987
   37   27.807   27.798   36.106    0.193    36.755   205.676
   38   27.506   27.497   36.146    0.198    37.749   206.341
   39   27.071   27.062   36.193    0.202    38.742   206.493
   40   26.832   26.823   36.224    0.206    39.735   208.635
   41   26.538   26.528   36.257    0.210    40.729   207.857
   42   26.147   26.138   36.290    0.214    41.722   205.310
   43   25.815   25.805   36.310    0.218    42.715   203.746
   44   25.619   25.609   36.341    0.222    43.708   203.825
   45   25.265   25.255   36.361    0.226    44.702   203.049
   46   25.231   25.221   36.370    0.229    45.695   202.738
   47   25.208   25.198   36.378    0.233    46.688   203.204
   48   24.936   24.925   36.390    0.236    47.681   202.546
   49   24.683   24.672   36.386    0.240    48.675   202.134
   50   24.477   24.466   36.372    0.243    49.668   202.582
   51   24.271   24.260   36.387    0.247    50.661   201.055
   52   24.106   24.095   36.414    0.250    51.654   198.378
   53   24.063   24.052   36.422    0.253    52.648   198.675
   54   24.014   24.003   36.425    0.256    53.641   199.393
   55   23.762   23.751   36.388    0.260    54.634   200.263
   56   23.625   23.613   36.400    0.263    55.627   202.345
   57   23.417   23.405   36.409    0.266    56.620   200.669
   58   23.256   23.244   36.404    0.269    57.614   196.586
   59   23.137   23.125   36.401    0.272    58.607   196.442
   60   23.142   23.129   36.459    0.275    59.600   196.225
   61   23.151   23.139   36.490    0.278    60.593   190.077
   62   23.147   23.134   36.500    0.281    61.586   185.683
   63   23.103   23.090   36.517    0.284    62.580   186.350
   64   22.860   22.847   36.511    0.286    63.573   183.373
   65   22.637   22.624   36.485    0.289    64.566   178.781
   66   22.474   22.460   36.461    0.292    65.559   176.165
   67   22.432   22.418   36.464    0.295    66.552   175.564
   68   22.381   22.368   36.469    0.298    67.545   174.152
   69   22.322   22.308   36.469    0.300    68.539   172.929
   70   22.261   22.246   36.468    0.303    69.532   173.206
   71   22.222   22.208   36.473    0.306    70.525   172.554
   72   22.198   22.184   36.475    0.308    71.518   171.213
   73   22.109   22.094   36.476    0.311    72.511   170.830
   74   22.048   22.033   36.478    0.314    73.504   169.767
   75   22.015   22.000   36.484    0.316    74.497   167.903
   76   21.980   21.965   36.488    0.319    75.491   167.364
   77   21.938   21.923   36.490    0.322    76.484   166.048
   78   21.899   21.884   36.488    0.324    77.477   165.466
   79   21.871   21.856   36.491    0.327    78.470   164.993
   80   21.856   21.840   36.492    0.330    79.463   162.694
   81   21.839   21.823   36.492    0.332    80.456   162.184
   82   21.815   21.799   36.493    0.335    81.449   162.241
   83   21.801   21.785   36.496    0.337    82.442   161.415
   84   21.799   21.783   36.506    0.340    83.435   159.581
   85   21.787   21.771   36.504    0.343    84.428   158.864
   86   21.745   21.728   36.504    0.345    85.421   156.447
   87   21.676   21.659   36.505    0.348    86.414   154.458
   88   21.645   21.628   36.504    0.350    87.408   151.975
