 station cast   lat    long    jday   mo/da/yr   gmt
  18      1   28.018 -83.017   262    09/19/21  1830 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.292   29.291   35.162    0.006    0.993   194.980
    2   29.292   29.291   35.161    0.011    1.987   195.007
    3   29.303   29.302   35.108    0.017    2.980   196.609
    4   29.314   29.313   35.054    0.023    3.973   201.267
    5   29.325   29.324   35.001    0.029    4.967   203.471
    6   29.337   29.335   34.948    0.035    5.960   204.640
    7   29.348   29.346   34.895    0.041    6.953   207.572
    8   29.359   29.357   34.841    0.047    7.947   203.772
    9   29.370   29.368   34.788    0.053    8.940   211.238
