 station cast   lat    long    jday   mo/da/yr   gmt
  93      1   21.340 -91.509   283    10/10/21  1516 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   29.375   29.374   36.603    0.005    0.994   191.366
    2   29.375   29.374   36.602    0.009    1.988   191.526
    3   29.373   29.372   36.603    0.014    2.981   191.116
    4   29.533   29.532   36.708    0.019    3.975   191.802
    5   29.694   29.693   36.811    0.024    4.969   192.482
    6   29.767   29.765   36.858    0.028    5.963   192.791
    7   29.839   29.838   36.905    0.033    6.957   193.067
    8   29.824   29.822   36.895    0.038    7.950   192.977
    9   29.810   29.807   36.886    0.042    8.944   192.886
   10   29.795   29.792   36.876    0.047    9.938   192.796
   11   29.780   29.777   36.867    0.052    10.932   192.676
   12   29.765   29.762   36.858    0.056    11.925   192.600
   13   29.751   29.747   36.849    0.061    12.919   192.495
   14   29.736   29.733   36.841    0.066    13.913   192.390
   15   29.722   29.718   36.832    0.070    14.907   192.284
   16   29.707   29.703   36.823    0.075    15.900   192.179
   17   29.693   29.688   36.814    0.080    16.894   192.073
   18   29.678   29.674   36.805    0.084    17.888   191.968
   19   29.664   29.659   36.797    0.089    18.882   191.862
