 station cast   lat    long    jday   mo/da/yr   gmt
  13      1   26.887 -84.666   261    09/18/21  1915 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
    1   28.698   28.698   34.963    0.006    0.993   196.987
    2   28.698   28.697   34.962    0.011    1.987   197.014
    3   28.698   28.697   34.962    0.017    2.980   197.041
    4   28.698   28.697   34.962    0.023    3.974   197.068
    5   28.704   28.703   34.965    0.028    4.967   196.924
    6   28.711   28.709   34.969    0.034    5.961   197.213
    7   28.717   28.715   34.972    0.040    6.954   197.426
    8   28.701   28.699   34.975    0.045    7.947   197.299
    9   28.707   28.705   34.985    0.051    8.941   197.200
   10   28.709   28.706   34.998    0.057    9.934   197.170
   11   28.715   28.712   35.015    0.062    10.927   197.327
   12   28.717   28.715   35.033    0.068    11.921   197.274
   13   28.710   28.707   35.047    0.074    12.914   197.477
   14   28.694   28.691   35.058    0.079    13.908   197.345
   15   28.723   28.719   35.091    0.085    14.901   197.514
   16   28.720   28.717   35.104    0.091    15.894   197.883
   17   28.707   28.703   35.110    0.096    16.888   197.590
   18   28.694   28.690   35.111    0.102    17.881   197.544
   19   28.687   28.682   35.111    0.107    18.874   197.527
   20   28.683   28.678   35.114    0.113    19.868   197.289
   21   28.697   28.692   35.136    0.118    20.861   197.578
   22   28.734   28.728   35.191    0.124    21.854   197.799
   23   28.743   28.737   35.229    0.129    22.848   197.236
   24   28.748   28.742   35.264    0.135    23.841   197.374
   25   28.755   28.749   35.284    0.140    24.834   197.650
   26   28.764   28.758   35.297    0.146    25.828   197.711
   27   28.782   28.775   35.333    0.151    26.821   197.438
   28   28.771   28.765   35.413    0.157    27.814   197.826
   29   28.736   28.729   35.521    0.162    28.808   199.138
   30   28.613   28.606   35.599    0.167    29.801   200.985
   31   28.492   28.485   35.631    0.172    30.794   203.421
   32   28.382   28.374   35.643    0.178    31.787   204.548
   33   28.344   28.336   35.668    0.183    32.781   204.926
   34   28.458   28.450   35.756    0.188    33.774   204.505
